,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
95,1592793612,1.34,103.98,0,180,0,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:40:12
89,1592793664,1.34,103.98,0,45,0,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:41:04
33,1592793725,1.34,103.98,0,45,0,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:42:05
67,1592793779,1.34,103.98,0,271,0,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:42:59
34,1592793848,1.34,103.98,0,351,22,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:44:08
77,1592793910,1.35,103.98,0,22,24,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:45:10
9,1592793963,1.35,103.98,0,22,30,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:46:03
63,1592794032,1.35,103.98,0,22,20,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:47:12
38,1592794082,1.36,103.98,0,22,21,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:48:02
100,1592794103,1.36,103.98,0,22,22,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:48:23
2,1592794203,1.37,103.99,0,22,30,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:50:03
58,1592794269,1.37,103.99,0,112,16,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:51:09
65,1592794285,1.37,103.99,0,112,17,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:51:25
7,1592794417,1.36,104.0,0,202,15,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,09:53:37
45,1592794511,1.3,103.98,2225,171,203,76CC6D,SIN,SGN,SIA178,960,B78X,SQ178,2020-06-22,09:55:11
10,1592794563,1.28,104.02,4000,65,257,76CC6D,SIN,SGN,SIA178,2624,B78X,SQ178,2020-06-22,09:56:03
35,1592794631,1.37,104.04,5925,350,317,76CC6D,SIN,SGN,SIA178,1536,B78X,SQ178,2020-06-22,09:57:11
94,1592794690,1.46,104.03,8600,350,326,76CC6D,SIN,SGN,SIA178,2816,B78X,SQ178,2020-06-22,09:58:10
74,1592794752,1.55,104.01,10875,350,345,76CC6D,SIN,SGN,SIA178,2304,B78X,SQ178,2020-06-22,09:59:12
85,1592794814,1.66,103.99,12325,350,387,76CC6D,SIN,SGN,SIA178,2176,B78X,SQ178,2020-06-22,10:00:14
104,1592794870,1.75,103.98,14300,350,395,76CC6D,SIN,SGN,SIA178,2240,B78X,SQ178,2020-06-22,10:01:10
37,1592794931,1.87,103.96,16200,350,408,76CC6D,SIN,SGN,SIA178,1600,B78X,SQ178,2020-06-22,10:02:11
21,1592794998,2.0,103.94,18000,350,422,76CC6D,SIN,SGN,SIA178,1792,B78X,SQ178,2020-06-22,10:03:18
41,1592795052,2.1,103.92,19350,350,434,76CC6D,SIN,SGN,SIA178,1536,B78X,SQ178,2020-06-22,10:04:12
80,1592795117,2.23,103.9,20825,350,446,76CC6D,SIN,SGN,SIA178,1408,B78X,SQ178,2020-06-22,10:05:17
102,1592795172,2.35,103.88,22075,350,452,76CC6D,SIN,SGN,SIA178,1408,B78X,SQ178,2020-06-22,10:06:12
66,1592795228,2.47,103.88,23125,8,457,76CC6D,SIN,SGN,SIA178,1024,B78X,SQ178,2020-06-22,10:07:08
46,1592795289,2.59,103.9,24175,8,466,76CC6D,SIN,SGN,SIA178,1088,B78X,SQ178,2020-06-22,10:08:09
98,1592795349,2.72,103.92,25125,8,474,76CC6D,SIN,SGN,SIA178,896,B78X,SQ178,2020-06-22,10:09:09
1,1592795411,2.86,103.94,26025,8,483,76CC6D,SIN,SGN,SIA178,896,B78X,SQ178,2020-06-22,10:10:11
16,1592795468,2.99,103.96,26800,8,487,76CC6D,SIN,SGN,SIA178,896,B78X,SQ178,2020-06-22,10:11:08
113,1592795522,3.11,103.97,27525,354,496,76CC6D,SIN,SGN,SIA178,896,B78X,SQ178,2020-06-22,10:12:02
60,1592795587,3.26,103.95,28450,349,504,76CC6D,SIN,SGN,SIA178,1024,B78X,SQ178,2020-06-22,10:13:07
54,1592795642,3.39,103.92,29750,349,499,76CC6D,SIN,SGN,SIA178,2368,B78X,SQ178,2020-06-22,10:14:02
106,1592795706,3.53,103.87,31150,329,498,76CC6D,SIN,SGN,SIA178,1472,B78X,SQ178,2020-06-22,10:15:06
42,1592795764,3.65,103.83,32400,357,491,76CC6D,SIN,SGN,SIA178,1856,B78X,SQ178,2020-06-22,10:16:04
13,1592795823,3.78,103.86,33625,19,486,76CC6D,SIN,SGN,SIA178,640,B78X,SQ178,2020-06-22,10:17:03
3,1592795884,3.91,103.91,34375,19,494,76CC6D,SIN,SGN,SIA178,832,B78X,SQ178,2020-06-22,10:18:04
73,1592795951,4.06,103.94,35825,8,491,76CC6D,SIN,SGN,SIA178,1600,B78X,SQ178,2020-06-22,10:19:11
101,1592796006,4.18,103.96,36925,6,487,76CC6D,SIN,SGN,SIA178,960,B78X,SQ178,2020-06-22,10:20:06
92,1592796058,4.3,103.97,37750,3,487,76CC6D,SIN,SGN,SIA178,1344,B78X,SQ178,2020-06-22,10:20:58
49,1592796116,4.43,103.98,38000,3,485,76CC6D,SIN,SGN,SIA178,0,B78X,SQ178,2020-06-22,10:21:56
4,1592796184,4.58,103.99,37975,3,485,76CC6D,SIN,SGN,SIA178,64,B78X,SQ178,2020-06-22,10:23:04
18,1592796248,4.73,104.0,37975,3,486,76CC6D,SIN,SGN,SIA178,-64,B78X,SQ178,2020-06-22,10:24:08
