,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
3,1594135377,23.37,113.3,1325,188,168,7BC008,CAN,SGN,CSN489,2240,B744,CZ489,2020-07-07,22:22:57
26,1594135442,23.31,113.31,3575,177,181,7BC008,CAN,SGN,CSN489,1280,B744,CZ489,2020-07-07,22:24:02
6,1594135496,23.26,113.31,4425,179,235,7BC008,CAN,SGN,CSN489,576,B744,CZ489,2020-07-07,22:24:56
25,1594135562,23.19,113.28,5850,206,273,7BC008,CAN,SGN,CSN489,1920,B744,CZ489,2020-07-07,22:26:02
23,1594135628,23.11,113.24,7100,205,284,7BC008,CAN,SGN,CSN489,0,B744,CZ489,2020-07-07,22:27:08
4,1594135692,23.03,113.2,8450,196,293,7BC008,CAN,SGN,CSN489,1664,B744,CZ489,2020-07-07,22:28:12
14,1594135749,22.96,113.21,10175,161,306,7BC008,CAN,SGN,CSN489,1984,B744,CZ489,2020-07-07,22:29:09
30,1594135809,22.87,113.24,11100,161,348,7BC008,CAN,SGN,CSN489,1088,B744,CZ489,2020-07-07,22:30:09
28,1594135875,22.76,113.28,12725,162,378,7BC008,CAN,SGN,CSN489,2048,B744,CZ489,2020-07-07,22:31:15
19,1594135932,22.66,113.31,14725,162,390,7BC008,CAN,SGN,CSN489,2368,B744,CZ489,2020-07-07,22:32:12
13,1594135990,22.56,113.35,16750,162,403,7BC008,CAN,SGN,CSN489,2240,B744,CZ489,2020-07-07,22:33:10
2,1594136057,22.44,113.39,18750,162,411,7BC008,CAN,SGN,CSN489,2048,B744,CZ489,2020-07-07,22:34:17
12,1594136113,22.34,113.43,20650,162,418,7BC008,CAN,SGN,CSN489,2048,B744,CZ489,2020-07-07,22:35:13
31,1594136178,22.22,113.47,22725,162,420,7BC008,CAN,SGN,CSN489,2176,B744,CZ489,2020-07-07,22:36:18
29,1594136237,22.11,113.51,24550,160,422,7BC008,CAN,SGN,CSN489,1408,B744,CZ489,2020-07-07,22:37:17
17,1594136296,22.0,113.55,25000,157,451,7BC008,CAN,SGN,CSN489,-64,B744,CZ489,2020-07-07,22:38:16
22,1594136358,21.88,113.62,25000,150,472,7BC008,CAN,SGN,CSN489,0,B744,CZ489,2020-07-07,22:39:18
15,1594136422,21.75,113.7,25975,150,481,7BC008,CAN,SGN,CSN489,1536,B744,CZ489,2020-07-07,22:40:22
11,1594136482,21.63,113.76,27300,159,490,7BC008,CAN,SGN,CSN489,1216,B744,CZ489,2020-07-07,22:41:22
16,1594136538,21.51,113.76,28425,191,497,7BC008,CAN,SGN,CSN489,1344,B744,CZ489,2020-07-07,22:42:18
1,1594136601,21.36,113.73,29475,192,510,7BC008,CAN,SGN,CSN489,1024,B744,CZ489,2020-07-07,22:43:21
21,1594136662,21.22,113.7,30600,192,517,7BC008,CAN,SGN,CSN489,1664,B744,CZ489,2020-07-07,22:44:22
0,1594136721,21.08,113.67,31925,191,516,7BC008,CAN,SGN,CSN489,1536,B744,CZ489,2020-07-07,22:45:21
32,1594136758,21.0,113.65,32875,191,510,7BC008,CAN,SGN,CSN489,1728,B744,CZ489,2020-07-07,22:45:58
20,1594136836,20.82,113.61,34450,191,504,7BC008,CAN,SGN,CSN489,1024,B744,CZ489,2020-07-07,22:47:16
5,1594136895,20.68,113.58,35325,191,505,7BC008,CAN,SGN,CSN489,768,B744,CZ489,2020-07-07,22:48:15
18,1594136954,20.55,113.55,36025,191,506,7BC008,CAN,SGN,CSN489,448,B744,CZ489,2020-07-07,22:49:14
