,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
42,1594731172,13.7,100.74,0,2,82,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,19:52:52
109,1594731236,13.65,100.73,3175,193,171,AD2B61,BKK,SGN,FDX6002,3328,B752,FX6002,2020-07-14,19:53:56
158,1594731288,13.6,100.72,5400,194,243,AD2B61,BKK,SGN,FDX6002,3008,B752,FX6002,2020-07-14,19:54:48
77,1594731351,13.54,100.67,9175,220,283,AD2B61,BKK,SGN,FDX6002,4736,B752,FX6002,2020-07-14,19:55:51
155,1594731408,13.54,100.6,12025,299,330,AD2B61,BKK,SGN,FDX6002,2944,B752,FX6002,2020-07-14,19:56:48
23,1594731450,13.6,100.57,13050,358,362,AD2B61,BKK,SGN,FDX6002,1600,B752,FX6002,2020-07-14,19:57:30
129,1594731527,13.72,100.61,16750,22,386,AD2B61,BKK,SGN,FDX6002,2688,B752,FX6002,2020-07-14,19:58:47
8,1594731592,13.83,100.66,20000,34,403,AD2B61,BKK,SGN,FDX6002,3008,B752,FX6002,2020-07-14,19:59:52
0,1594731649,13.92,100.73,22750,37,413,AD2B61,BKK,SGN,FDX6002,2304,B752,FX6002,2020-07-14,20:00:49
149,1594731705,14.01,100.78,25325,23,421,AD2B61,BKK,SGN,FDX6002,3776,B752,FX6002,2020-07-14,20:01:45
51,1594731765,14.12,100.83,28625,22,404,AD2B61,BKK,SGN,FDX6002,2560,B752,FX6002,2020-07-14,20:02:45
13,1594731829,14.23,100.88,31375,22,399,AD2B61,BKK,SGN,FDX6002,2368,B752,FX6002,2020-07-14,20:03:49
54,1594731884,14.32,100.92,33025,22,393,AD2B61,BKK,SGN,FDX6002,192,B752,FX6002,2020-07-14,20:04:44
146,1594731944,14.42,100.96,33000,22,392,AD2B61,BKK,SGN,FDX6002,192,B752,FX6002,2020-07-14,20:05:44
92,1594732005,14.53,101.01,33000,22,403,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:06:45
131,1594732067,14.64,101.05,33000,22,433,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-07-14,20:07:47
161,1594732120,14.74,101.1,33000,22,454,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-07-14,20:08:40
58,1594732178,14.85,101.15,33000,22,455,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-07-14,20:09:38
67,1594732241,14.97,101.2,33000,22,458,AD2B61,BKK,SGN,FDX6002,128,B752,FX6002,2020-07-14,20:10:41
19,1594732305,15.1,101.25,33000,22,471,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:11:45
71,1594732367,15.22,101.31,33025,22,470,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:12:47
85,1594732428,15.35,101.36,33000,22,470,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-07-14,20:13:48
142,1594732490,15.47,101.42,34775,22,464,AD2B61,BKK,SGN,FDX6002,1792,B752,FX6002,2020-07-14,20:14:50
172,1594732546,15.58,101.47,36575,22,463,AD2B61,BKK,SGN,FDX6002,1856,B752,FX6002,2020-07-14,20:15:46
123,1594732606,15.7,101.52,38325,22,462,AD2B61,BKK,SGN,FDX6002,1792,B752,FX6002,2020-07-14,20:16:46
75,1594732671,15.83,101.57,39000,26,454,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:17:51
111,1594732734,15.94,101.64,39000,32,450,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:18:54
162,1594732796,16.05,101.72,39000,32,455,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:19:56
56,1594732851,16.15,101.78,39000,32,457,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:20:51
21,1594732910,16.25,101.85,39025,33,459,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:21:50
63,1594732964,16.35,101.92,39000,32,462,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:22:44
120,1594733026,16.47,101.99,39000,29,461,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:23:46
181,1594733087,16.58,102.05,39000,30,458,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:24:47
101,1594733145,16.68,102.12,39000,31,454,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:25:45
115,1594733207,16.8,102.19,39000,30,455,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:26:47
24,1594733266,16.91,102.25,39000,27,459,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:27:46
104,1594733324,17.02,102.31,39000,27,461,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-07-14,20:28:44
