timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1596317099,10.82,106.65,0,247,28,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596311225,1.26,104.02,5700,59,282,8A07EC,SIN,SGN,MYU8816,1664,B733,2Y8816
1596311168,1.28,103.96,3500,160,243,8A07EC,SIN,SGN,MYU8816,2112,B733,2Y8816
1596312351,3.33,103.98,30000,10,448,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312770,4.19,104.13,30000,9,448,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1596316804,10.89,106.82,2250,259,154,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596313966,6.63,104.15,30000,356,426,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596313608,5.91,104.19,30025,357,439,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596316982,10.84,106.71,1125,248,137,8A07EC,SIN,SGN,MYU8816,-704,B733,2Y8816
1596312411,3.45,104.0,30000,9,450,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596314793,8.01,104.93,31000,50,442,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596310909,1.38,103.99,0,340,2,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596314242,7.17,104.16,30000,38,443,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312124,2.86,103.9,29025,11,450,8A07EC,SIN,SGN,MYU8816,1280,B733,2Y8816
1596313131,4.93,104.24,30000,357,442,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596314090,6.87,104.14,30000,357,435,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596313491,5.67,104.2,30025,356,447,8A07EC,SIN,SGN,MYU8816,128,B733,2Y8816
1596311102,1.34,103.97,1325,200,177,8A07EC,SIN,SGN,MYU8816,1024,B733,2Y8816
1596312465,3.56,104.02,30000,9,450,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596311340,1.41,104.02,10500,351,295,8A07EC,SIN,SGN,MYU8816,1280,B733,2Y8816
1596316195,10.18,106.7,11650,25,377,8A07EC,SIN,SGN,MYU8816,-2176,B733,2Y8816
1596313370,5.42,104.22,30000,357,444,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596313189,5.04,104.24,30000,356,441,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312294,3.21,103.96,30000,10,445,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596316743,10.86,106.86,2250,318,183,8A07EC,SIN,SGN,MYU8816,-704,B733,2Y8816
1596316860,10.87,106.78,2250,247,152,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1596316505,10.6,106.83,6525,16,276,8A07EC,SIN,SGN,MYU8816,-960,B733,2Y8816
1596317275,10.81,106.65,0,160,13,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596313847,6.39,104.16,30000,356,432,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596314733,7.93,104.83,31000,50,448,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596310993,1.38,103.99,0,236,12,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315218,8.56,105.6,31000,50,440,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1596314907,8.15,105.11,31000,50,436,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596316623,10.75,106.87,3950,16,269,8A07EC,SIN,SGN,MYU8816,-960,B733,2Y8816
1596312060,2.73,103.87,27975,9,450,8A07EC,SIN,SGN,MYU8816,896,B733,2Y8816
1596312713,4.07,104.11,30000,10,447,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315336,8.73,105.77,31000,30,444,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596313549,5.79,104.2,30000,356,442,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312533,3.7,104.04,30000,10,447,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1596314195,7.09,104.13,30000,357,433,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312946,4.53,104.19,30000,10,448,8A07EC,SIN,SGN,MYU8816,-128,B733,2Y8816
1596311883,2.37,103.84,24775,357,440,8A07EC,SIN,SGN,MYU8816,1024,B733,2Y8816
1596311825,2.25,103.85,23675,357,431,8A07EC,SIN,SGN,MYU8816,1024,B733,2Y8816
1596313430,5.54,104.21,30025,356,445,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596311035,1.38,103.99,0,199,30,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596317039,10.83,106.68,450,249,145,8A07EC,SIN,SGN,MYU8816,-768,B733,2Y8816
1596312834,4.31,104.15,30000,10,448,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596311696,2.01,103.88,20750,348,414,8A07EC,SIN,SGN,MYU8816,1920,B733,2Y8816
1596316683,10.81,106.89,3000,3,244,8A07EC,SIN,SGN,MYU8816,-1024,B733,2Y8816
1596311462,1.59,103.96,14150,341,360,8A07EC,SIN,SGN,MYU8816,1792,B733,2Y8816
1596311996,2.6,103.85,27125,9,438,8A07EC,SIN,SGN,MYU8816,1088,B733,2Y8816
1596316068,9.97,106.59,16300,29,409,8A07EC,SIN,SGN,MYU8816,-2240,B733,2Y8816
1596310866,1.38,103.99,0,22,17,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315764,9.5,106.24,26525,31,443,8A07EC,SIN,SGN,MYU8816,-1024,B733,2Y8816
1596314558,7.61,104.51,30000,38,443,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315403,8.85,105.84,31000,30,452,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1596317549,10.81,106.65,0,180,0,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315823,9.6,106.31,25525,31,434,8A07EC,SIN,SGN,MYU8816,-1024,B733,2Y8816
1596315643,9.28,106.11,28575,31,457,8A07EC,SIN,SGN,MYU8816,-1024,B733,2Y8816
1596314670,7.84,104.73,31000,49,449,8A07EC,SIN,SGN,MYU8816,-128,B733,2Y8816
1596312593,3.83,104.06,30000,10,446,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596315158,8.48,105.5,31000,50,439,8A07EC,SIN,SGN,MYU8816,128,B733,2Y8816
1596314971,8.24,105.21,31000,50,434,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1596317221,10.81,106.65,0,70,30,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596314621,7.78,104.65,31025,51,447,8A07EC,SIN,SGN,MYU8816,128,B733,2Y8816
1596315035,8.32,105.31,31000,50,437,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312177,2.97,103.92,30000,9,443,8A07EC,SIN,SGN,MYU8816,-256,B733,2Y8816
1596311400,1.49,104.0,11850,341,347,8A07EC,SIN,SGN,MYU8816,2496,B733,2Y8816
1596316565,10.68,106.85,5350,16,265,8A07EC,SIN,SGN,MYU8816,-1472,B733,2Y8816
1596315702,9.39,106.17,27575,31,448,8A07EC,SIN,SGN,MYU8816,-960,B733,2Y8816
1596317128,10.82,106.65,0,222,28,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1596312238,3.1,103.94,30000,9,443,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
