,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
10,1596835688,1.3,103.97,2050,203,222,8A07EC,SIN,SGN,MYU8816,1088,B733,2Y8816,2020-08-08,04:28:08
9,1596835749,1.24,103.95,3175,202,232,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-08-08,04:29:09
4,1596835809,1.18,103.94,3175,172,233,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-08-08,04:30:09
3,1596835870,1.12,103.95,3150,171,197,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-08-08,04:31:10
7,1596835930,1.07,103.95,2750,169,180,8A07EC,SIN,SGN,MYU8816,-1280,B733,2Y8816,2020-08-08,04:32:10
6,1596835985,1.02,103.96,2125,169,179,8A07EC,SIN,SGN,MYU8816,128,B733,2Y8816,2020-08-08,04:33:05
12,1596836040,0.98,103.98,2150,118,183,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-08-08,04:34:00
1,1596836104,1.01,104.02,2125,41,197,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-08-08,04:35:04
5,1596836165,1.05,104.06,1700,41,160,8A07EC,SIN,SGN,MYU8816,-1088,B733,2Y8816,2020-08-08,04:36:05
2,1596836222,1.08,104.08,1025,41,138,8A07EC,SIN,SGN,MYU8816,-640,B733,2Y8816,2020-08-08,04:37:02
11,1596836281,1.11,104.11,325,41,141,8A07EC,SIN,SGN,MYU8816,-576,B733,2Y8816,2020-08-08,04:38:01
0,1596836324,1.13,104.12,250,41,141,8A07EC,SIN,SGN,MYU8816,-576,B733,2Y8816,2020-08-08,04:38:44
