,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
73,1598231454,21.22,105.83,1125,109,161,888145,HAN,SGN,PIC755,2624,A320,BL755,2020-08-24,08:10:54
78,1598231516,21.2,105.88,2350,106,240,888145,HAN,SGN,PIC755,1792,A320,BL755,2020-08-24,08:11:56
46,1598231577,21.15,105.94,4750,166,274,888145,HAN,SGN,PIC755,1856,A320,BL755,2020-08-24,08:12:57
23,1598231632,21.09,105.95,7700,166,279,888145,HAN,SGN,PIC755,2624,A320,BL755,2020-08-24,08:13:52
14,1598231695,21.0,105.97,10450,166,297,888145,HAN,SGN,PIC755,2112,A320,BL755,2020-08-24,08:14:55
91,1598231755,20.91,106.0,11500,166,360,888145,HAN,SGN,PIC755,1856,A320,BL755,2020-08-24,08:15:55
28,1598231815,20.81,106.02,13750,166,370,888145,HAN,SGN,PIC755,2176,A320,BL755,2020-08-24,08:16:55
34,1598231876,20.71,106.06,15850,157,380,888145,HAN,SGN,PIC755,2304,A320,BL755,2020-08-24,08:17:56
102,1598231939,20.61,106.1,17800,157,390,888145,HAN,SGN,PIC755,2112,A320,BL755,2020-08-24,08:18:59
11,1598231981,20.54,106.14,18925,157,401,888145,HAN,SGN,PIC755,1600,A320,BL755,2020-08-24,08:19:41
97,1598232052,20.41,106.19,20925,157,408,888145,HAN,SGN,PIC755,1600,A320,BL755,2020-08-24,08:20:52
106,1598232114,20.3,106.24,22325,157,416,888145,HAN,SGN,PIC755,1280,A320,BL755,2020-08-24,08:21:54
22,1598232174,20.2,106.29,23550,157,426,888145,HAN,SGN,PIC755,1024,A320,BL755,2020-08-24,08:22:54
104,1598232229,20.09,106.33,24700,157,431,888145,HAN,SGN,PIC755,896,A320,BL755,2020-08-24,08:23:49
95,1598232295,19.97,106.38,25700,157,444,888145,HAN,SGN,PIC755,960,A320,BL755,2020-08-24,08:24:55
32,1598232354,19.86,106.43,26625,157,453,888145,HAN,SGN,PIC755,960,A320,BL755,2020-08-24,08:25:54
96,1598232413,19.74,106.48,27400,157,464,888145,HAN,SGN,PIC755,832,A320,BL755,2020-08-24,08:26:53
68,1598232472,19.64,106.53,27525,157,465,888145,HAN,SGN,PIC755,832,A320,BL755,2020-08-24,08:27:52
41,1598232532,19.5,106.59,29125,157,474,888145,HAN,SGN,PIC755,1088,A320,BL755,2020-08-24,08:28:52
85,1598232593,19.37,106.64,29825,157,482,888145,HAN,SGN,PIC755,640,A320,BL755,2020-08-24,08:29:53
79,1598232653,19.25,106.7,30700,157,482,888145,HAN,SGN,PIC755,512,A320,BL755,2020-08-24,08:30:53
