,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
21,1598705491,11.72,104.97,35025,120,416,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,19:51:31
30,1598705553,11.66,105.07,35000,120,414,885968,BKK,SGN,TVJ3970,-64,A321,VZ3970,2020-08-29,19:52:33
0,1598705607,11.61,105.16,33750,120,412,885968,BKK,SGN,TVJ3970,-3200,A321,VZ3970,2020-08-29,19:53:27
7,1598705666,11.55,105.26,30500,120,425,885968,BKK,SGN,TVJ3970,-3456,A321,VZ3970,2020-08-29,19:54:26
9,1598705730,11.49,105.37,28200,120,409,885968,BKK,SGN,TVJ3970,-1984,A321,VZ3970,2020-08-29,19:55:30
35,1598705791,11.43,105.47,25775,120,400,885968,BKK,SGN,TVJ3970,-3456,A321,VZ3970,2020-08-29,19:56:31
11,1598705852,11.37,105.57,23675,120,394,885968,BKK,SGN,TVJ3970,-1856,A321,VZ3970,2020-08-29,19:57:32
17,1598705917,11.31,105.68,21075,120,395,885968,BKK,SGN,TVJ3970,-1984,A321,VZ3970,2020-08-29,19:58:37
19,1598705970,11.27,105.76,19600,120,377,885968,BKK,SGN,TVJ3970,-2176,A321,VZ3970,2020-08-29,19:59:30
3,1598706034,11.21,105.86,17575,120,367,885968,BKK,SGN,TVJ3970,-1664,A321,VZ3970,2020-08-29,20:00:34
28,1598706095,11.16,105.95,16125,120,359,885968,BKK,SGN,TVJ3970,-448,A321,VZ3970,2020-08-29,20:01:35
29,1598706163,11.1,106.04,15575,120,354,885968,BKK,SGN,TVJ3970,-704,A321,VZ3970,2020-08-29,20:02:43
1,1598706220,11.05,106.12,13975,120,347,885968,BKK,SGN,TVJ3970,-1728,A321,VZ3970,2020-08-29,20:03:40
5,1598706273,11.01,106.2,12550,137,337,885968,BKK,SGN,TVJ3970,-896,A321,VZ3970,2020-08-29,20:04:33
31,1598706332,10.94,106.26,12200,137,331,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:05:32
12,1598706393,10.87,106.32,12200,137,333,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:06:33
25,1598706454,10.8,106.39,12200,137,334,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:07:34
2,1598706509,10.74,106.44,12200,137,334,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:08:29
4,1598706572,10.66,106.51,11325,138,327,885968,BKK,SGN,TVJ3970,-2112,A321,VZ3970,2020-08-29,20:09:32
27,1598706631,10.6,106.57,10150,137,304,885968,BKK,SGN,TVJ3970,-1408,A321,VZ3970,2020-08-29,20:10:31
36,1598706689,10.56,106.64,8625,111,301,885968,BKK,SGN,TVJ3970,-1472,A321,VZ3970,2020-08-29,20:11:29
26,1598706754,10.56,106.73,6875,69,281,885968,BKK,SGN,TVJ3970,-832,A321,VZ3970,2020-08-29,20:12:34
34,1598706814,10.59,106.8,5950,69,243,885968,BKK,SGN,TVJ3970,-832,A321,VZ3970,2020-08-29,20:13:34
33,1598706877,10.62,106.85,4825,15,227,885968,BKK,SGN,TVJ3970,-1024,A321,VZ3970,2020-08-29,20:14:37
18,1598706938,10.68,106.86,4175,12,221,885968,BKK,SGN,TVJ3970,-512,A321,VZ3970,2020-08-29,20:15:38
20,1598706996,10.74,106.88,3700,12,208,885968,BKK,SGN,TVJ3970,-512,A321,VZ3970,2020-08-29,20:16:36
32,1598707048,10.79,106.89,3275,359,209,885968,BKK,SGN,TVJ3970,-512,A321,VZ3970,2020-08-29,20:17:28
15,1598707107,10.83,106.86,2850,321,180,885968,BKK,SGN,TVJ3970,-512,A321,VZ3970,2020-08-29,20:18:27
10,1598707168,10.87,106.82,2300,310,177,885968,BKK,SGN,TVJ3970,-640,A321,VZ3970,2020-08-29,20:19:28
14,1598707227,10.87,106.78,2200,249,159,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:20:27
8,1598707291,10.85,106.74,1600,249,137,885968,BKK,SGN,TVJ3970,-768,A321,VZ3970,2020-08-29,20:21:31
13,1598707361,10.83,106.7,800,249,131,885968,BKK,SGN,TVJ3970,-640,A321,VZ3970,2020-08-29,20:22:41
6,1598707405,10.83,106.67,325,249,129,885968,BKK,SGN,TVJ3970,-576,A321,VZ3970,2020-08-29,20:23:25
24,1598707452,10.82,106.65,0,250,52,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:24:12
22,1598707585,10.81,106.65,0,70,21,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:26:25
16,1598707635,10.81,106.65,0,157,9,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-08-29,20:27:15
