,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
17,1599040243,11.17,105.55,15000,102,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:50:43
9,1599040286,11.16,105.61,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:51:26
14,1599040347,11.14,105.67,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:52:27
5,1599040418,11.13,105.77,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:53:38
16,1599040463,11.14,105.81,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:54:23
12,1599040534,11.13,105.9,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,-64,AT75,K6816,2020-09-02,16:55:34
3,1599040575,11.14,105.93,14999,103,260,6.999999999999999e+30,PNH,SGN,KHV816,-64,AT75,K6816,2020-09-02,16:56:15
4,1599040627,11.12,105.98,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:57:07
1,1599040710,11.09,106.07,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:58:30
8,1599040758,11.07,106.12,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,16:59:18
10,1599040818,11.06,106.18,15000,103,260,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,17:00:18
15,1599040866,11.06,106.12,15225,103,260,6.999999999999999e+30,PNH,SGN,KHV816,384,AT75,K6816,2020-09-02,17:01:06
0,1599040942,11.05,106.19,15225,103,260,6.999999999999999e+30,PNH,SGN,KHV816,384,AT75,K6816,2020-09-02,17:02:22
13,1599041002,10.92,106.41,11448,67,307,6.999999999999999e+30,PNH,SGN,KHV816,-1472,AT75,K6816,2020-09-02,17:03:22
6,1599041062,10.95,106.49,9932,71,273,6.999999999999999e+30,PNH,SGN,KHV816,-1856,AT75,K6816,2020-09-02,17:04:22
18,1599041110,10.96,106.55,8800,76,268,6.999999999999999e+30,PNH,SGN,KHV816,-1280,AT75,K6816,2020-09-02,17:05:10
11,1599041182,10.98,106.6,8800,76,268,6.999999999999999e+30,PNH,SGN,KHV816,0,AT75,K6816,2020-09-02,17:06:22
7,1599041226,10.98,106.6,7525,76,268,6.999999999999999e+30,PNH,SGN,KHV816,-2048,AT75,K6816,2020-09-02,17:07:06
2,1599041266,10.99,106.64,7525,76,268,6.999999999999999e+30,PNH,SGN,KHV816,-2048,AT75,K6816,2020-09-02,17:07:46
