,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
76,1599909983,5.29,100.27,0,79,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:26:23
54,1599910007,5.29,100.27,0,82,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:26:47
21,1599910131,5.29,100.27,0,82,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:28:51
60,1599910227,5.29,100.27,0,112,11,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:30:27
69,1599910291,5.29,100.27,0,39,11,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:31:31
85,1599910502,5.29,100.27,0,221,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:35:02
55,1599910593,5.29,100.27,0,351,21,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:36:33
74,1599910633,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:37:13
114,1599910704,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:38:24
28,1599910765,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:39:25
20,1599910795,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:39:55
88,1599910875,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:41:15
6,1599910945,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:42:25
89,1599911005,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:43:25
42,1599911065,5.29,100.27,0,351,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:44:25
22,1599911106,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:45:06
101,1599911181,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:46:21
100,1599911236,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:47:16
71,1599911246,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:47:26
33,1599911361,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:49:21
93,1599911421,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:50:21
70,1599911475,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:51:15
17,1599911518,5.29,100.27,0,351,27,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:51:58
14,1599911570,5.29,100.27,0,42,46,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:52:50
29,1599911786,5.31,100.29,0,168,28,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:56:26
83,1599911848,5.29,100.27,425,222,145,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-12,18:57:28
27,1599911902,5.26,100.25,3025,205,152,4CAB31,PEN,SGN,AHK562,2240,A332,LD562,2020-09-12,18:58:22
117,1599911970,5.22,100.23,4300,207,185,4CAB31,PEN,SGN,AHK562,1088,A332,LD562,2020-09-12,18:59:30
96,1599912032,5.14,100.18,9050,209,276,4CAB31,PEN,SGN,AHK562,4096,A332,LD562,2020-09-12,19:00:32
39,1599912089,5.07,100.15,11650,193,327,4CAB31,PEN,SGN,AHK562,2688,A332,LD562,2020-09-12,19:01:29
41,1599912151,4.99,100.19,15200,109,350,4CAB31,PEN,SGN,AHK562,3712,A332,LD562,2020-09-12,19:02:31
4,1599912216,5.03,100.29,18575,50,378,4CAB31,PEN,SGN,AHK562,3200,A332,LD562,2020-09-12,19:03:36
24,1599912277,5.11,100.36,21525,26,395,4CAB31,PEN,SGN,AHK562,2624,A332,LD562,2020-09-12,19:04:37
36,1599912332,5.2,100.4,23750,26,410,4CAB31,PEN,SGN,AHK562,2496,A332,LD562,2020-09-12,19:05:32
113,1599912387,5.27,100.48,25875,70,403,4CAB31,PEN,SGN,AHK562,2624,A332,LD562,2020-09-12,19:06:27
73,1599912447,5.3,100.59,27175,75,432,4CAB31,PEN,SGN,AHK562,1472,A332,LD562,2020-09-12,19:07:27
105,1599912507,5.33,100.71,28900,75,444,4CAB31,PEN,SGN,AHK562,1728,A332,LD562,2020-09-12,19:08:27
99,1599912569,5.37,100.83,30450,75,458,4CAB31,PEN,SGN,AHK562,1664,A332,LD562,2020-09-12,19:09:29
