,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
137,1601290890,28.41,125.81,39975,231,485,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:01:30
161,1601290945,28.34,125.71,40000,230,487,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:02:25
84,1601291011,28.24,125.57,39975,230,487,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:03:31
158,1601291070,28.16,125.46,40000,230,487,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:04:30
35,1601291130,28.07,125.34,40000,230,489,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:05:30
163,1601291186,27.99,125.23,40000,230,491,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:06:26
17,1601291248,27.9,125.11,40000,230,493,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:07:28
85,1601291312,27.81,124.98,39975,230,493,86D930,NRT,SGN,JAL759,64,B788,JL759,2020-09-28,18:08:32
6,1601291374,27.72,124.86,40000,230,492,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:09:34
4,1601291439,27.63,124.73,40000,230,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:10:39
86,1601291502,27.53,124.6,40000,230,493,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:11:42
74,1601291558,27.45,124.49,39975,230,495,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:12:38
77,1601291622,27.36,124.36,39975,230,496,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:13:42
50,1601291682,27.27,124.24,40000,230,497,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:14:42
129,1601291740,27.19,124.13,40000,230,497,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:15:40
109,1601291800,27.1,124.01,40000,230,494,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:16:40
122,1601291855,27.02,123.9,39975,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:17:35
165,1601291907,26.94,123.8,40000,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:18:27
141,1601291967,26.85,123.68,39975,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:19:27
48,1601292035,26.75,123.55,39975,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:20:35
8,1601292099,26.66,123.43,40000,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:21:39
180,1601292162,26.56,123.3,40000,229,493,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:22:42
92,1601292220,26.48,123.19,39975,229,493,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:23:40
24,1601292276,26.4,123.08,40000,229,492,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:24:36
131,1601292336,26.31,122.97,39975,229,491,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:25:36
91,1601292396,26.22,122.85,40000,230,491,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:26:36
75,1601292452,26.12,122.76,39975,205,512,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:27:32
144,1601292510,25.99,122.71,40000,200,515,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:28:30
192,1601292567,25.86,122.65,40000,200,516,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:29:27
164,1601292623,25.74,122.6,39975,200,516,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:30:23
88,1601292679,25.61,122.55,39975,200,514,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:31:19
102,1601292743,25.47,122.49,40000,200,512,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:32:23
106,1601292803,25.34,122.43,40000,200,510,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:33:23
189,1601292859,25.21,122.38,39975,200,512,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:34:19
136,1601292919,25.08,122.33,40000,200,512,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:35:19
69,1601292988,24.92,122.26,40000,200,513,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:36:28
126,1601293042,24.8,122.21,40000,200,517,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:37:22
12,1601293098,24.68,122.16,40000,200,518,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:38:18
172,1601293156,24.55,122.11,40000,200,520,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:39:16
105,1601293220,24.4,122.05,40000,200,518,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:40:20
121,1601293280,24.27,122.0,40000,196,516,86D930,NRT,SGN,JAL759,64,B788,JL759,2020-09-28,18:41:20
87,1601293335,24.14,121.96,39975,196,512,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:42:15
103,1601293401,23.99,121.91,40000,196,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:43:21
133,1601293461,23.85,121.87,40000,196,512,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:44:21
149,1601293529,23.7,121.82,40000,196,510,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:45:29
3,1601293584,23.57,121.78,39975,196,510,86D930,NRT,SGN,JAL759,64,B788,JL759,2020-09-28,18:46:24
27,1601293645,23.44,121.73,40000,196,509,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:47:25
47,1601293704,23.3,121.69,40000,196,510,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:48:24
32,1601293756,23.18,121.65,40000,196,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:49:16
110,1601293821,23.04,121.6,40000,196,511,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,18:50:21
43,1601293880,22.9,121.56,39975,196,511,86D930,NRT,SGN,JAL759,64,B788,JL759,2020-09-28,18:51:20
52,1601293937,22.77,121.52,39975,196,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:52:17
18,1601293996,22.64,121.46,39975,213,506,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:53:16
62,1601294060,22.53,121.36,39975,218,505,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:54:20
128,1601294116,22.42,121.27,39975,218,504,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:55:16
60,1601294171,22.32,121.18,39975,218,502,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:56:11
55,1601294236,22.21,121.08,39975,218,500,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:57:16
97,1601294297,22.1,120.99,39975,218,500,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:58:17
19,1601294359,21.98,120.89,39975,218,503,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,18:59:19
187,1601294415,21.89,120.8,40000,224,501,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:00:15
29,1601294476,21.78,120.69,40000,224,502,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:01:16
71,1601294536,21.68,120.59,40000,224,502,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:02:16
10,1601294601,21.58,120.48,40000,224,502,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:03:21
193,1601294665,21.47,120.36,39975,224,503,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:04:25
42,1601294729,21.36,120.25,40000,224,500,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:05:29
34,1601294785,21.27,120.16,39975,224,499,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:06:25
111,1601294848,21.16,120.05,40000,224,500,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:07:28
143,1601294902,21.08,119.96,39975,224,500,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:08:22
179,1601294969,20.96,119.84,39975,225,502,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:09:29
21,1601295028,20.86,119.73,39975,225,504,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:10:28
154,1601295088,20.77,119.63,39975,225,505,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:11:28
14,1601295153,20.66,119.51,40000,225,504,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:12:33
148,1601295208,20.57,119.42,40000,225,506,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:13:28
184,1601295268,20.47,119.31,40000,225,507,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:14:28
51,1601295326,20.37,119.21,40000,225,507,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:15:26
155,1601295388,20.27,119.1,40000,225,509,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:16:28
182,1601295448,20.17,118.99,40000,225,509,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:17:28
112,1601295497,20.09,118.9,40000,225,511,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:18:17
104,1601295548,20.0,118.81,39975,225,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:19:08
140,1601296177,18.97,117.71,39975,235,514,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:29:37
66,1601296237,18.9,117.6,39975,235,514,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:30:37
23,1601296306,18.73,117.48,39975,224,511,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:31:46
166,1601296356,18.64,117.39,40000,224,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:32:36
90,1601296427,18.52,117.27,40000,224,510,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:33:47
39,1601296483,18.43,117.17,40000,224,510,86D930,NRT,SGN,JAL759,-64,B788,JL759,2020-09-28,19:34:43
28,1601296543,18.33,117.07,40000,224,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:35:43
49,1601296605,18.26,116.96,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:36:45
135,1601296665,18.19,116.85,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:37:45
125,1601296725,18.12,116.75,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:38:45
183,1601296785,18.05,116.65,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:39:45
115,1601296845,17.98,116.54,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:40:45
138,1601296905,17.9,116.42,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:41:45
181,1601296965,17.81,116.29,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:42:45
130,1601297025,17.73,116.17,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:43:45
0,1601297085,17.65,116.05,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:44:45
119,1601297145,17.57,115.93,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:45:45
176,1601297205,17.49,115.81,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:46:45
114,1601297265,17.41,115.68,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:47:45
99,1601297325,17.33,115.56,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:48:45
46,1601297397,17.23,115.42,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:49:57
117,1601297457,17.15,115.3,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:50:57
76,1601297517,17.07,115.17,40000,235,511,86D930,NRT,SGN,JAL759,0,B788,JL759,2020-09-28,19:51:57
