,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
2,1601912621,14.48,96.7,37000,104,477,89653D,AUH,SGN,,0,B78X,EY975,2020-10-05,22:43:41
8,1601912681,14.45,96.81,37000,104,477,89653D,AUH,SGN,,0,B78X,EY975,2020-10-05,22:44:41
6,1601912741,14.42,96.92,37000,104,477,89653D,AUH,SGN,,0,B78X,EY975,2020-10-05,22:45:41
10,1601912803,14.37,97.11,37000,104,481,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,22:46:43
4,1601912867,14.34,97.25,37000,104,481,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:47:47
3,1601912926,14.31,97.38,37000,104,481,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:48:46
0,1601912983,14.27,97.51,36975,104,480,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:49:43
7,1601913050,14.24,97.66,37000,104,480,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,22:50:50
9,1601913114,14.2,97.8,37000,104,484,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:51:54
1,1601913174,14.17,97.93,37000,104,484,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:52:54
5,1601913231,14.14,98.06,36975,104,483,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,22:53:51
11,1601913287,14.1,98.19,37000,104,484,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,22:54:47
67,1601913348,14.07,98.32,37000,104,485,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,22:55:48
43,1601913402,14.04,98.44,37000,104,483,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:56:42
54,1601913464,14.0,98.58,37000,104,484,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,22:57:44
13,1601913527,13.97,98.72,37000,104,486,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,22:58:47
56,1601913583,13.93,98.85,36975,104,485,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,22:59:43
14,1601913643,13.9,98.98,36975,104,483,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:00:43
85,1601913699,13.87,99.1,37000,104,486,89653D,AUH,SGN,ETD975,-128,B78X,EY975,2020-10-05,23:01:39
37,1601913759,13.83,99.24,36975,104,480,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:02:39
30,1601913823,13.8,99.38,37000,104,489,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:03:43
93,1601913884,13.76,99.52,37000,104,493,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:04:44
63,1601913944,13.73,99.65,36975,105,492,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:05:44
24,1601914004,13.69,99.79,36975,105,488,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:06:44
72,1601914064,13.65,99.92,36975,105,483,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:07:44
21,1601914128,13.62,100.06,37000,105,484,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:08:48
22,1601914192,13.58,100.2,37000,105,484,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:09:52
71,1601914255,13.54,100.35,37000,105,484,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:10:55
52,1601914312,13.51,100.47,37000,105,488,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:11:52
83,1601914368,13.47,100.6,36975,105,489,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:12:48
18,1601914432,13.44,100.74,37000,105,491,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:13:52
32,1601914496,13.4,100.88,37000,105,488,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:14:56
38,1601914551,13.37,101.01,36975,105,485,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:15:51
77,1601914610,13.33,101.14,37000,105,485,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:16:50
44,1601914676,13.29,101.28,37000,105,486,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:17:56
73,1601914739,13.25,101.42,37000,105,490,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:18:59
51,1601914800,13.22,101.56,37000,105,492,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:20:00
79,1601914856,13.18,101.69,36975,105,492,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:20:56
89,1601914911,13.15,101.81,37000,105,493,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:21:51
92,1601914976,13.11,101.96,37000,105,496,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:22:56
19,1601915040,13.07,102.1,37000,105,496,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:24:00
69,1601915104,13.03,102.25,36975,105,490,89653D,AUH,SGN,ETD975,128,B78X,EY975,2020-10-05,23:25:04
17,1601915159,13.0,102.37,36975,105,488,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:25:59
47,1601915224,12.95,102.51,36975,115,487,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:27:04
48,1601915291,12.87,102.64,37000,121,485,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:28:11
55,1601915355,12.8,102.77,37000,121,485,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:29:15
88,1601915412,12.73,102.88,36975,121,486,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:30:12
95,1601915472,12.66,103.0,37000,121,486,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:31:12
29,1601915528,12.59,103.11,37000,121,484,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:32:08
25,1601915587,12.53,103.22,36975,121,482,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:33:07
40,1601915648,12.45,103.34,37000,121,481,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:34:08
96,1601915704,12.39,103.45,37000,121,479,89653D,AUH,SGN,ETD975,64,B78X,EY975,2020-10-05,23:35:04
34,1601915764,12.32,103.57,37000,121,477,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:36:04
78,1601915827,12.25,103.69,37000,121,478,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:37:07
59,1601915888,12.18,103.81,37000,121,477,89653D,AUH,SGN,ETD975,-64,B78X,EY975,2020-10-05,23:38:08
39,1601915948,12.11,103.92,36975,121,478,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:39:08
46,1601916007,12.04,104.03,36975,121,479,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:40:07
42,1601916064,11.97,104.14,37000,121,480,89653D,AUH,SGN,ETD975,0,B78X,EY975,2020-10-05,23:41:04
