,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
25,1601969706,9.19,106.63,10450,3,138,88805D,VCS,SGN,VFC8074,704,AT75,0V8074,2020-10-06,14:35:06
37,1601969766,9.24,106.63,11175,2,203,88805D,VCS,SGN,VFC8074,704,AT75,0V8074,2020-10-06,14:36:06
18,1601969820,9.29,106.63,11775,2,175,88805D,VCS,SGN,VFC8074,768,AT75,0V8074,2020-10-06,14:37:00
1,1601969878,9.34,106.63,12350,358,182,88805D,VCS,SGN,VFC8074,576,AT75,0V8074,2020-10-06,14:37:58
28,1601969917,9.37,106.63,12775,358,187,88805D,VCS,SGN,VFC8074,576,AT75,0V8074,2020-10-06,14:38:37
19,1601969995,9.44,106.63,13650,358,148,88805D,VCS,SGN,VFC8074,640,AT75,0V8074,2020-10-06,14:39:55
17,1601970055,9.5,106.63,14150,358,185,88805D,VCS,SGN,VFC8074,512,AT75,0V8074,2020-10-06,14:40:55
30,1601970113,9.55,106.63,14600,358,203,88805D,VCS,SGN,VFC8074,640,AT75,0V8074,2020-10-06,14:41:53
22,1601970158,9.59,106.63,15000,358,260,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,14:42:38
27,1601970221,9.65,106.63,15000,358,216,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,14:43:41
26,1601970283,9.72,106.63,15000,358,174,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,14:44:43
36,1601970352,9.8,106.63,15000,358,223,88805D,VCS,SGN,VFC8074,-64,AT75,0V8074,2020-10-06,14:45:52
16,1601970415,9.87,106.63,15000,358,70,88805D,VCS,SGN,VFC8074,64,AT75,0V8074,2020-10-06,14:46:55
41,1601970467,9.93,106.63,15000,358,70,88805D,VCS,SGN,VFC8074,-128,AT75,0V8074,2020-10-06,14:47:47
29,1601970517,9.98,106.63,15000,359,276,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,14:48:37
2,1601970569,10.04,106.63,15000,359,124,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,14:49:29
34,1601970648,10.13,106.63,15000,359,195,88805D,VCS,SGN,VFC8074,-64,AT75,0V8074,2020-10-06,14:50:48
35,1601970705,10.2,106.64,14325,27,234,88805D,VCS,SGN,VFC8074,-768,AT75,0V8074,2020-10-06,14:51:45
42,1601970765,10.27,106.64,13700,1,236,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,14:52:45
39,1601970826,10.34,106.64,13100,1,186,88805D,VCS,SGN,VFC8074,-704,AT75,0V8074,2020-10-06,14:53:46
12,1601970880,10.4,106.64,12450,1,261,88805D,VCS,SGN,VFC8074,-704,AT75,0V8074,2020-10-06,14:54:40
6,1601970945,10.47,106.66,11700,48,362,88805D,VCS,SGN,VFC8074,-640,AT75,0V8074,2020-10-06,14:55:45
11,1601971010,10.49,106.74,10950,84,182,88805D,VCS,SGN,VFC8074,-640,AT75,0V8074,2020-10-06,14:56:50
32,1601971066,10.5,106.8,10300,84,180,88805D,VCS,SGN,VFC8074,-768,AT75,0V8074,2020-10-06,14:57:46
31,1601971122,10.51,106.86,9825,74,146,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,14:58:42
10,1601971182,10.52,106.93,9300,84,243,88805D,VCS,SGN,VFC8074,-576,AT75,0V8074,2020-10-06,14:59:42
38,1601971242,10.53,107.0,8800,81,259,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,15:00:42
20,1601971297,10.54,107.05,8325,49,210,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,15:01:37
14,1601971354,10.59,107.08,7850,29,220,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,15:02:34
5,1601971424,10.65,107.12,7275,32,250,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:03:44
33,1601971490,10.71,107.16,6750,30,216,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,15:04:50
8,1601971554,10.77,107.16,6200,357,221,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:05:54
43,1601971605,10.82,107.15,5750,306,93,88805D,VCS,SGN,VFC8074,-576,AT75,0V8074,2020-10-06,15:06:45
24,1601971669,10.84,107.08,5225,285,200,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:07:49
23,1601971726,10.85,107.03,4750,285,153,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:08:46
40,1601971778,10.87,106.98,4300,269,71,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:09:38
21,1601971850,10.88,106.91,3700,288,190,88805D,VCS,SGN,VFC8074,-576,AT75,0V8074,2020-10-06,15:10:50
15,1601971908,10.89,106.86,3225,257,250,88805D,VCS,SGN,VFC8074,-512,AT75,0V8074,2020-10-06,15:11:48
4,1601971967,10.88,106.81,2725,248,130,88805D,VCS,SGN,VFC8074,-448,AT75,0V8074,2020-10-06,15:12:47
0,1601972030,10.86,106.76,1975,252,86,88805D,VCS,SGN,VFC8074,-1216,AT75,0V8074,2020-10-06,15:13:50
13,1601972098,10.84,106.71,1125,254,133,88805D,VCS,SGN,VFC8074,-640,AT75,0V8074,2020-10-06,15:14:58
7,1601972158,10.83,106.68,475,250,132,88805D,VCS,SGN,VFC8074,-704,AT75,0V8074,2020-10-06,15:15:58
9,1601972216,10.82,106.66,0,236,27,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,15:16:56
3,1601972242,10.82,106.66,0,115,25,88805D,VCS,SGN,VFC8074,0,AT75,0V8074,2020-10-06,15:17:22
