timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1601963544,16.62,95.16,37025,117,439,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601969585,11.08,106.06,20075,116,423,800D2C,DEL,SGN,IGO9471,-896,A20N,6E9471
1601965706,14.78,99.25,37025,94,438,800D2C,DEL,SGN,IGO9471,128,A20N,6E9471
1601961863,18.95,92.46,37000,118,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601965105,15.16,98.08,37025,116,444,800D2C,DEL,SGN,IGO9471,64,A20N,6E9471
1601967018,13.37,101.37,37025,130,427,800D2C,DEL,SGN,IGO9471,-128,A20N,6E9471
1601968156,12.38,103.46,36975,121,426,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601969470,11.18,105.85,21950,116,440,800D2C,DEL,SGN,IGO9471,-1088,A20N,6E9471
1601967858,12.69,102.95,37025,121,435,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601963123,17.71,94.85,37000,119,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601965517,14.81,98.86,36950,93,431,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601967682,12.88,102.63,37025,121,439,800D2C,DEL,SGN,IGO9471,64,A20N,6E9471
1601965642,14.79,99.11,36975,94,434,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601962223,18.61,93.15,37000,118,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601966069,14.7,100.0,36975,127,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601969878,10.72,106.46,15175,137,332,800D2C,DEL,SGN,IGO9471,-1024,A20N,6E9471
1601962895,17.94,94.42,37000,119,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601970587,10.65,107.12,5000,315,230,800D2C,DEL,SGN,IGO9471,-960,A20N,6E9471
1601969642,11.03,106.16,19125,116,421,800D2C,DEL,SGN,IGO9471,-960,A20N,6E9471
1601969105,11.51,105.17,33975,115,438,800D2C,DEL,SGN,IGO9471,-3136,A20N,6E9471
1601968450,12.07,103.97,36975,121,432,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601964029,16.16,96.07,37025,117,442,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601965222,15.05,98.3,37050,117,443,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601969413,11.23,105.74,22975,115,436,800D2C,DEL,SGN,IGO9471,-1024,A20N,6E9471
1601971425,10.82,106.66,0,67,32,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601970946,10.88,106.86,2225,276,184,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601968033,12.51,103.25,37000,121,428,800D2C,DEL,SGN,IGO9471,-64,A20N,6E9471
1601964157,16.04,96.31,37000,117,437,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601968330,12.2,103.76,37050,121,431,800D2C,DEL,SGN,IGO9471,-64,A20N,6E9471
1601963183,17.65,94.97,37000,119,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601967330,13.15,101.97,37025,110,440,800D2C,DEL,SGN,IGO9471,-128,A20N,6E9471
1601971499,10.82,106.66,0,71,0,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601962703,18.13,94.06,37000,119,444,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601965889,14.75,99.63,37000,93,440,800D2C,DEL,SGN,IGO9471,-64,A20N,6E9471
1601967202,13.24,101.71,36975,110,436,800D2C,DEL,SGN,IGO9471,128,A20N,6E9471
1601967742,12.82,102.74,37050,121,440,800D2C,DEL,SGN,IGO9471,-64,A20N,6E9471
1601971182,10.83,106.68,550,249,149,800D2C,DEL,SGN,IGO9471,-640,A20N,6E9471
1601971010,10.87,106.81,2225,251,186,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601965043,15.22,97.96,37000,116,441,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601967506,13.03,102.3,37000,110,434,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601964277,15.93,96.53,36975,117,436,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601963721,16.45,95.49,36950,117,436,800D2C,DEL,SGN,IGO9471,-64,A20N,6E9471
1601970880,10.86,106.91,2225,315,182,800D2C,DEL,SGN,IGO9471,64,A20N,6E9471
1601971356,10.82,106.66,0,67,20,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
1601964927,15.32,97.75,36975,116,436,800D2C,DEL,SGN,IGO9471,0,A20N,6E9471
