,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
37,1601963537,25.08,121.23,0,97,0,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,12:52:17
174,1601963598,25.08,121.23,0,180,0,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,12:53:18
17,1601963647,25.08,121.23,0,180,0,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,12:54:07
87,1601963720,25.08,121.23,0,233,22,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,12:55:20
40,1601963762,25.08,121.23,0,230,32,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,12:56:02
64,1601964119,25.07,121.23,0,137,24,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,13:01:59
101,1601964270,25.06,121.23,0,50,25,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,13:04:30
165,1601964291,25.06,121.23,0,50,59,8991C1,TPE,SGN,CAL783,0,A333,CI783,2020-10-06,13:04:51
137,1601964389,25.11,121.28,1975,50,188,8991C1,TPE,SGN,CAL783,960,A333,CI783,2020-10-06,13:06:29
148,1601964450,25.15,121.33,3850,45,249,8991C1,TPE,SGN,CAL783,1984,A333,CI783,2020-10-06,13:07:30
86,1601964491,25.17,121.38,5575,89,262,8991C1,TPE,SGN,CAL783,3008,A333,CI783,2020-10-06,13:08:11
14,1601964574,25.1,121.46,8850,145,293,8991C1,TPE,SGN,CAL783,2112,A333,CI783,2020-10-06,13:09:34
8,1601964638,25.02,121.52,10750,145,327,8991C1,TPE,SGN,CAL783,768,A333,CI783,2020-10-06,13:10:38
125,1601964694,24.95,121.58,11725,145,371,8991C1,TPE,SGN,CAL783,1920,A333,CI783,2020-10-06,13:11:34
32,1601964754,24.86,121.64,13525,145,387,8991C1,TPE,SGN,CAL783,1728,A333,CI783,2020-10-06,13:12:34
54,1601964814,24.77,121.71,15375,145,395,8991C1,TPE,SGN,CAL783,1600,A333,CI783,2020-10-06,13:13:34
106,1601964870,24.69,121.78,17150,145,398,8991C1,TPE,SGN,CAL783,1792,A333,CI783,2020-10-06,13:14:30
117,1601964930,24.59,121.85,18575,145,411,8991C1,TPE,SGN,CAL783,1344,A333,CI783,2020-10-06,13:15:30
24,1601964985,24.5,121.91,20050,153,416,8991C1,TPE,SGN,CAL783,1088,A333,CI783,2020-10-06,13:16:25
177,1601965046,24.39,121.95,21225,165,428,8991C1,TPE,SGN,CAL783,1024,A333,CI783,2020-10-06,13:17:26
56,1601965101,24.28,121.97,22300,177,435,8991C1,TPE,SGN,CAL783,1024,A333,CI783,2020-10-06,13:18:21
134,1601965162,24.16,121.96,23325,191,445,8991C1,TPE,SGN,CAL783,1152,A333,CI783,2020-10-06,13:19:22
175,1601965222,24.04,121.93,24425,195,447,8991C1,TPE,SGN,CAL783,704,A333,CI783,2020-10-06,13:20:22
10,1601965286,23.91,121.88,25400,196,452,8991C1,TPE,SGN,CAL783,896,A333,CI783,2020-10-06,13:21:26
45,1601965346,23.79,121.84,26250,196,459,8991C1,TPE,SGN,CAL783,832,A333,CI783,2020-10-06,13:22:26
39,1601965402,23.68,121.81,26875,196,466,8991C1,TPE,SGN,CAL783,896,A333,CI783,2020-10-06,13:23:22
82,1601965458,23.56,121.77,27850,196,466,8991C1,TPE,SGN,CAL783,1024,A333,CI783,2020-10-06,13:24:18
18,1601965518,23.43,121.73,28600,196,473,8991C1,TPE,SGN,CAL783,768,A333,CI783,2020-10-06,13:25:18
16,1601965578,23.31,121.69,29400,196,478,8991C1,TPE,SGN,CAL783,832,A333,CI783,2020-10-06,13:26:18
47,1601965642,23.17,121.64,30200,196,486,8991C1,TPE,SGN,CAL783,832,A333,CI783,2020-10-06,13:27:22
107,1601965706,23.03,121.6,31050,201,490,8991C1,TPE,SGN,CAL783,768,A333,CI783,2020-10-06,13:28:26
83,1601965766,22.91,121.53,32275,214,486,8991C1,TPE,SGN,CAL783,1408,A333,CI783,2020-10-06,13:29:26
161,1601965830,22.79,121.44,33700,215,479,8991C1,TPE,SGN,CAL783,1216,A333,CI783,2020-10-06,13:30:30
146,1601965890,22.69,121.35,34675,218,481,8991C1,TPE,SGN,CAL783,704,A333,CI783,2020-10-06,13:31:30
184,1601965946,22.59,121.27,35450,219,484,8991C1,TPE,SGN,CAL783,960,A333,CI783,2020-10-06,13:32:26
171,1601966005,22.49,121.18,36000,219,481,8991C1,TPE,SGN,CAL783,-64,A333,CI783,2020-10-06,13:33:25
