timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1601995711,9.94,106.01,20000,35,376,8A04DC,XSP,SGN,TMG501,-448,B733,GM501
1601997086,10.81,106.66,0,146,21,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601995771,10.02,106.08,19500,34,376,8A04DC,XSP,SGN,TMG501,-576,B733,GM501
1601996251,10.5,106.7,11975,46,330,8A04DC,XSP,SGN,TMG501,-1600,B733,GM501
1601994616,8.19,104.78,28000,35,430,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601992058,3.23,104.0,28000,8,439,8A04DC,XSP,SGN,TMG501,-64,B733,GM501
1601995411,9.5,105.7,23950,35,401,8A04DC,XSP,SGN,TMG501,-1024,B733,GM501
1601991275,1.68,103.94,18775,341,380,8A04DC,XSP,SGN,TMG501,2496,B733,GM501
1601992478,4.08,104.13,28025,8,437,8A04DC,XSP,SGN,TMG501,-64,B733,GM501
1601991698,2.51,103.89,28000,8,442,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601995111,9.02,105.37,28025,35,426,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601996850,10.82,106.67,275,248,136,8A04DC,XSP,SGN,TMG501,-448,B733,GM501
1601991578,2.26,103.88,27475,356,437,8A04DC,XSP,SGN,TMG501,960,B733,GM501
1601991822,2.76,103.93,28000,8,438,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601995230,9.21,105.5,27325,35,422,8A04DC,XSP,SGN,TMG501,-1024,B733,GM501
1601995347,9.4,105.63,25000,35,411,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601997086,10.81,106.66,0,146,21,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601996494,10.78,106.86,4725,27,236,8A04DC,XSP,SGN,TMG501,-1792,B733,GM501
1601992421,3.96,104.11,28000,8,436,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601992357,3.84,104.09,28000,9,434,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601996607,10.87,106.83,2650,306,185,8A04DC,XSP,SGN,TMG501,-896,B733,GM501
1601991148,1.43,104.06,11875,30,314,8A04DC,XSP,SGN,TMG501,2432,B733,GM501
1601996071,10.34,106.46,15300,56,349,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601994982,8.81,105.22,28000,34,429,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601991398,1.9,103.9,23150,356,412,8A04DC,XSP,SGN,TMG501,1728,B733,GM501
1601995167,9.11,105.43,28000,35,426,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601991934,2.98,103.96,28000,8,438,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601995047,8.92,105.29,28000,35,425,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601992530,4.18,104.14,28025,8,438,8A04DC,XSP,SGN,TMG501,128,B733,GM501
1601992604,4.31,104.16,28025,8,438,8A04DC,XSP,SGN,TMG501,128,B733,GM501
1601995595,9.77,105.9,20925,35,382,8A04DC,XSP,SGN,TMG501,-832,B733,GM501
1601992119,3.36,104.02,28025,8,441,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601995652,9.85,105.95,20475,34,380,8A04DC,XSP,SGN,TMG501,-512,B733,GM501
1601992760,4.58,104.2,28025,8,438,8A04DC,XSP,SGN,TMG501,128,B733,GM501
1601991994,3.1,103.98,28025,8,437,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601994920,8.69,105.13,28000,34,433,8A04DC,XSP,SGN,TMG501,-128,B733,GM501
1601992760,4.58,104.2,28025,8,438,8A04DC,XSP,SGN,TMG501,128,B733,GM501
1601992302,3.73,104.07,28000,8,436,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601995530,9.68,105.83,22000,34,387,8A04DC,XSP,SGN,TMG501,-1024,B733,GM501
1601996186,10.44,106.62,13400,56,335,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601992239,3.6,104.05,28000,8,438,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601996315,10.58,106.75,9700,27,317,8A04DC,XSP,SGN,TMG501,-2048,B733,GM501
1601991879,2.87,103.94,28000,8,438,8A04DC,XSP,SGN,TMG501,64,B733,GM501
1601996786,10.84,106.71,1000,249,127,8A04DC,XSP,SGN,TMG501,-640,B733,GM501
1601994797,8.51,105.0,28000,35,433,8A04DC,XSP,SGN,TMG501,-128,B733,GM501
1601995471,9.59,105.77,22950,35,396,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601994732,8.4,104.93,28025,35,433,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601991208,1.53,104.02,14699,303,359,8A04DC,XSP,SGN,TMG501,2880,B733,GM501
1601994846,8.59,105.06,28000,34,433,8A04DC,XSP,SGN,TMG501,-128,B733,GM501
1601991333,1.78,103.91,20700,353,403,8A04DC,XSP,SGN,TMG501,1984,B733,GM501
1601996011,10.29,106.38,16275,57,357,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601996549,10.84,106.87,3300,335,225,8A04DC,XSP,SGN,TMG501,-768,B733,GM501
1601994662,8.28,104.85,28025,35,429,8A04DC,XSP,SGN,TMG501,0,B733,GM501
1601995287,9.3,105.57,26275,35,414,8A04DC,XSP,SGN,TMG501,-2432,B733,GM501
1601991515,2.13,103.89,26450,356,435,8A04DC,XSP,SGN,TMG501,896,B733,GM501
1601992652,4.39,104.17,28025,8,438,8A04DC,XSP,SGN,TMG501,128,B733,GM501
1601996726,10.85,106.74,1625,249,143,8A04DC,XSP,SGN,TMG501,-960,B733,GM501
1601991455,2.01,103.9,24750,356,431,8A04DC,XSP,SGN,TMG501,2176,B733,GM501
1601996371,10.65,106.79,8525,27,278,8A04DC,XSP,SGN,TMG501,-1792,B733,GM501
1601996666,10.87,106.79,2150,248,179,8A04DC,XSP,SGN,TMG501,0,B733,GM501
