timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1602416870,13.35,101.7,41000,115,445,896218,DXB,SGN,UAE392,0,B77W,EK392
1602419110,11.08,105.9,26375,153,457,896218,DXB,SGN,UAE392,-1856,B77W,EK392
1602414790,14.27,97.52,41000,104,433,896218,DXB,SGN,UAE392,-64,B77W,EK392
1602415863,13.98,99.71,41000,95,438,896218,DXB,SGN,UAE392,0,B77W,EK392
1602420116,10.67,107.15,4800,309,203,896218,DXB,SGN,UAE392,-512,B77W,EK392
1602415326,14.08,98.6,41000,94,434,896218,DXB,SGN,UAE392,0,B77W,EK392
1602421254,10.81,106.66,0,180,0,896218,DXB,SGN,UAE392,0,B77W,EK392
1602416747,13.46,101.46,41000,117,445,896218,DXB,SGN,UAE392,0,B77W,EK392
1602417634,12.91,103.24,41000,119,453,896218,DXB,SGN,UAE392,0,B77W,EK392
1602417454,13.03,102.88,41000,99,451,896218,DXB,SGN,UAE392,0,B77W,EK392
1602418623,11.67,104.97,41000,118,471,896218,DXB,SGN,UAE392,0,B77W,EK392
1602415690,14.01,99.36,41000,95,438,896218,DXB,SGN,UAE392,0,B77W,EK392
1602417166,13.12,102.28,41000,99,448,896218,DXB,SGN,UAE392,0,B77W,EK392
1602417279,13.09,102.51,41000,99,450,896218,DXB,SGN,UAE392,0,B77W,EK392
1602414726,14.31,97.39,41000,104,434,896218,DXB,SGN,UAE392,0,B77W,EK392
1602417875,12.6,103.66,41000,134,460,896218,DXB,SGN,UAE392,-64,B77W,EK392
1602415155,14.1,98.25,41000,95,435,896218,DXB,SGN,UAE392,0,B77W,EK392
1602414665,14.34,97.27,41000,104,436,896218,DXB,SGN,UAE392,0,B77W,EK392
1602415751,14.0,99.48,41000,95,439,896218,DXB,SGN,UAE392,0,B77W,EK392
1602418807,11.47,105.34,39175,118,472,896218,DXB,SGN,UAE392,-2048,B77W,EK392
1602416043,13.94,100.09,41000,95,441,896218,DXB,SGN,UAE392,-64,B77W,EK392
1602416335,13.85,100.69,41000,116,445,896218,DXB,SGN,UAE392,0,B77W,EK392
1602414972,14.18,97.88,41000,104,431,896218,DXB,SGN,UAE392,0,B77W,EK392
1602419046,11.2,105.82,28550,134,492,896218,DXB,SGN,UAE392,-2368,B77W,EK392
