timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1602585797,10.47,106.94,8325,3,299,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602585855,10.55,106.94,6825,358,118,88805D,VCS,SGN,VFC1862,-1728,AT75,0V1862
1602584965,9.48,106.74,14475,20,250,88805D,VCS,SGN,VFC1862,832,AT75,0V1862
1602584674,9.19,106.65,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585018,9.53,106.76,15000,18,198,88805D,VCS,SGN,VFC1862,256,AT75,0V1862
1602585664,10.29,106.93,11625,358,282,88805D,VCS,SGN,VFC1862,-1408,AT75,0V1862
1602586466,10.82,106.66,0,250,35,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585080,9.59,106.78,15000,16,155,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585610,10.22,106.93,12975,359,307,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602584710,9.22,106.66,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602586332,10.84,106.72,1225,245,119,88805D,VCS,SGN,VFC1862,-704,AT75,0V1862
1602584852,9.37,106.71,13200,15,231,88805D,VCS,SGN,VFC1862,768,AT75,0V1862
1602584907,9.42,106.73,13825,17,201,88805D,VCS,SGN,VFC1862,640,AT75,0V1862
1602586209,10.87,106.79,2250,242,184,88805D,VCS,SGN,VFC1862,-64,AT75,0V1862
1602585732,10.39,106.94,9925,7,223,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602585321,9.87,106.86,15000,15,270,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602585116,9.63,106.79,15000,17,259,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602586384,10.83,106.69,725,246,119,88805D,VCS,SGN,VFC1862,-512,AT75,0V1862
1602586035,10.76,106.87,3850,342,196,88805D,VCS,SGN,VFC1862,-832,AT75,0V1862
1602585973,10.68,106.9,4875,341,262,88805D,VCS,SGN,VFC1862,-960,AT75,0V1862
1602586097,10.82,106.85,3000,346,229,88805D,VCS,SGN,VFC1862,-832,AT75,0V1862
1602585912,10.61,106.92,5875,343,234,88805D,VCS,SGN,VFC1862,-1088,AT75,0V1862
1602584598,9.14,106.63,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585376,9.93,106.88,15000,14,241,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602586453,10.82,106.66,0,250,62,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602586153,10.86,106.83,2275,312,143,88805D,VCS,SGN,VFC1862,-384,AT75,0V1862
1602586272,10.85,106.75,1825,247,66,88805D,VCS,SGN,VFC1862,-768,AT75,0V1862
1602585541,10.13,106.93,14675,359,125,88805D,VCS,SGN,VFC1862,-1408,AT75,0V1862
1602585431,10.0,106.9,15000,14,240,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585495,10.07,106.92,15000,13,305,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585259,9.79,106.84,15000,17,180,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602584710,9.22,106.66,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585195,9.72,106.82,15000,14,241,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585797,10.47,106.94,8325,3,299,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602585855,10.55,106.94,6825,358,118,88805D,VCS,SGN,VFC1862,-1728,AT75,0V1862
1602584965,9.48,106.74,14475,20,250,88805D,VCS,SGN,VFC1862,832,AT75,0V1862
1602584674,9.19,106.65,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585018,9.53,106.76,15000,18,198,88805D,VCS,SGN,VFC1862,256,AT75,0V1862
1602585664,10.29,106.93,11625,358,282,88805D,VCS,SGN,VFC1862,-1408,AT75,0V1862
1602586466,10.82,106.66,0,250,35,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585080,9.59,106.78,15000,16,155,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585610,10.22,106.93,12975,359,307,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602584710,9.22,106.66,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602586332,10.84,106.72,1225,245,119,88805D,VCS,SGN,VFC1862,-704,AT75,0V1862
1602584852,9.37,106.71,13200,15,231,88805D,VCS,SGN,VFC1862,768,AT75,0V1862
1602584907,9.42,106.73,13825,17,201,88805D,VCS,SGN,VFC1862,640,AT75,0V1862
1602586209,10.87,106.79,2250,242,184,88805D,VCS,SGN,VFC1862,-64,AT75,0V1862
1602585732,10.39,106.94,9925,7,223,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602585321,9.87,106.86,15000,15,270,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602585116,9.63,106.79,15000,17,259,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602586384,10.83,106.69,725,246,119,88805D,VCS,SGN,VFC1862,-512,AT75,0V1862
1602586035,10.76,106.87,3850,342,196,88805D,VCS,SGN,VFC1862,-832,AT75,0V1862
1602585973,10.68,106.9,4875,341,262,88805D,VCS,SGN,VFC1862,-960,AT75,0V1862
1602586097,10.82,106.85,3000,346,229,88805D,VCS,SGN,VFC1862,-832,AT75,0V1862
1602585912,10.61,106.92,5875,343,234,88805D,VCS,SGN,VFC1862,-1088,AT75,0V1862
1602584598,9.14,106.63,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585376,9.93,106.88,15000,14,241,88805D,VCS,SGN,VFC1862,64,AT75,0V1862
1602586453,10.82,106.66,0,250,62,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602586153,10.86,106.83,2275,312,143,88805D,VCS,SGN,VFC1862,-384,AT75,0V1862
1602586272,10.85,106.75,1825,247,66,88805D,VCS,SGN,VFC1862,-768,AT75,0V1862
1602585541,10.13,106.93,14675,359,125,88805D,VCS,SGN,VFC1862,-1408,AT75,0V1862
1602585431,10.0,106.9,15000,14,240,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585495,10.07,106.92,15000,13,305,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585259,9.79,106.84,15000,17,180,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602584710,9.22,106.66,10000,17,185,88805D,VCS,SGN,VFC1862,960,AT75,0V1862
1602585195,9.72,106.82,15000,14,241,88805D,VCS,SGN,VFC1862,0,AT75,0V1862
1602585797,10.47,106.94,8325,3,299,88805D,VCS,SGN,VFC1862,-1536,AT75,0V1862
1602585855,10.55,106.94,6825,358,118,88805D,VCS,SGN,VFC1862,-1728,AT75,0V1862
1602584965,9.48,106.74,14475,20,250,88805D,VCS,SGN,VFC1862,832,AT75,0V1862
