timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1604133880,11.22,107.3,8875,234,307,8880DF,HAN,SGN,HVN263,-2496,B789,VN263
1604129802,19.57,106.52,36575,154,471,8880DF,HAN,SGN,HVN263,1344,B789,VN263
1604132235,14.48,108.16,39975,181,477,8880DF,HAN,SGN,HVN263,64,B789,VN263
1604128660,21.23,105.79,0,90,7,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604129497,20.18,106.22,27600,154,454,8880DF,HAN,SGN,HVN263,2240,B789,VN263
1604132189,14.58,108.17,40000,181,477,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604132609,13.65,108.15,39975,181,477,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604130714,17.78,107.2,38000,185,470,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604132300,14.33,108.16,40000,181,479,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604133578,11.58,107.72,21100,209,449,8880DF,HAN,SGN,HVN263,-2368,B789,VN263
1604133513,11.7,107.79,23500,210,461,8880DF,HAN,SGN,HVN263,-2432,B789,VN263
1604133098,12.56,108.12,35050,180,490,8880DF,HAN,SGN,HVN263,-1536,B789,VN263
1604130590,18.02,107.03,38000,183,480,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604130890,17.68,107.25,38000,185,482,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604132064,14.86,108.17,40000,181,484,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604128908,21.17,105.98,5550,120,271,8880DF,HAN,SGN,HVN263,2752,B789,VN263
1604131827,15.39,108.18,40000,181,481,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604131884,15.26,108.18,39975,181,480,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604134058,11.08,107.1,5575,234,281,8880DF,HAN,SGN,HVN263,-832,B789,VN263
1604134637,10.82,106.65,0,247,31,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604128725,21.22,105.8,0,109,82,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604129258,20.63,106.07,19000,171,398,8880DF,HAN,SGN,HVN263,2368,B789,VN263
1604131132,16.87,107.81,37975,155,480,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604134478,10.85,106.75,1725,248,149,8880DF,HAN,SGN,HVN263,-832,B789,VN263
1604131184,16.76,107.86,38000,155,480,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604134129,11.03,107.03,5000,234,247,8880DF,HAN,SGN,HVN263,-768,B789,VN263
1604129982,19.21,106.7,37975,155,481,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604130342,18.5,106.86,37975,182,483,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604132546,13.79,108.15,39975,181,476,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604128780,21.21,105.84,1025,108,169,8880DF,HAN,SGN,HVN263,2368,B789,VN263
1604129861,19.45,106.58,37350,154,485,8880DF,HAN,SGN,HVN263,1344,B789,VN263
1604133221,12.28,108.11,33850,189,498,8880DF,HAN,SGN,HVN263,-960,B789,VN263
1604132428,14.05,108.15,39975,181,479,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604130282,18.61,106.86,37975,182,483,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604130149,18.86,106.86,37975,155,483,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604131769,15.52,108.19,40000,181,482,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604133819,11.28,107.37,11175,234,338,8880DF,HAN,SGN,HVN263,-1472,B789,VN263
1604128848,21.19,105.9,2625,107,254,8880DF,HAN,SGN,HVN263,2304,B789,VN263
1604131948,15.12,108.18,40000,181,482,8880DF,HAN,SGN,HVN263,0,B789,VN263
1604129140,20.84,106.04,13700,171,370,8880DF,HAN,SGN,HVN263,2496,B789,VN263
1604130092,18.98,106.81,38000,155,483,8880DF,HAN,SGN,HVN263,-64,B789,VN263
1604131066,17.0,107.74,38000,154,483,8880DF,HAN,SGN,HVN263,-64,B789,VN263
