timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1604638630,10.82,106.66,0,250,98,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637195,10.67,106.51,14175,137,284,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604638235,10.85,106.96,2075,291,194,70E048,PNH,SGN,KHV816,-128,A320,K6816
1604637860,10.66,107.21,7050,28,253,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638472,10.86,106.75,1750,248,168,70E048,PNH,SGN,KHV816,-1024,A320,K6816
1604636545,11.25,105.57,19000,106,416,70E048,PNH,SGN,KHV816,64,A320,K6816
1604637658,10.53,107.02,7075,68,253,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636057,11.46,104.82,4750,185,272,70E048,PNH,SGN,KHV816,4672,A320,K6816
1604638106,10.81,107.07,4125,291,194,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604638172,10.83,107.01,3025,291,194,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604637733,10.56,107.1,7050,62,254,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637017,10.86,106.33,15975,137,353,70E048,PNH,SGN,KHV816,-1024,A320,K6816
1604638630,10.82,106.66,0,250,98,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637979,10.76,107.18,5925,291,233,70E048,PNH,SGN,KHV816,-704,A320,K6816
1604636598,11.22,105.67,19000,110,415,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637806,10.61,107.17,7050,43,251,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638827,10.82,106.66,0,67,8,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637358,10.55,106.67,10850,112,266,70E048,PNH,SGN,KHV816,-960,A320,K6816
1604636428,11.25,105.34,19000,86,413,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636179,11.33,104.9,11725,114,342,70E048,PNH,SGN,KHV816,1152,A320,K6816
1604637146,10.71,106.46,14950,137,286,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604636488,11.25,105.46,19000,86,416,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637912,10.72,107.23,7050,5,252,70E048,PNH,SGN,KHV816,-192,A320,K6816
1604638530,10.84,106.72,1050,249,130,70E048,PNH,SGN,KHV816,-576,A320,K6816
1604638296,10.87,106.9,2075,285,198,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636241,11.29,105.0,14000,114,391,70E048,PNH,SGN,KHV816,2688,A320,K6816
1604638357,10.88,106.85,2075,277,199,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637077,10.79,106.4,15075,138,337,70E048,PNH,SGN,KHV816,-256,A320,K6816
1604636308,11.24,105.11,17175,107,402,70E048,PNH,SGN,KHV816,2368,A320,K6816
1604636959,10.93,106.27,16875,137,329,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604637251,10.61,106.56,12925,137,285,70E048,PNH,SGN,KHV816,-576,A320,K6816
1604637612,10.51,106.97,7075,76,258,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637551,10.49,106.89,7025,76,258,70E048,PNH,SGN,KHV816,64,A320,K6816
1604637432,10.51,106.76,9325,111,260,70E048,PNH,SGN,KHV816,-1280,A320,K6816
1604638885,10.82,106.67,0,11,3,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637488,10.49,106.82,8025,111,257,70E048,PNH,SGN,KHV816,-1728,A320,K6816
1604638593,10.83,106.68,375,248,124,70E048,PNH,SGN,KHV816,-640,A320,K6816
1604636898,11.0,106.2,17850,136,362,70E048,PNH,SGN,KHV816,-832,A320,K6816
1604638045,10.79,107.12,4975,291,205,70E048,PNH,SGN,KHV816,-832,A320,K6816
1604636658,11.17,105.78,19000,110,417,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636367,11.24,105.23,18950,86,410,70E048,PNH,SGN,KHV816,512,A320,K6816
1604636716,11.14,105.89,19000,110,415,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636775,11.1,105.99,19000,111,416,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638412,10.87,106.8,2075,250,178,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638899,10.82,106.67,0,11,1,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636106,11.39,104.82,8175,174,293,70E048,PNH,SGN,KHV816,3648,A320,K6816
1604636827,11.06,106.09,18975,111,416,70E048,PNH,SGN,KHV816,-384,A320,K6816
1604637298,10.57,106.6,12125,112,269,70E048,PNH,SGN,KHV816,-1024,A320,K6816
1604638630,10.82,106.66,0,250,98,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637195,10.67,106.51,14175,137,284,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604638235,10.85,106.96,2075,291,194,70E048,PNH,SGN,KHV816,-128,A320,K6816
1604637860,10.66,107.21,7050,28,253,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638472,10.86,106.75,1750,248,168,70E048,PNH,SGN,KHV816,-1024,A320,K6816
1604636545,11.25,105.57,19000,106,416,70E048,PNH,SGN,KHV816,64,A320,K6816
1604637658,10.53,107.02,7075,68,253,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636057,11.46,104.82,4750,185,272,70E048,PNH,SGN,KHV816,4672,A320,K6816
1604638106,10.81,107.07,4125,291,194,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604638172,10.83,107.01,3025,291,194,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604637733,10.56,107.1,7050,62,254,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637017,10.86,106.33,15975,137,353,70E048,PNH,SGN,KHV816,-1024,A320,K6816
1604638630,10.82,106.66,0,250,98,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637979,10.76,107.18,5925,291,233,70E048,PNH,SGN,KHV816,-704,A320,K6816
1604636598,11.22,105.67,19000,110,415,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637806,10.61,107.17,7050,43,251,70E048,PNH,SGN,KHV816,0,A320,K6816
1604638827,10.82,106.66,0,67,8,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637358,10.55,106.67,10850,112,266,70E048,PNH,SGN,KHV816,-960,A320,K6816
1604636428,11.25,105.34,19000,86,413,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636179,11.33,104.9,11725,114,342,70E048,PNH,SGN,KHV816,1152,A320,K6816
1604637146,10.71,106.46,14950,137,286,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604636488,11.25,105.46,19000,86,416,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637912,10.72,107.23,7050,5,252,70E048,PNH,SGN,KHV816,-192,A320,K6816
1604638530,10.84,106.72,1050,249,130,70E048,PNH,SGN,KHV816,-576,A320,K6816
1604638296,10.87,106.9,2075,285,198,70E048,PNH,SGN,KHV816,0,A320,K6816
1604636241,11.29,105.0,14000,114,391,70E048,PNH,SGN,KHV816,2688,A320,K6816
1604638357,10.88,106.85,2075,277,199,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637077,10.79,106.4,15075,138,337,70E048,PNH,SGN,KHV816,-256,A320,K6816
1604636308,11.24,105.11,17175,107,402,70E048,PNH,SGN,KHV816,2368,A320,K6816
1604636959,10.93,106.27,16875,137,329,70E048,PNH,SGN,KHV816,-896,A320,K6816
1604637251,10.61,106.56,12925,137,285,70E048,PNH,SGN,KHV816,-576,A320,K6816
1604637612,10.51,106.97,7075,76,258,70E048,PNH,SGN,KHV816,0,A320,K6816
1604637551,10.49,106.89,7025,76,258,70E048,PNH,SGN,KHV816,64,A320,K6816
1604637432,10.51,106.76,9325,111,260,70E048,PNH,SGN,KHV816,-1280,A320,K6816
1604638885,10.82,106.67,0,11,3,70E048,PNH,SGN,KHV816,0,A320,K6816
