,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
57,1605038344,22.59,113.84,2425,153,181,A3C2D5,SZX,SGN,UPS146,2112,B763,5X146,2020-11-11,02:59:04
76,1605038402,22.54,113.87,3775,152,234,A3C2D5,SZX,SGN,UPS146,1792,B763,5X146,2020-11-11,03:00:02
65,1605038470,22.48,113.83,6350,270,277,A3C2D5,SZX,SGN,UPS146,2048,B763,5X146,2020-11-11,03:01:10
16,1605038530,22.48,113.74,8725,265,289,A3C2D5,SZX,SGN,UPS146,2432,B763,5X146,2020-11-11,03:02:10
56,1605038589,22.47,113.66,10625,250,311,A3C2D5,SZX,SGN,UPS146,768,B763,5X146,2020-11-11,03:03:09
4,1605038653,22.39,113.61,11975,186,363,A3C2D5,SZX,SGN,UPS146,320,B763,5X146,2020-11-11,03:04:13
81,1605038710,22.29,113.6,12000,187,355,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:05:10
69,1605038774,22.19,113.58,12025,188,354,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:06:14
6,1605038832,22.09,113.57,12025,188,356,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:07:12
18,1605038881,22.01,113.56,12025,188,358,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:08:01
86,1605038959,21.89,113.56,12025,179,357,A3C2D5,SZX,SGN,UPS146,-64,B763,5X146,2020-11-11,03:09:19
12,1605039016,21.78,113.57,13375,176,391,A3C2D5,SZX,SGN,UPS146,2304,B763,5X146,2020-11-11,03:10:16
54,1605039074,21.67,113.57,15625,176,415,A3C2D5,SZX,SGN,UPS146,2816,B763,5X146,2020-11-11,03:11:14
42,1605039131,21.58,113.58,16425,176,418,A3C2D5,SZX,SGN,UPS146,2560,B763,5X146,2020-11-11,03:12:11
46,1605039186,21.46,113.61,20100,157,445,A3C2D5,SZX,SGN,UPS146,1920,B763,5X146,2020-11-11,03:13:06
75,1605039255,21.32,113.64,22500,191,449,A3C2D5,SZX,SGN,UPS146,1792,B763,5X146,2020-11-11,03:14:15
31,1605039315,21.19,113.6,24175,193,463,A3C2D5,SZX,SGN,UPS146,1664,B763,5X146,2020-11-11,03:15:15
66,1605039379,21.06,113.57,26175,189,473,A3C2D5,SZX,SGN,UPS146,2560,B763,5X146,2020-11-11,03:16:19
84,1605039429,20.95,113.55,27375,190,482,A3C2D5,SZX,SGN,UPS146,1344,B763,5X146,2020-11-11,03:17:09
58,1605039500,20.79,113.52,29150,190,488,A3C2D5,SZX,SGN,UPS146,2112,B763,5X146,2020-11-11,03:18:20
111,1605039567,20.66,113.49,30050,190,484,A3C2D5,SZX,SGN,UPS146,1664,B763,5X146,2020-11-11,03:19:27
25,1605039608,20.55,113.47,31975,190,484,A3C2D5,SZX,SGN,UPS146,576,B763,5X146,2020-11-11,03:20:08
39,1605039671,20.43,113.45,31975,190,484,A3C2D5,SZX,SGN,UPS146,576,B763,5X146,2020-11-11,03:21:11
27,1605039731,20.32,113.43,31975,190,484,A3C2D5,SZX,SGN,UPS146,576,B763,5X146,2020-11-11,03:22:11
93,1605039792,20.15,113.39,32025,190,487,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:23:12
59,1605039852,20.01,113.37,32025,190,488,A3C2D5,SZX,SGN,UPS146,0,B763,5X146,2020-11-11,03:24:12
