timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1605110656,14.58,98.13,39000,112,479,896465,AUH,SGN,ETD975,0,B789,EY975
1605114482,11.11,105.95,19950,111,417,896465,AUH,SGN,ETD975,-1600,B789,EY975
1605112519,13.13,102.13,38975,115,479,896465,AUH,SGN,ETD975,64,B789,EY975
1605111362,14.13,99.68,39000,104,483,896465,AUH,SGN,ETD975,0,B789,EY975
1605112634,13.02,102.36,39000,115,482,896465,AUH,SGN,ETD975,0,B789,EY975
1605111956,13.67,100.97,38975,115,489,896465,AUH,SGN,ETD975,0,B789,EY975
1605112755,12.9,102.61,39000,121,480,896465,AUH,SGN,ETD975,0,B789,EY975
1605116023,10.82,106.66,0,95,1,896465,AUH,SGN,ETD975,0,B789,EY975
1605114113,11.39,105.24,27975,111,461,896465,AUH,SGN,ETD975,-832,B789,EY975
1605114001,11.48,105.01,29525,111,475,896465,AUH,SGN,ETD975,-1088,B789,EY975
1605115024,10.61,106.66,7150,67,299,896465,AUH,SGN,ETD975,-1024,B789,EY975
1605110480,14.73,97.76,39000,112,483,896465,AUH,SGN,ETD975,-64,B789,EY975
1605115438,10.87,106.78,2050,248,188,896465,AUH,SGN,ETD975,0,B789,EY975
1605111078,14.29,99.05,38975,104,481,896465,AUH,SGN,ETD975,-64,B789,EY975
1605110164,15.0,97.09,39000,112,482,896465,AUH,SGN,ETD975,-64,B789,EY975
1605111252,14.19,99.43,39000,104,484,896465,AUH,SGN,ETD975,-128,B789,EY975
1605114239,11.29,105.49,26225,111,445,896465,AUH,SGN,ETD975,-1600,B789,EY975
1605115263,10.75,106.88,3425,337,250,896465,AUH,SGN,ETD975,-1024,B789,EY975
1605113644,11.87,104.31,38150,121,463,896465,AUH,SGN,ETD975,-1536,B789,EY975
1605111848,13.77,100.74,39000,114,490,896465,AUH,SGN,ETD975,-64,B789,EY975
1605112032,13.59,101.12,39000,115,484,896465,AUH,SGN,ETD975,-64,B789,EY975
1605115923,10.82,106.66,0,70,13,896465,AUH,SGN,ETD975,0,B789,EY975
1605111908,13.71,100.86,39000,114,489,896465,AUH,SGN,ETD975,-64,B789,EY975
1605115853,10.81,106.65,0,70,16,896465,AUH,SGN,ETD975,0,B789,EY975
1605112812,12.83,102.72,39000,121,479,896465,AUH,SGN,ETD975,-64,B789,EY975
1605114359,11.2,105.72,23325,111,435,896465,AUH,SGN,ETD975,-1216,B789,EY975
1605113164,12.42,103.39,39000,121,478,896465,AUH,SGN,ETD975,-64,B789,EY975
1605115083,10.64,106.73,6225,67,264,896465,AUH,SGN,ETD975,-1472,B789,EY975
1605114594,11.03,106.15,17225,113,394,896465,AUH,SGN,ETD975,-1664,B789,EY975
1605110539,14.68,97.89,39000,112,483,896465,AUH,SGN,ETD975,-64,B789,EY975
1605112086,13.54,101.24,39000,115,481,896465,AUH,SGN,ETD975,-64,B789,EY975
1605110775,14.48,98.38,38975,112,480,896465,AUH,SGN,ETD975,0,B789,EY975
1605113103,12.49,103.28,38975,121,475,896465,AUH,SGN,ETD975,0,B789,EY975
1605114899,10.66,106.51,9225,137,329,896465,AUH,SGN,ETD975,-1088,B789,EY975
1605116023,10.82,106.66,0,95,1,896465,AUH,SGN,ETD975,0,B789,EY975
1605114844,10.73,106.45,10225,137,349,896465,AUH,SGN,ETD975,-1344,B789,EY975
1605110355,14.84,97.49,39000,112,482,896465,AUH,SGN,ETD975,0,B789,EY975
1605114416,11.16,105.83,21925,111,429,896465,AUH,SGN,ETD975,-2112,B789,EY975
1605111019,14.32,98.92,39000,104,480,896465,AUH,SGN,ETD975,64,B789,EY975
1605112575,13.08,102.24,39000,115,481,896465,AUH,SGN,ETD975,-64,B789,EY975
1605115682,10.81,106.64,0,163,13,896465,AUH,SGN,ETD975,0,B789,EY975
1605111432,14.09,99.83,38975,104,484,896465,AUH,SGN,ETD975,64,B789,EY975
1605112212,13.42,101.5,39000,115,480,896465,AUH,SGN,ETD975,-64,B789,EY975
1605114783,10.8,106.38,11675,137,358,896465,AUH,SGN,ETD975,-1920,B789,EY975
1605115143,10.67,106.8,5350,67,246,896465,AUH,SGN,ETD975,-1088,B789,EY975
1605115496,10.85,106.73,1375,249,171,896465,AUH,SGN,ETD975,-960,B789,EY975
1605113046,12.56,103.17,39000,121,475,896465,AUH,SGN,ETD975,-64,B789,EY975
1605110416,14.79,97.62,38975,112,483,896465,AUH,SGN,ETD975,0,B789,EY975
1605114067,11.43,105.14,28575,111,467,896465,AUH,SGN,ETD975,-832,B789,EY975
1605111608,13.99,100.23,39000,104,487,896465,AUH,SGN,ETD975,-64,B789,EY975
1605111488,14.06,99.96,38975,104,487,896465,AUH,SGN,ETD975,0,B789,EY975
1605115742,10.81,106.65,0,95,6,896465,AUH,SGN,ETD975,0,B789,EY975
1605111787,13.83,100.61,39000,115,488,896465,AUH,SGN,ETD975,0,B789,EY975
1605112931,12.69,102.95,39000,121,476,896465,AUH,SGN,ETD975,0,B789,EY975
1605113764,11.73,104.54,34900,121,479,896465,AUH,SGN,ETD975,-1344,B789,EY975
1605112988,12.63,103.06,39000,121,475,896465,AUH,SGN,ETD975,0,B789,EY975
1605112867,12.76,102.82,39000,121,477,896465,AUH,SGN,ETD975,0,B789,EY975
1605110105,15.05,96.96,39000,112,480,896465,AUH,SGN,ETD975,0,B789,EY975
