timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1605528959,6.64,103.09,37000,59,470,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527746,5.44,100.9,21950,81,416,4CAB31,PEN,SGN,AHK562,2752,A332,LD562
1605529200,6.93,103.56,37000,45,473,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605533211,10.82,106.67,325,249,137,4CAB31,PEN,SGN,AHK562,-704,A332,LD562
1605528598,6.24,102.44,37000,58,468,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605532865,10.87,106.91,2100,305,190,4CAB31,PEN,SGN,AHK562,-384,A332,LD562
1605530345,8.89,105.13,34250,38,430,4CAB31,PEN,SGN,AHK562,-1088,A332,LD562
1605531319,10.08,106.1,16750,38,276,4CAB31,PEN,SGN,AHK562,-1024,A332,LD562
1605529860,8.06,104.47,37000,38,473,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605530885,9.61,105.71,24625,38,335,4CAB31,PEN,SGN,AHK562,-1408,A332,LD562
1605532023,10.46,106.8,7100,68,232,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605529320,7.13,103.72,37000,38,471,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605530224,8.68,104.97,36225,38,473,4CAB31,PEN,SGN,AHK562,-1024,A332,LD562
1605530108,8.49,104.81,37000,38,471,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605533396,10.82,106.65,0,73,11,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527810,5.46,101.03,24175,81,438,4CAB31,PEN,SGN,AHK562,2496,A332,LD562
1605528719,6.38,102.66,37000,57,471,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605529984,8.27,104.64,37000,38,469,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527188,5.29,100.27,0,358,7,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605532381,10.57,107.12,7100,52,196,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605530166,8.59,104.89,37000,38,473,4CAB31,PEN,SGN,AHK562,64,A332,LD562
1605526886,5.29,100.27,0,229,3,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527990,5.51,101.41,29725,81,473,4CAB31,PEN,SGN,AHK562,1920,A332,LD562
1605528774,6.45,102.76,37000,57,471,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605532144,10.49,106.91,7100,75,200,4CAB31,PEN,SGN,AHK562,64,A332,LD562
1605527932,5.5,101.28,28050,81,465,4CAB31,PEN,SGN,AHK562,1856,A332,LD562
1605531134,9.89,105.94,20150,38,294,4CAB31,PEN,SGN,AHK562,-1152,A332,LD562
1605528104,5.55,101.66,32950,81,479,4CAB31,PEN,SGN,AHK562,2048,A332,LD562
1605532264,10.53,107.02,7100,68,199,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605529736,7.85,104.3,37000,38,477,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527012,5.29,100.27,0,239,1,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605527441,5.37,100.4,7775,81,267,4CAB31,PEN,SGN,AHK562,4224,A332,LD562
1605527137,5.29,100.27,0,357,6,4CAB31,PEN,SGN,AHK562,0,A332,LD562
1605532429,10.6,107.15,7100,44,200,4CAB31,PEN,SGN,AHK562,64,A332,LD562
1605527868,5.48,101.15,25850,81,459,4CAB31,PEN,SGN,AHK562,1984,A332,LD562
