timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1605688363,22.31,113.93,0,295,4,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696228,10.84,106.71,975,249,141,780ABC,HKG,SGN,CPA799,-704,A359,CX799
1605691121,19.13,113.33,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605689793,21.87,114.08,14325,188,371,780ABC,HKG,SGN,CPA799,1600,A359,CX799
1605694824,12.03,108.67,37600,228,468,780ABC,HKG,SGN,CPA799,-2752,A359,CX799
1605693509,14.42,110.34,39000,216,491,780ABC,HKG,SGN,CPA799,64,A359,CX799
1605696634,10.82,106.66,0,270,6,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695811,11.02,107.1,6200,243,291,780ABC,HKG,SGN,CPA799,-1280,A359,CX799
1605691293,18.73,113.21,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696114,10.87,106.79,2500,249,173,780ABC,HKG,SGN,CPA799,-832,A359,CX799
1605692789,15.77,111.36,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689314,22.3,113.9,0,70,88,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695866,10.99,107.04,5200,243,279,780ABC,HKG,SGN,CPA799,-1280,A359,CX799
1605694876,11.95,108.58,35775,228,468,780ABC,HKG,SGN,CPA799,-2624,A359,CX799
1605691353,18.62,113.17,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692609,16.09,111.59,39000,216,500,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690761,19.91,113.56,31525,195,525,780ABC,HKG,SGN,CPA799,640,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694940,11.87,108.47,32925,234,465,780ABC,HKG,SGN,CPA799,-2368,A359,CX799
1605696169,10.85,106.74,1700,249,155,780ABC,HKG,SGN,CPA799,-832,A359,CX799
1605694090,13.34,109.6,39000,212,481,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695075,11.7,108.24,28550,233,428,780ABC,HKG,SGN,CPA799,-1536,A359,CX799
1605691593,18.13,113.03,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689670,22.07,114.1,10600,165,365,780ABC,HKG,SGN,CPA799,2624,A359,CX799
1605691181,18.99,113.29,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605692849,15.67,111.29,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694397,12.78,109.24,39000,211,479,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695924,10.95,106.97,4075,243,271,780ABC,HKG,SGN,CPA799,-1216,A359,CX799
1605696292,10.82,106.67,200,249,137,780ABC,HKG,SGN,CPA799,-448,A359,CX799
1605693453,14.54,110.43,39000,216,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693390,14.64,110.5,39000,216,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689434,22.33,114.0,3525,70,225,780ABC,HKG,SGN,CPA799,960,A359,CX799
1605689969,21.55,114.04,20150,183,404,780ABC,HKG,SGN,CPA799,1728,A359,CX799
1605694459,12.64,109.15,39000,211,466,780ABC,HKG,SGN,CPA799,-128,A359,CX799
1605693335,14.74,110.58,39000,216,491,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693091,15.19,110.92,39000,216,488,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695439,11.31,107.66,15875,239,396,780ABC,HKG,SGN,CPA799,-1856,A359,CX799
1605689179,22.3,113.9,0,115,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690825,19.83,113.53,31775,197,527,780ABC,HKG,SGN,CPA799,704,A359,CX799
1605693796,13.89,109.95,39000,211,483,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688945,22.3,113.9,0,250,24,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695617,11.16,107.38,10100,243,370,780ABC,HKG,SGN,CPA799,-1984,A359,CX799
1605695258,11.49,107.95,21975,233,414,780ABC,HKG,SGN,CPA799,-2304,A359,CX799
1605690268,20.98,113.88,26400,195,448,780ABC,HKG,SGN,CPA799,1024,A359,CX799
1605695751,11.06,107.18,6900,243,323,780ABC,HKG,SGN,CPA799,-576,A359,CX799
1605694219,13.09,109.44,39000,212,481,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696419,10.81,106.65,0,98,17,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695985,10.92,106.9,3300,243,248,780ABC,HKG,SGN,CPA799,-384,A359,CX799
1605688836,22.3,113.92,0,250,23,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692373,16.62,111.99,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688576,22.31,113.93,0,180,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696634,10.82,106.66,0,270,6,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688536,22.31,113.93,0,89,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689495,22.33,114.07,4875,126,263,780ABC,HKG,SGN,CPA799,1280,A359,CX799
1605690465,20.59,113.76,28325,195,474,780ABC,HKG,SGN,CPA799,704,A359,CX799
1605695559,11.2,107.47,11950,244,379,780ABC,HKG,SGN,CPA799,-1856,A359,CX799
1605689377,22.31,113.95,450,71,174,780ABC,HKG,SGN,CPA799,2432,A359,CX799
1605692185,16.98,112.46,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689074,22.3,113.9,0,242,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690102,21.3,113.97,22800,195,432,780ABC,HKG,SGN,CPA799,1280,A359,CX799
1605690637,20.21,113.65,29900,195,503,780ABC,HKG,SGN,CPA799,832,A359,CX799
1605692973,15.4,111.08,39000,215,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690701,20.03,113.59,31525,195,525,780ABC,HKG,SGN,CPA799,640,A359,CX799
1605689139,22.3,113.9,0,115,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691241,18.85,113.25,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605688900,22.3,113.91,0,250,28,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693633,14.19,110.17,39000,216,485,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690881,19.61,113.47,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605694569,12.44,109.03,39000,211,461,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689863,21.74,114.06,17200,189,388,780ABC,HKG,SGN,CPA799,2048,A359,CX799
1605692669,15.99,111.52,39000,216,500,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695307,11.44,107.87,20525,233,403,780ABC,HKG,SGN,CPA799,-2176,A359,CX799
1605689915,21.65,114.05,18675,183,397,780ABC,HKG,SGN,CPA799,1728,A359,CX799
1605688723,22.31,113.93,0,250,12,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692481,16.44,111.84,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694699,12.21,108.87,39000,227,463,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693268,14.86,110.67,39000,216,491,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694521,12.55,109.09,39000,211,466,780ABC,HKG,SGN,CPA799,-128,A359,CX799
1605694042,13.43,109.65,39000,212,481,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694765,12.12,108.76,39000,227,466,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688472,22.31,113.93,0,250,1,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694153,13.22,109.52,39000,212,479,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688653,22.31,113.93,0,205,12,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693033,15.31,111.01,39000,215,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695133,11.63,108.15,26400,233,422,780ABC,HKG,SGN,CPA799,-2240,A359,CX799
1605692729,15.86,111.43,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693579,14.29,110.24,39000,216,487,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695384,11.36,107.75,17550,239,409,780ABC,HKG,SGN,CPA799,-2496,A359,CX799
1605693213,14.96,110.75,39000,216,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688425,22.31,113.93,0,241,3,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689619,22.16,114.09,8750,182,350,780ABC,HKG,SGN,CPA799,2048,A359,CX799
1605694283,12.97,109.36,39000,212,478,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696355,10.81,106.65,0,250,31,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693671,14.12,110.12,39000,216,482,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690929,19.51,113.44,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605690032,21.43,114.01,21625,196,413,780ABC,HKG,SGN,CPA799,1088,A359,CX799
1605688965,22.3,113.9,0,250,26,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691061,19.25,113.37,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605688779,22.31,113.92,0,250,18,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691001,19.37,113.4,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605691713,17.87,112.95,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605688291,22.31,113.93,0,295,0,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694636,12.32,108.95,39000,211,463,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693918,13.66,109.8,39000,212,480,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692125,17.09,112.49,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693152,15.08,110.84,39000,216,490,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689555,22.26,114.09,6225,183,332,780ABC,HKG,SGN,CPA799,2048,A359,CX799
1605695684,11.11,107.28,8025,243,359,780ABC,HKG,SGN,CPA799,-1792,A359,CX799
1605692313,16.72,112.06,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691413,18.5,113.14,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689731,21.97,114.1,13025,188,367,780ABC,HKG,SGN,CPA799,2496,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692553,16.3,111.74,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689261,22.3,113.9,0,160,8,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691641,18.03,112.99,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690341,20.85,113.84,26400,195,448,780ABC,HKG,SGN,CPA799,1024,A359,CX799
1605695011,11.78,108.35,30550,233,446,780ABC,HKG,SGN,CPA799,-2432,A359,CX799
1605696600,10.82,106.66,0,185,11,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693866,13.76,109.87,39000,212,480,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605691473,18.39,113.1,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695503,11.25,107.56,13700,239,388,780ABC,HKG,SGN,CPA799,-2304,A359,CX799
1605692909,15.57,111.22,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696044,10.89,106.84,2975,242,215,780ABC,HKG,SGN,CPA799,-320,A359,CX799
1605695203,11.55,108.04,24100,233,411,780ABC,HKG,SGN,CPA799,-1792,A359,CX799
1605691533,18.26,113.07,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690213,21.09,113.91,24475,195,438,780ABC,HKG,SGN,CPA799,1600,A359,CX799
1605694324,12.9,109.31,39000,211,479,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692253,16.79,112.12,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690156,21.19,113.94,24025,195,438,780ABC,HKG,SGN,CPA799,1536,A359,CX799
1605690525,20.48,113.73,28325,195,474,780ABC,HKG,SGN,CPA799,704,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696419,10.81,106.65,0,98,17,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693982,13.54,109.73,39000,212,480,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692433,16.53,111.91,39000,217,506,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690401,20.71,113.8,27975,195,466,780ABC,HKG,SGN,CPA799,448,A359,CX799
1605693747,13.99,110.01,39000,216,483,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690577,20.33,113.68,29900,195,503,780ABC,HKG,SGN,CPA799,832,A359,CX799
1605688363,22.31,113.93,0,295,4,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696228,10.84,106.71,975,249,141,780ABC,HKG,SGN,CPA799,-704,A359,CX799
1605691121,19.13,113.33,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605689793,21.87,114.08,14325,188,371,780ABC,HKG,SGN,CPA799,1600,A359,CX799
1605694824,12.03,108.67,37600,228,468,780ABC,HKG,SGN,CPA799,-2752,A359,CX799
1605693509,14.42,110.34,39000,216,491,780ABC,HKG,SGN,CPA799,64,A359,CX799
1605696634,10.82,106.66,0,270,6,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695811,11.02,107.1,6200,243,291,780ABC,HKG,SGN,CPA799,-1280,A359,CX799
1605691293,18.73,113.21,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605696114,10.87,106.79,2500,249,173,780ABC,HKG,SGN,CPA799,-832,A359,CX799
1605692789,15.77,111.36,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689314,22.3,113.9,0,70,88,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695866,10.99,107.04,5200,243,279,780ABC,HKG,SGN,CPA799,-1280,A359,CX799
1605694876,11.95,108.58,35775,228,468,780ABC,HKG,SGN,CPA799,-2624,A359,CX799
1605691353,18.62,113.17,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605692609,16.09,111.59,39000,216,500,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605690761,19.91,113.56,31525,195,525,780ABC,HKG,SGN,CPA799,640,A359,CX799
1605691773,17.74,112.91,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694940,11.87,108.47,32925,234,465,780ABC,HKG,SGN,CPA799,-2368,A359,CX799
1605696169,10.85,106.74,1700,249,155,780ABC,HKG,SGN,CPA799,-832,A359,CX799
1605694090,13.34,109.6,39000,212,481,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695075,11.7,108.24,28550,233,428,780ABC,HKG,SGN,CPA799,-1536,A359,CX799
1605691593,18.13,113.03,39000,196,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689670,22.07,114.1,10600,165,365,780ABC,HKG,SGN,CPA799,2624,A359,CX799
1605691181,18.99,113.29,34425,195,530,780ABC,HKG,SGN,CPA799,1664,A359,CX799
1605692849,15.67,111.29,39000,215,494,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605694397,12.78,109.24,39000,211,479,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605695924,10.95,106.97,4075,243,271,780ABC,HKG,SGN,CPA799,-1216,A359,CX799
1605696292,10.82,106.67,200,249,137,780ABC,HKG,SGN,CPA799,-448,A359,CX799
1605693453,14.54,110.43,39000,216,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605693390,14.64,110.5,39000,216,492,780ABC,HKG,SGN,CPA799,0,A359,CX799
1605689434,22.33,114.0,3525,70,225,780ABC,HKG,SGN,CPA799,960,A359,CX799
1605689969,21.55,114.04,20150,183,404,780ABC,HKG,SGN,CPA799,1728,A359,CX799
1605694459,12.64,109.15,39000,211,466,780ABC,HKG,SGN,CPA799,-128,A359,CX799
