,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
152,1606235128,18.32,91.0,39000,111,528,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:25:28
9,1606235140,18.31,91.03,39000,111,528,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:25:40
14,1606236579,16.94,94.44,39000,113,503,06A10C,DOH,SGN,,0,A359,QR970,2020-11-24,23:49:39
192,1606236633,16.89,94.57,39000,113,501,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:50:33
184,1606236693,16.84,94.69,39000,113,498,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:51:33
55,1606236754,16.78,94.83,39000,117,499,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:52:34
1,1606236813,16.72,94.96,39000,116,496,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:53:33
144,1606236869,16.66,95.08,39000,116,495,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:54:29
110,1606236926,16.6,95.2,39000,116,492,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:55:26
95,1606236987,16.54,95.33,39000,116,492,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:56:27
34,1606237045,16.48,95.45,39000,116,494,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:57:25
16,1606237102,16.42,95.57,39000,116,494,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:58:22
33,1606237163,16.36,95.7,39000,116,492,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-24,23:59:23
118,1606237232,16.28,95.84,39000,117,494,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:00:32
91,1606237290,16.22,95.97,39000,117,493,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:01:30
87,1606237344,16.17,96.08,39000,117,488,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:02:24
168,1606237410,16.1,96.22,39000,117,485,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:03:30
147,1606237469,16.04,96.34,39000,117,486,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:04:29
119,1606237528,15.98,96.46,39000,117,487,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:05:28
3,1606237589,15.92,96.59,39000,117,487,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:06:29
125,1606237645,15.86,96.7,39000,117,487,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:07:25
194,1606237710,15.79,96.84,39000,117,486,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:08:30
76,1606237766,15.73,96.96,39000,117,485,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:09:26
114,1606237832,15.66,97.09,39000,117,486,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:10:32
121,1606237888,15.6,97.21,39000,117,487,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:11:28
86,1606237948,15.54,97.33,39000,117,484,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:12:28
61,1606238011,15.48,97.46,39000,117,482,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:13:31
13,1606238066,15.42,97.57,39000,117,483,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:14:26
176,1606238130,15.35,97.7,39000,117,484,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:15:30
31,1606238192,15.29,97.83,39000,117,482,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:16:32
115,1606238253,15.23,97.96,39000,117,482,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:17:33
4,1606238315,15.16,98.08,39000,117,484,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:18:35
160,1606238376,15.1,98.21,39000,117,486,06A10C,DOH,SGN,QTR970,0,A359,QR970,2020-11-25,00:19:36
