,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
162,1607208476,28.4,119.48,32100,183,423,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:47:56
184,1607208533,28.29,119.48,32100,182,424,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:48:53
155,1607208599,28.16,119.47,32100,182,422,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:49:59
197,1607208663,28.03,119.47,32100,179,427,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:51:03
135,1607208714,27.93,119.47,32100,180,427,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:51:54
156,1607208778,27.81,119.47,32100,180,427,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:52:58
145,1607208839,27.68,119.46,32100,180,428,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:53:59
146,1607208899,27.57,119.46,32100,180,428,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:54:59
140,1607208963,27.44,119.46,32100,180,429,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:56:03
159,1607209023,27.32,119.46,32100,180,430,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:57:03
180,1607209088,27.19,119.46,32100,180,431,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:58:08
152,1607209152,27.06,119.46,32100,180,437,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,05:59:12
127,1607209207,26.95,119.46,32100,180,438,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:00:07
186,1607209265,26.83,119.46,32100,180,441,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:01:05
138,1607209337,26.68,119.46,32875,180,436,780031,HGH,SGN,HYT9046,1344,B752,YG9046,2020-12-06,06:02:17
194,1607209400,26.56,119.46,34525,180,419,780031,HGH,SGN,HYT9046,1728,B752,YG9046,2020-12-06,06:03:20
149,1607209452,26.46,119.46,35475,180,411,780031,HGH,SGN,HYT9046,576,B752,YG9046,2020-12-06,06:04:12
195,1607209507,26.35,119.46,36050,180,413,780031,HGH,SGN,HYT9046,704,B752,YG9046,2020-12-06,06:05:07
190,1607209572,26.23,119.45,36100,188,412,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:06:12
169,1607209632,26.12,119.42,36100,197,408,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:07:12
164,1607209696,26.0,119.38,36100,197,411,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:08:16
130,1607209751,25.9,119.34,36100,197,412,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:09:11
196,1607209809,25.8,119.31,36075,205,405,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:10:09
179,1607209865,25.72,119.23,36100,226,386,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:11:05
141,1607209932,25.64,119.14,36100,226,387,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:12:12
173,1607209985,25.58,119.06,36100,226,389,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:13:05
157,1607210048,25.5,118.97,36100,226,391,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:14:08
175,1607210105,25.43,118.88,36100,226,391,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:15:05
189,1607210160,25.36,118.81,36100,227,392,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:16:00
148,1607210224,25.28,118.71,36100,227,393,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:17:04
158,1607210285,25.21,118.62,36100,227,394,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:18:05
170,1607210348,25.13,118.53,36100,226,394,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:19:08
163,1607210409,25.05,118.44,36100,226,396,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:20:09
183,1607210460,24.99,118.36,36100,226,397,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:21:00
154,1607210525,24.9,118.27,36100,226,398,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:22:05
193,1607210585,24.83,118.18,36100,226,401,780031,HGH,SGN,HYT9046,0,B752,YG9046,2020-12-06,06:23:05
