,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
70,1607380425,13.69,100.75,0,298,3,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:33:45
47,1607380460,13.69,100.75,0,284,3,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:34:20
32,1607380617,13.69,100.75,0,196,6,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:36:57
53,1607380682,13.69,100.75,0,154,10,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:38:02
4,1607380738,13.69,100.75,0,104,15,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:38:58
10,1607380799,13.68,100.75,0,104,17,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:39:59
77,1607380854,13.68,100.76,0,194,11,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:40:54
75,1607380919,13.68,100.76,0,194,15,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:41:59
30,1607380964,13.68,100.75,0,194,21,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:42:44
57,1607381035,13.67,100.75,0,194,26,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:43:55
26,1607381089,13.66,100.75,0,194,25,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:44:49
58,1607381153,13.66,100.75,0,95,13,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:45:53
1,1607381211,13.67,100.76,0,14,141,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,05:46:51
23,1607381271,13.71,100.77,2475,13,162,8007C9,BKK,SGN,IGO8504,1536,A320,6E8504,2020-12-08,05:47:51
6,1607381343,13.77,100.8,4500,73,262,8007C9,BKK,SGN,IGO8504,2944,A320,6E8504,2020-12-08,05:49:03
80,1607381403,13.78,100.88,7600,86,301,8007C9,BKK,SGN,IGO8504,1856,A320,6E8504,2020-12-08,05:50:03
21,1607381444,13.78,100.94,8950,86,339,8007C9,BKK,SGN,IGO8504,3072,A320,6E8504,2020-12-08,05:50:44
5,1607381523,13.72,101.06,12550,124,372,8007C9,BKK,SGN,IGO8504,3584,A320,6E8504,2020-12-08,05:52:03
51,1607381579,13.66,101.14,15075,124,375,8007C9,BKK,SGN,IGO8504,2560,A320,6E8504,2020-12-08,05:52:59
29,1607381643,13.6,101.24,17350,124,387,8007C9,BKK,SGN,IGO8504,2304,A320,6E8504,2020-12-08,05:54:03
20,1607381699,13.54,101.32,19350,124,394,8007C9,BKK,SGN,IGO8504,1536,A320,6E8504,2020-12-08,05:54:59
56,1607381762,13.48,101.43,21300,117,406,8007C9,BKK,SGN,IGO8504,1856,A320,6E8504,2020-12-08,05:56:02
59,1607381826,13.43,101.54,23175,117,411,8007C9,BKK,SGN,IGO8504,1408,A320,6E8504,2020-12-08,05:57:06
40,1607381883,13.38,101.64,24500,116,420,8007C9,BKK,SGN,IGO8504,1728,A320,6E8504,2020-12-08,05:58:03
73,1607381943,13.32,101.75,25700,116,431,8007C9,BKK,SGN,IGO8504,1280,A320,6E8504,2020-12-08,05:59:03
15,1607382007,13.27,101.87,27000,116,439,8007C9,BKK,SGN,IGO8504,1088,A320,6E8504,2020-12-08,06:00:07
72,1607382063,13.21,101.97,28000,116,445,8007C9,BKK,SGN,IGO8504,1216,A320,6E8504,2020-12-08,06:01:03
19,1607382127,13.16,102.09,28975,116,456,8007C9,BKK,SGN,IGO8504,1472,A320,6E8504,2020-12-08,06:02:07
44,1607382186,13.1,102.21,30025,116,460,8007C9,BKK,SGN,IGO8504,1152,A320,6E8504,2020-12-08,06:03:06
82,1607382243,13.04,102.32,30850,116,467,8007C9,BKK,SGN,IGO8504,1024,A320,6E8504,2020-12-08,06:04:03
2,1607382302,12.99,102.44,32100,116,464,8007C9,BKK,SGN,IGO8504,1280,A320,6E8504,2020-12-08,06:05:02
78,1607382363,12.92,102.56,33450,121,458,8007C9,BKK,SGN,IGO8504,1280,A320,6E8504,2020-12-08,06:06:03
67,1607382426,12.86,102.68,34975,117,449,8007C9,BKK,SGN,IGO8504,2112,A320,6E8504,2020-12-08,06:07:06
48,1607382490,12.8,102.8,36325,117,444,8007C9,BKK,SGN,IGO8504,1408,A320,6E8504,2020-12-08,06:08:10
22,1607382551,12.74,102.91,37025,117,434,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:09:11
9,1607382614,12.68,103.02,37000,117,438,8007C9,BKK,SGN,IGO8504,64,A320,6E8504,2020-12-08,06:10:14
31,1607382671,12.63,103.13,37000,117,439,8007C9,BKK,SGN,IGO8504,64,A320,6E8504,2020-12-08,06:11:11
35,1607382727,12.57,103.23,37025,117,438,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:12:07
84,1607382790,12.51,103.35,37025,117,438,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:13:10
66,1607382850,12.46,103.46,37000,117,436,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:14:10
61,1607382907,12.4,103.56,36975,117,435,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:15:07
7,1607382963,12.35,103.66,37000,117,434,8007C9,BKK,SGN,IGO8504,64,A320,6E8504,2020-12-08,06:16:03
42,1607383021,12.3,103.77,37025,117,432,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:17:01
45,1607383086,12.23,103.88,37000,117,429,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:18:06
60,1607383141,12.18,103.98,36975,117,428,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:19:01
41,1607383201,12.13,104.09,37000,117,427,8007C9,BKK,SGN,IGO8504,64,A320,6E8504,2020-12-08,06:20:01
3,1607383263,12.07,104.2,37000,117,425,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:21:03
34,1607383320,12.02,104.3,37000,118,425,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:22:00
65,1607383389,11.95,104.42,37000,118,423,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:23:09
54,1607383453,11.89,104.53,37000,118,422,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:24:13
52,1607383514,11.84,104.64,37000,118,422,8007C9,BKK,SGN,IGO8504,0,A320,6E8504,2020-12-08,06:25:14
14,1607383575,11.78,104.75,36550,118,422,8007C9,BKK,SGN,IGO8504,-960,A320,6E8504,2020-12-08,06:26:15
33,1607383643,11.72,104.87,35500,118,431,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:27:23
64,1607383703,11.66,104.98,34500,118,438,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:28:23
55,1607383759,11.6,105.08,33625,118,442,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:29:19
74,1607383830,11.54,105.21,32450,118,450,8007C9,BKK,SGN,IGO8504,-1088,A320,6E8504,2020-12-08,06:30:30
38,1607383893,11.47,105.33,31100,118,443,8007C9,BKK,SGN,IGO8504,-2368,A320,6E8504,2020-12-08,06:31:33
28,1607383956,11.41,105.45,28675,118,440,8007C9,BKK,SGN,IGO8504,-2496,A320,6E8504,2020-12-08,06:32:36
8,1607384013,11.36,105.55,26450,118,434,8007C9,BKK,SGN,IGO8504,-2432,A320,6E8504,2020-12-08,06:33:33
79,1607384079,11.29,105.67,23950,118,426,8007C9,BKK,SGN,IGO8504,-2368,A320,6E8504,2020-12-08,06:34:39
16,1607384137,11.24,105.77,22450,118,402,8007C9,BKK,SGN,IGO8504,-1088,A320,6E8504,2020-12-08,06:35:37
69,1607384178,11.2,105.83,21825,126,392,8007C9,BKK,SGN,IGO8504,-1216,A320,6E8504,2020-12-08,06:36:18
85,1607384241,11.13,105.92,20825,129,391,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:37:21
0,1607384314,11.05,106.02,19700,129,376,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:38:34
49,1607384367,10.99,106.1,18850,129,375,8007C9,BKK,SGN,IGO8504,-1088,A320,6E8504,2020-12-08,06:39:27
62,1607384419,10.93,106.17,18000,130,371,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:40:19
50,1607384480,10.86,106.25,17050,130,353,8007C9,BKK,SGN,IGO8504,-960,A320,6E8504,2020-12-08,06:41:20
11,1607384532,10.81,106.31,16250,130,347,8007C9,BKK,SGN,IGO8504,-1088,A320,6E8504,2020-12-08,06:42:12
18,1607384592,10.75,106.38,15175,130,316,8007C9,BKK,SGN,IGO8504,-1152,A320,6E8504,2020-12-08,06:43:12
13,1607384655,10.69,106.45,14100,129,290,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:44:15
63,1607384718,10.65,106.52,13325,92,249,8007C9,BKK,SGN,IGO8504,-512,A320,6E8504,2020-12-08,06:45:18
17,1607384772,10.67,106.58,12850,74,221,8007C9,BKK,SGN,IGO8504,-512,A320,6E8504,2020-12-08,06:46:12
43,1607384828,10.68,106.63,12100,74,203,8007C9,BKK,SGN,IGO8504,-1024,A320,6E8504,2020-12-08,06:47:08
