,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1,1607393584,1.41,103.72,3000,116,466,7C4CAE,XSP,SGN,VHPFL,1344,BE9L,VHPFL,2020-12-08,09:13:04
21,1607393645,1.42,103.71,3025,326,294,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:14:05
2,1607393711,1.39,103.62,3025,326,294,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:15:11
20,1607393751,1.36,103.66,3050,326,294,7C4CAE,XSP,SGN,VHPFL,192,BE9L,VHPFL,2020-12-08,09:15:51
4,1607393819,1.42,103.73,2725,326,294,7C4CAE,XSP,SGN,VHPFL,-704,BE9L,VHPFL,2020-12-08,09:16:59
0,1607393884,1.43,103.84,2550,326,294,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:18:04
7,1607393923,1.46,103.82,2550,326,294,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:18:43
5,1607394067,1.23,103.79,2549,252,312,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:21:07
13,1607394125,1.34,103.84,2550,252,312,7C4CAE,XSP,SGN,VHPFL,320,BE9L,VHPFL,2020-12-08,09:22:05
6,1607394183,1.37,103.81,2425,252,312,7C4CAE,XSP,SGN,VHPFL,-128,BE9L,VHPFL,2020-12-08,09:23:03
15,1607394239,1.38,103.78,2075,252,312,7C4CAE,XSP,SGN,VHPFL,-640,BE9L,VHPFL,2020-12-08,09:23:59
18,1607394296,1.37,103.79,2050,252,312,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:24:56
10,1607394361,1.39,103.79,2024,252,152,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,09:26:01
3,1607394439,1.42,103.82,2050,93,152,7C4CAE,XSP,SGN,VHPFL,-64,BE9L,VHPFL,2020-12-08,09:27:19
14,1607394451,1.42,103.83,2050,93,152,7C4CAE,XSP,SGN,VHPFL,-64,BE9L,VHPFL,2020-12-08,09:27:31
19,1607406039,1.36,103.72,3100,169,378,7C4CAE,XSP,SGN,VHPFL,768,BE9L,VHPFL,2020-12-08,12:40:39
8,1607406079,1.3,103.74,3100,169,378,7C4CAE,XSP,SGN,VHPFL,768,BE9L,VHPFL,2020-12-08,12:41:19
11,1607406148,1.34,103.72,3100,169,45,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,12:42:28
22,1607406187,1.33,103.72,3100,169,45,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,12:43:07
12,1607406375,1.33,103.74,3099,169,45,7C4CAE,XSP,SGN,VHPFL,0,BE9L,VHPFL,2020-12-08,12:46:15
23,1607407821,1.36,103.72,3100,169,45,7C4CAE,XSP,SGN,VHPFL,-320,BE9L,VHPFL,2020-12-08,13:10:21
9,1607407859,1.35,103.72,3100,169,45,7C4CAE,XSP,SGN,VHPFL,-320,BE9L,VHPFL,2020-12-08,13:10:59
