timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1607964620,10.82,106.65,0,199,3,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962790,11.29,105.57,30075,92,463,06A064,DOH,SGN,QTR8392,-1408,B77W,QR8392
1607963086,11.06,106.06,24850,168,387,06A064,DOH,SGN,QTR8392,-576,B77W,QR8392
1607964583,10.82,106.65,0,250,64,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961580,12.58,103.14,33000,121,491,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961994,12.08,103.96,33000,121,491,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962368,11.64,104.69,33000,121,486,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963918,10.5,106.94,5775,72,230,06A064,DOH,SGN,QTR8392,-1152,B77W,QR8392
1607962250,11.78,104.46,33000,121,487,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607964521,10.83,106.69,550,248,160,06A064,DOH,SGN,QTR8392,-768,B77W,QR8392
1607963325,10.66,106.14,19225,142,349,06A064,DOH,SGN,QTR8392,-1344,B77W,QR8392
1607963273,10.74,106.12,20575,170,358,06A064,DOH,SGN,QTR8392,-1600,B77W,QR8392
1607961764,12.36,103.5,33000,121,489,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963745,10.52,106.74,9725,111,283,06A064,DOH,SGN,QTR8392,-1920,B77W,QR8392
1607963210,10.85,106.1,22125,170,366,06A064,DOH,SGN,QTR8392,-1536,B77W,QR8392
1607962966,11.22,105.92,26875,128,407,06A064,DOH,SGN,QTR8392,-896,B77W,QR8392
1607964335,10.88,106.84,2125,275,220,06A064,DOH,SGN,QTR8392,-256,B77W,QR8392
1607961878,12.22,103.73,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961519,12.65,103.02,33000,121,491,06A064,DOH,SGN,QTR8392,64,B77W,QR8392
1607963146,10.96,106.08,23675,170,378,06A064,DOH,SGN,QTR8392,-1216,B77W,QR8392
1607961817,12.29,103.61,33000,121,488,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961934,12.16,103.84,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963630,10.58,106.59,12125,106,304,06A064,DOH,SGN,QTR8392,-1216,B77W,QR8392
1607964040,10.62,106.95,3775,349,237,06A064,DOH,SGN,QTR8392,-512,B77W,QR8392
1607962485,11.51,104.92,33000,111,485,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607964907,10.81,106.66,0,95,1,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607964749,10.82,106.65,0,70,17,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961461,12.72,102.9,33000,121,492,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963806,10.49,106.81,7825,112,278,06A064,DOH,SGN,QTR8392,-1600,B77W,QR8392
1607963862,10.48,106.88,6850,76,237,06A064,DOH,SGN,QTR8392,-832,B77W,QR8392
1607964749,10.82,106.65,0,70,17,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607964703,10.81,106.65,0,73,11,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961394,12.8,102.77,33000,121,494,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962057,12.01,104.08,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963979,10.55,106.96,4650,350,239,06A064,DOH,SGN,QTR8392,-1088,B77W,QR8392
1607964105,10.69,106.94,3050,350,237,06A064,DOH,SGN,QTR8392,-640,B77W,QR8392
1607962312,11.7,104.58,33000,121,486,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963509,10.6,106.42,14800,97,316,06A064,DOH,SGN,QTR8392,-1216,B77W,QR8392
1607964224,10.82,106.91,2475,350,214,06A064,DOH,SGN,QTR8392,64,B77W,QR8392
1607961640,12.5,103.26,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961280,12.93,102.54,33000,121,493,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962434,11.56,104.82,33000,119,485,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962543,11.46,105.05,33000,111,485,06A064,DOH,SGN,QTR8392,-64,B77W,QR8392
1607962844,11.28,105.69,28900,94,458,06A064,DOH,SGN,QTR8392,-1344,B77W,QR8392
1607963570,10.59,106.51,13250,97,317,06A064,DOH,SGN,QTR8392,-1280,B77W,QR8392
1607964457,10.85,106.74,1450,248,169,06A064,DOH,SGN,QTR8392,-896,B77W,QR8392
1607963690,10.55,106.67,11100,112,288,06A064,DOH,SGN,QTR8392,-1088,B77W,QR8392
1607964279,10.87,106.9,2450,308,218,06A064,DOH,SGN,QTR8392,-512,B77W,QR8392
1607962723,11.32,105.43,31450,111,472,06A064,DOH,SGN,QTR8392,-1472,B77W,QR8392
1607964168,10.76,106.92,2625,350,235,06A064,DOH,SGN,QTR8392,-448,B77W,QR8392
1607962661,11.37,105.3,32875,111,478,06A064,DOH,SGN,QTR8392,-960,B77W,QR8392
1607963386,10.63,106.23,17825,97,333,06A064,DOH,SGN,QTR8392,-1472,B77W,QR8392
1607963022,11.16,106.01,25750,127,386,06A064,DOH,SGN,QTR8392,-1472,B77W,QR8392
1607962113,11.94,104.19,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607963450,10.61,106.33,16150,97,324,06A064,DOH,SGN,QTR8392,-1856,B77W,QR8392
1607964864,10.81,106.66,0,185,7,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962182,11.86,104.33,33000,121,489,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961343,12.86,102.67,33000,121,494,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961702,12.43,103.38,33000,121,490,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607964396,10.87,106.79,2100,248,189,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962587,11.43,105.14,33000,111,485,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607962905,11.27,105.82,27800,96,444,06A064,DOH,SGN,QTR8392,-768,B77W,QR8392
1607957054,17.42,93.25,33000,115,511,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607961031,13.19,102.02,33000,116,497,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607958445,15.92,96.49,33000,116,504,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607956994,17.47,93.13,33000,115,511,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
1607958144,16.23,95.84,33000,115,504,06A064,DOH,SGN,QTR8392,0,B77W,QR8392
