,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
39,1608171045,16.09,108.2,1500,359,192,888190,DAD,SGN,BAV155,1152,A21N,QH155,2020-12-17,09:10:45
47,1608171093,16.14,108.2,3675,359,232,888190,DAD,SGN,BAV155,3584,A21N,QH155,2020-12-17,09:11:33
35,1608171165,16.17,108.26,7775,123,245,888190,DAD,SGN,BAV155,2624,A21N,QH155,2020-12-17,09:12:45
40,1608171220,16.1,108.28,9850,169,290,888190,DAD,SGN,BAV155,3072,A21N,QH155,2020-12-17,09:13:40
61,1608171265,16.04,108.29,11000,176,340,888190,DAD,SGN,BAV155,960,A21N,QH155,2020-12-17,09:14:25
9,1608171333,15.92,108.28,12975,186,390,888190,DAD,SGN,BAV155,2112,A21N,QH155,2020-12-17,09:15:33
45,1608171388,15.82,108.26,15075,186,404,888190,DAD,SGN,BAV155,2368,A21N,QH155,2020-12-17,09:16:28
34,1608171452,15.7,108.25,17575,186,413,888190,DAD,SGN,BAV155,2560,A21N,QH155,2020-12-17,09:17:32
36,1608171517,15.57,108.24,19725,186,423,888190,DAD,SGN,BAV155,2048,A21N,QH155,2020-12-17,09:18:37
1,1608171586,15.44,108.22,21775,186,435,888190,DAD,SGN,BAV155,1920,A21N,QH155,2020-12-17,09:19:46
4,1608171646,15.31,108.2,23075,186,449,888190,DAD,SGN,BAV155,1472,A21N,QH155,2020-12-17,09:20:46
33,1608171703,15.19,108.19,24350,186,457,888190,DAD,SGN,BAV155,1344,A21N,QH155,2020-12-17,09:21:43
11,1608171758,15.08,108.18,25325,184,467,888190,DAD,SGN,BAV155,832,A21N,QH155,2020-12-17,09:22:38
29,1608171828,14.92,108.17,26850,181,469,888190,DAD,SGN,BAV155,1792,A21N,QH155,2020-12-17,09:23:48
54,1608171892,14.79,108.17,28600,181,461,888190,DAD,SGN,BAV155,1152,A21N,QH155,2020-12-17,09:24:52
6,1608171951,14.66,108.17,29925,181,456,888190,DAD,SGN,BAV155,640,A21N,QH155,2020-12-17,09:25:51
0,1608171997,14.56,108.17,30000,181,473,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:26:37
21,1608172074,14.39,108.16,30000,181,477,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:27:54
12,1608172137,14.25,108.16,30000,181,475,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:28:57
17,1608172196,14.12,108.16,30000,181,474,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:29:56
57,1608172254,14.0,108.15,30000,181,475,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:30:54
31,1608172314,13.86,108.15,30000,181,475,888190,DAD,SGN,BAV155,128,A21N,QH155,2020-12-17,09:31:54
23,1608172379,13.72,108.15,30000,181,475,888190,DAD,SGN,BAV155,-64,A21N,QH155,2020-12-17,09:32:59
13,1608172423,13.62,108.15,30000,181,476,888190,DAD,SGN,BAV155,64,A21N,QH155,2020-12-17,09:33:43
42,1608172498,13.46,108.14,30025,181,476,888190,DAD,SGN,BAV155,64,A21N,QH155,2020-12-17,09:34:58
10,1608172558,13.32,108.14,30025,181,472,888190,DAD,SGN,BAV155,-64,A21N,QH155,2020-12-17,09:35:58
20,1608172609,13.21,108.14,30000,181,471,888190,DAD,SGN,BAV155,-64,A21N,QH155,2020-12-17,09:36:49
38,1608172676,13.06,108.13,29975,181,472,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:37:56
18,1608172736,12.93,108.13,29975,181,473,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:38:56
59,1608172797,12.8,108.13,30000,180,477,888190,DAD,SGN,BAV155,-64,A21N,QH155,2020-12-17,09:39:57
37,1608172844,12.69,108.12,30000,181,479,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:40:44
30,1608172917,12.53,108.12,30025,181,475,888190,DAD,SGN,BAV155,-128,A21N,QH155,2020-12-17,09:41:57
50,1608172971,12.41,108.12,30000,181,475,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:42:51
48,1608173031,12.28,108.12,30000,181,476,888190,DAD,SGN,BAV155,0,A21N,QH155,2020-12-17,09:43:51
27,1608173089,12.16,108.07,30025,212,488,888190,DAD,SGN,BAV155,-64,A21N,QH155,2020-12-17,09:44:49
19,1608173147,12.07,108.01,30000,211,487,888190,DAD,SGN,BAV155,-576,A21N,QH155,2020-12-17,09:45:47
46,1608173206,11.93,107.93,28225,210,486,888190,DAD,SGN,BAV155,-832,A21N,QH155,2020-12-17,09:46:46
32,1608173268,11.81,107.86,26925,210,491,888190,DAD,SGN,BAV155,-2240,A21N,QH155,2020-12-17,09:47:48
51,1608173329,11.7,107.79,25850,210,441,888190,DAD,SGN,BAV155,-1472,A21N,QH155,2020-12-17,09:48:49
5,1608173386,11.6,107.74,24200,210,416,888190,DAD,SGN,BAV155,-2688,A21N,QH155,2020-12-17,09:49:46
28,1608173443,11.51,107.68,22150,210,403,888190,DAD,SGN,BAV155,-1792,A21N,QH155,2020-12-17,09:50:43
60,1608173508,11.41,107.62,20150,216,387,888190,DAD,SGN,BAV155,-2112,A21N,QH155,2020-12-17,09:51:48
53,1608173568,11.33,107.55,18175,220,365,888190,DAD,SGN,BAV155,-1856,A21N,QH155,2020-12-17,09:52:48
56,1608173634,11.24,107.48,16100,221,337,888190,DAD,SGN,BAV155,-1664,A21N,QH155,2020-12-17,09:53:54
24,1608173690,11.18,107.42,13875,221,331,888190,DAD,SGN,BAV155,-1536,A21N,QH155,2020-12-17,09:54:50
16,1608173741,11.14,107.35,12425,245,323,888190,DAD,SGN,BAV155,-2112,A21N,QH155,2020-12-17,09:55:41
7,1608173806,11.1,107.27,9825,243,316,888190,DAD,SGN,BAV155,-2816,A21N,QH155,2020-12-17,09:56:46
49,1608173873,11.05,107.18,6925,244,313,888190,DAD,SGN,BAV155,-2368,A21N,QH155,2020-12-17,09:57:53
58,1608173934,11.02,107.1,5700,244,281,888190,DAD,SGN,BAV155,-768,A21N,QH155,2020-12-17,09:58:54
22,1608173993,10.98,107.03,4975,243,249,888190,DAD,SGN,BAV155,-768,A21N,QH155,2020-12-17,09:59:53
43,1608174049,10.96,106.97,4275,243,242,888190,DAD,SGN,BAV155,-832,A21N,QH155,2020-12-17,10:00:49
3,1608174103,10.93,106.92,3600,243,237,888190,DAD,SGN,BAV155,-704,A21N,QH155,2020-12-17,10:01:43
