,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
86,1608204613,21.22,105.79,0,78,14,88818E,HAN,SGN,HVN275,0,B78X,VN275,2020-12-17,18:30:13
75,1608204678,21.22,105.8,0,107,127,88818E,HAN,SGN,HVN275,0,B78X,VN275,2020-12-17,18:31:18
11,1608204741,21.21,105.86,1450,106,189,88818E,HAN,SGN,HVN275,1280,B78X,VN275,2020-12-17,18:32:21
71,1608204798,21.18,105.91,2750,136,260,88818E,HAN,SGN,HVN275,1280,B78X,VN275,2020-12-17,18:33:18
50,1608204866,21.09,105.94,5425,166,339,88818E,HAN,SGN,HVN275,2880,B78X,VN275,2020-12-17,18:34:26
106,1608204917,21.01,105.96,8075,165,362,88818E,HAN,SGN,HVN275,3520,B78X,VN275,2020-12-17,18:35:17
33,1608204980,20.9,105.99,10950,165,388,88818E,HAN,SGN,HVN275,2496,B78X,VN275,2020-12-17,18:36:20
14,1608205039,20.8,106.02,13900,165,397,88818E,HAN,SGN,HVN275,2560,B78X,VN275,2020-12-17,18:37:19
95,1608205102,20.68,106.05,16400,165,414,88818E,HAN,SGN,HVN275,2496,B78X,VN275,2020-12-17,18:38:22
92,1608205161,20.57,106.08,18550,168,432,88818E,HAN,SGN,HVN275,2304,B78X,VN275,2020-12-17,18:39:21
49,1608205211,20.47,106.1,20575,170,436,88818E,HAN,SGN,HVN275,2112,B78X,VN275,2020-12-17,18:40:11
105,1608205274,20.34,106.14,22450,155,462,88818E,HAN,SGN,HVN275,1728,B78X,VN275,2020-12-17,18:41:14
63,1608205334,20.23,106.2,24225,154,472,88818E,HAN,SGN,HVN275,1920,B78X,VN275,2020-12-17,18:42:14
69,1608205390,20.11,106.26,25525,154,488,88818E,HAN,SGN,HVN275,1984,B78X,VN275,2020-12-17,18:43:10
37,1608205452,19.98,106.32,27175,154,499,88818E,HAN,SGN,HVN275,1472,B78X,VN275,2020-12-17,18:44:12
0,1608205520,19.84,106.39,29025,154,503,88818E,HAN,SGN,HVN275,2112,B78X,VN275,2020-12-17,18:45:20
