,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
26,1608323324,13.67,100.74,0,14,66,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:28:44
42,1608323422,13.75,100.75,2450,15,189,3C4586,BKK,SGN,BOX690,2432,B77L,3S690,2020-12-19,03:30:22
4,1608323473,13.79,100.78,3775,71,220,3C4586,BKK,SGN,BOX690,128,B77L,3S690,2020-12-19,03:31:13
65,1608323536,13.79,100.85,5600,91,271,3C4586,BKK,SGN,BOX690,2560,B77L,3S690,2020-12-19,03:32:16
27,1608323592,13.78,100.93,7925,90,279,3C4586,BKK,SGN,BOX690,2496,B77L,3S690,2020-12-19,03:33:12
47,1608323648,13.76,101.0,10050,124,292,3C4586,BKK,SGN,BOX690,2240,B77L,3S690,2020-12-19,03:34:08
62,1608323706,13.71,101.07,11250,125,348,3C4586,BKK,SGN,BOX690,1344,B77L,3S690,2020-12-19,03:35:06
35,1608323771,13.65,101.17,13625,119,388,3C4586,BKK,SGN,BOX690,2624,B77L,3S690,2020-12-19,03:36:11
16,1608323827,13.6,101.26,16000,119,409,3C4586,BKK,SGN,BOX690,2688,B77L,3S690,2020-12-19,03:37:07
5,1608323892,13.54,101.37,18675,119,428,3C4586,BKK,SGN,BOX690,2432,B77L,3S690,2020-12-19,03:38:12
6,1608323951,13.48,101.48,21025,120,441,3C4586,BKK,SGN,BOX690,2368,B77L,3S690,2020-12-19,03:39:11
43,1608324019,13.41,101.61,23400,120,455,3C4586,BKK,SGN,BOX690,1856,B77L,3S690,2020-12-19,03:40:19
0,1608324077,13.35,101.72,25100,120,471,3C4586,BKK,SGN,BOX690,1664,B77L,3S690,2020-12-19,03:41:17
30,1608324144,13.27,101.85,27150,120,482,3C4586,BKK,SGN,BOX690,1856,B77L,3S690,2020-12-19,03:42:24
29,1608324208,13.2,101.97,29025,120,491,3C4586,BKK,SGN,BOX690,1152,B77L,3S690,2020-12-19,03:43:28
41,1608324268,13.13,102.1,30550,120,500,3C4586,BKK,SGN,BOX690,2368,B77L,3S690,2020-12-19,03:44:28
50,1608324324,13.07,102.21,32900,120,484,3C4586,BKK,SGN,BOX690,1216,B77L,3S690,2020-12-19,03:45:24
28,1608324384,13.0,102.33,34550,120,482,3C4586,BKK,SGN,BOX690,1600,B77L,3S690,2020-12-19,03:46:24
14,1608324443,12.93,102.44,35000,120,479,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:47:23
54,1608324504,12.86,102.56,35000,120,479,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:48:24
2,1608324560,12.8,102.68,35000,118,481,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:49:20
58,1608324618,12.74,102.79,35000,116,478,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:50:18
17,1608324676,12.69,102.91,35000,116,477,3C4586,BKK,SGN,BOX690,-64,B77L,3S690,2020-12-19,03:51:16
46,1608324739,12.62,103.04,35000,116,475,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:52:19
19,1608324796,12.57,103.15,35000,116,478,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:53:16
18,1608324852,12.51,103.26,35000,117,477,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:54:12
1,1608324912,12.45,103.38,35000,117,479,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:55:12
66,1608324966,12.39,103.49,35000,117,480,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:56:06
20,1608325031,12.33,103.63,35000,117,479,3C4586,BKK,SGN,BOX690,-64,B77L,3S690,2020-12-19,03:57:11
61,1608325096,12.26,103.75,35000,117,473,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:58:16
63,1608325155,12.2,103.87,35000,117,472,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,03:59:15
12,1608325211,12.15,103.98,35000,117,474,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:00:11
8,1608325264,12.09,104.09,35000,117,475,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:01:04
34,1608325328,12.03,104.22,35000,117,478,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:02:08
36,1608325387,11.97,104.33,35000,117,480,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:03:07
7,1608325451,11.9,104.46,35000,117,483,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:04:11
51,1608325507,11.85,104.58,35000,117,485,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:05:07
25,1608325573,11.78,104.71,35000,117,485,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:06:13
59,1608325635,11.71,104.84,35000,117,486,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:07:15
21,1608325691,11.65,104.95,35000,117,486,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:08:11
9,1608325750,11.59,105.07,35000,117,487,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:09:10
64,1608325806,11.53,105.19,35000,117,487,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:10:06
24,1608325875,11.46,105.32,34475,117,487,3C4586,BKK,SGN,BOX690,-1344,B77L,3S690,2020-12-19,04:11:15
38,1608325936,11.4,105.45,33375,117,486,3C4586,BKK,SGN,BOX690,-1216,B77L,3S690,2020-12-19,04:12:16
45,1608325990,11.34,105.56,31750,117,482,3C4586,BKK,SGN,BOX690,-2240,B77L,3S690,2020-12-19,04:13:10
23,1608326046,11.29,105.67,29725,117,468,3C4586,BKK,SGN,BOX690,-1984,B77L,3S690,2020-12-19,04:14:06
32,1608326090,11.24,105.76,28225,117,462,3C4586,BKK,SGN,BOX690,-2048,B77L,3S690,2020-12-19,04:14:50
39,1608326159,11.17,105.89,26050,117,445,3C4586,BKK,SGN,BOX690,-2048,B77L,3S690,2020-12-19,04:15:59
44,1608326223,11.11,106.0,23975,117,430,3C4586,BKK,SGN,BOX690,-1920,B77L,3S690,2020-12-19,04:17:03
11,1608326278,11.06,106.1,22200,117,418,3C4586,BKK,SGN,BOX690,-1856,B77L,3S690,2020-12-19,04:17:58
37,1608326340,11.0,106.2,20250,134,410,3C4586,BKK,SGN,BOX690,-1856,B77L,3S690,2020-12-19,04:19:00
57,1608326400,10.92,106.28,18450,129,399,3C4586,BKK,SGN,BOX690,-1920,B77L,3S690,2020-12-19,04:20:00
48,1608326453,10.88,106.37,16425,91,392,3C4586,BKK,SGN,BOX690,-2432,B77L,3S690,2020-12-19,04:20:53
3,1608326519,10.9,106.48,12225,79,365,3C4586,BKK,SGN,BOX690,-3392,B77L,3S690,2020-12-19,04:21:59
56,1608326574,10.92,106.57,9275,79,334,3C4586,BKK,SGN,BOX690,-3328,B77L,3S690,2020-12-19,04:22:54
10,1608326631,10.93,106.66,7025,79,288,3C4586,BKK,SGN,BOX690,-1280,B77L,3S690,2020-12-19,04:23:51
53,1608326695,10.95,106.73,5100,78,250,3C4586,BKK,SGN,BOX690,-2816,B77L,3S690,2020-12-19,04:24:55
31,1608326758,10.96,106.8,3275,88,238,3C4586,BKK,SGN,BOX690,-640,B77L,3S690,2020-12-19,04:25:58
49,1608326810,10.92,106.84,2875,175,227,3C4586,BKK,SGN,BOX690,-384,B77L,3S690,2020-12-19,04:26:50
55,1608326877,10.87,106.79,2475,251,216,3C4586,BKK,SGN,BOX690,-256,B77L,3S690,2020-12-19,04:27:57
40,1608326934,10.85,106.74,1550,248,189,3C4586,BKK,SGN,BOX690,-960,B77L,3S690,2020-12-19,04:28:54
13,1608326998,10.83,106.69,600,249,162,3C4586,BKK,SGN,BOX690,-768,B77L,3S690,2020-12-19,04:29:58
52,1608327041,10.82,106.66,75,248,144,3C4586,BKK,SGN,BOX690,-256,B77L,3S690,2020-12-19,04:30:41
22,1608327081,10.81,106.64,75,248,144,3C4586,BKK,SGN,BOX690,-256,B77L,3S690,2020-12-19,04:31:21
60,1608327133,10.81,106.65,0,160,7,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:32:13
15,1608327345,10.81,106.66,0,98,6,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:35:45
33,1608327364,10.81,106.66,0,95,1,3C4586,BKK,SGN,BOX690,0,B77L,3S690,2020-12-19,04:36:04
