,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
139,1608303878,23.93,91.07,39000,103,537,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:04:38
167,1608303939,23.89,91.23,39000,103,537,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:05:39
159,1608303999,23.86,91.39,39000,101,538,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:06:39
168,1608304062,23.83,91.56,39000,102,537,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:07:42
142,1608304127,23.79,91.73,39000,102,533,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:08:47
172,1608304186,23.76,91.89,39000,102,534,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:09:46
178,1608304242,23.73,92.03,39000,102,534,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:10:42
138,1608304311,23.69,92.21,39000,102,531,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:11:51
144,1608304371,23.66,92.37,39000,102,528,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:12:51
135,1608304426,23.63,92.51,39000,102,525,4D2167,DEL,SGN,HFM702,64,A343,SG702,2020-12-18,22:13:46
175,1608304490,23.6,92.68,39000,101,526,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:14:50
134,1608304555,23.57,92.85,39000,101,528,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:15:55
170,1608304611,23.54,92.99,39000,101,530,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:16:51
182,1608304667,23.51,93.14,39000,101,530,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:17:47
179,1608304731,23.48,93.31,39000,101,531,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:18:51
133,1608304794,23.45,93.47,39000,98,536,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:19:54
176,1608304850,23.44,93.62,39000,95,537,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:20:50
140,1608304906,23.42,93.77,39000,95,534,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:21:46
181,1608304963,23.41,93.93,39000,96,535,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:22:43
163,1608305021,23.39,94.08,39000,96,535,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:23:41
147,1608305085,23.37,94.25,39000,96,536,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:24:45
149,1608305146,23.36,94.42,39000,96,539,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:25:46
158,1608305205,23.34,94.57,39000,96,539,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:26:45
174,1608305270,23.32,94.75,39000,96,536,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:27:50
171,1608305331,23.31,94.91,39000,96,536,4D2167,DEL,SGN,HFM702,64,A343,SG702,2020-12-18,22:28:51
146,1608305385,23.29,95.06,39000,96,539,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:29:45
156,1608305446,23.27,95.22,38975,96,536,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:30:46
152,1608305513,23.25,95.4,39000,96,526,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:31:53
145,1608305575,23.24,95.56,39000,96,533,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:32:55
160,1608305627,23.22,95.7,39000,96,535,4D2167,DEL,SGN,HFM702,-64,A343,SG702,2020-12-18,22:33:47
137,1608305693,23.2,95.88,39000,96,536,4D2167,DEL,SGN,HFM702,-64,A343,SG702,2020-12-18,22:34:53
165,1608305757,23.18,96.05,39000,96,535,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:35:57
164,1608305816,23.16,96.21,39000,96,534,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:36:56
166,1608305872,23.15,96.35,39000,97,536,4D2167,DEL,SGN,HFM702,0,A343,SG702,2020-12-18,22:37:52
