,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
219,1608976592,28.47,129.63,39975,234,379,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,16:56:32
235,1608976652,28.41,129.53,40000,229,382,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,16:57:32
124,1608976711,28.34,129.44,39975,229,384,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,16:58:31
22,1608976774,28.26,129.35,40000,229,384,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,16:59:34
30,1608976830,28.2,129.26,39975,229,385,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:00:30
53,1608976900,28.12,129.16,40000,229,386,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:01:40
126,1608976952,28.06,129.08,39975,228,386,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:02:32
165,1608977020,27.98,128.97,40000,228,387,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:03:40
233,1608977081,27.9,128.88,39975,228,387,87304A,HND,SGN,ANA891,64,B789,NH891,2020-12-26,17:04:41
215,1608977129,27.85,128.81,40000,228,388,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:05:29
129,1608977196,27.77,128.7,39975,228,388,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:06:36
39,1608977252,27.7,128.62,40000,228,387,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:07:32
6,1608977313,27.63,128.53,39975,228,387,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:08:33
125,1608977376,27.56,128.43,39975,228,386,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:09:36
50,1608977436,27.48,128.34,39975,228,385,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:10:36
145,1608977498,27.41,128.25,40000,228,386,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:11:38
11,1608977562,27.34,128.15,40000,228,388,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:12:42
222,1608977621,27.26,128.06,39975,228,389,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:13:41
87,1608977680,27.19,127.97,39975,228,390,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:14:40
193,1608977741,27.12,127.88,39975,228,391,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:15:41
236,1608977802,27.05,127.79,39975,228,391,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:16:42
128,1608977858,26.98,127.7,39975,228,393,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:17:38
198,1608977922,26.9,127.6,40000,228,393,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:18:42
142,1608977982,26.83,127.51,39975,228,393,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:19:42
207,1608978041,26.76,127.43,39975,228,394,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:20:41
121,1608978102,26.68,127.33,39975,228,395,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:21:42
54,1608978157,26.62,127.25,39975,228,396,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:22:37
139,1608978212,26.55,127.16,39975,228,397,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:23:32
46,1608978277,26.47,127.06,40000,228,399,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:24:37
25,1608978335,26.4,126.97,40000,228,400,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:25:35
7,1608978392,26.33,126.89,40000,228,402,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:26:32
41,1608978452,26.25,126.8,39975,227,402,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:27:32
210,1608978511,26.18,126.7,39975,227,402,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:28:31
189,1608978573,26.1,126.61,39975,227,403,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:29:33
133,1608978635,26.02,126.51,39975,227,404,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:30:35
140,1608978696,25.95,126.42,40000,227,403,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:31:36
38,1608978752,25.88,126.33,40000,227,404,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:32:32
0,1608978812,25.8,126.24,39975,227,404,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:33:32
115,1608978867,25.73,126.16,40000,227,403,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:34:27
117,1608978930,25.65,126.06,39975,227,402,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:35:30
191,1608978987,25.58,125.97,39975,227,403,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:36:27
148,1608979028,25.53,125.91,39975,227,403,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:37:08
48,1608979100,25.44,125.8,39975,227,403,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:38:20
221,1608979168,25.35,125.7,40000,227,403,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:39:28
173,1608979225,25.28,125.61,40000,227,405,87304A,HND,SGN,ANA891,64,B789,NH891,2020-12-26,17:40:25
116,1608979282,25.21,125.52,40000,228,406,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:41:22
56,1608979341,25.13,125.43,39975,228,407,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:42:21
33,1608979402,25.06,125.34,40000,228,407,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:43:22
71,1608979461,24.98,125.25,39975,228,407,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:44:21
147,1608979522,24.91,125.15,39975,228,408,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:45:22
211,1608979578,24.84,125.07,39975,228,408,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:46:18
62,1608979640,24.76,124.97,40000,228,410,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-12-26,17:47:20
106,1608979700,24.68,124.88,40000,227,412,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:48:20
226,1608979757,24.61,124.79,39975,227,413,87304A,HND,SGN,ANA891,0,B789,NH891,2020-12-26,17:49:17
