,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
184,1609151354,28.49,124.19,36000,211,399,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:29:14
183,1609151426,28.38,124.11,36000,211,399,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:30:26
19,1609151488,28.22,123.96,36025,203,418,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,17:31:28
116,1609151550,28.13,123.91,36025,203,413,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:32:30
35,1609151605,28.03,123.86,38025,203,388,71C027,ICN,SGN,KAL683,-128,A333,KE683,2020-12-28,17:33:25
185,1609151662,27.94,123.82,38000,203,388,71C027,ICN,SGN,KAL683,-128,A333,KE683,2020-12-28,17:34:22
95,1609151725,27.82,123.76,38000,202,406,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:35:25
196,1609151787,27.71,123.71,38000,202,408,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:36:27
115,1609151854,27.61,123.66,38000,202,408,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:37:34
96,1609151914,27.51,123.58,38000,215,394,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:38:34
117,1609151972,27.42,123.51,38000,215,398,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:39:32
66,1609152028,27.34,123.44,38000,215,400,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:40:28
167,1609152083,27.26,123.38,38000,215,400,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:41:23
4,1609152148,27.16,123.3,38000,214,401,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:42:28
30,1609152190,27.09,123.26,38000,202,413,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:43:10
1,1609152270,26.95,123.19,38000,202,412,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:44:30
193,1609152341,26.82,123.14,38000,202,415,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:45:41
182,1609152395,26.72,123.09,38000,202,416,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:46:35
88,1609152458,26.62,123.04,38000,202,418,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:47:38
28,1609152519,26.5,122.99,38000,202,418,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:48:39
75,1609152586,26.38,122.93,38000,202,421,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,17:49:46
54,1609152653,26.26,122.88,38000,202,420,71C027,ICN,SGN,KAL683,64,A333,KE683,2020-12-28,17:50:53
178,1609152712,26.16,122.83,38000,202,420,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:51:52
189,1609152765,26.06,122.79,38000,202,421,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:52:45
55,1609152821,25.96,122.74,38000,202,424,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:53:41
70,1609152887,25.84,122.69,38000,202,427,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:54:47
121,1609152946,25.73,122.64,38000,202,427,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:55:46
171,1609153005,25.62,122.59,38000,202,429,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:56:45
163,1609153063,25.51,122.54,38000,202,431,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:57:43
18,1609153125,25.4,122.49,38000,201,432,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,17:58:45
188,1609153189,25.28,122.44,38000,202,433,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,17:59:49
110,1609153249,25.17,122.39,38000,201,435,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,18:00:49
62,1609153305,25.06,122.34,38000,202,435,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,18:01:45
27,1609153361,24.96,122.3,38000,202,434,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:02:41
87,1609153425,24.84,122.24,38000,202,435,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:03:45
149,1609153487,24.72,122.19,38000,202,434,71C027,ICN,SGN,KAL683,-64,A333,KE683,2020-12-28,18:04:47
194,1609153548,24.61,122.14,38000,202,436,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:05:48
133,1609153609,24.49,122.09,38000,201,433,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:06:49
26,1609153664,24.39,122.05,38000,201,434,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:07:44
67,1609153720,24.29,122.01,38000,196,439,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:08:40
59,1609153785,24.16,121.97,38000,196,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:09:45
37,1609153841,24.05,121.93,38000,196,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:10:41
2,1609153901,23.93,121.89,38000,196,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:11:41
36,1609153964,23.8,121.85,38000,196,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:12:44
113,1609154021,23.69,121.81,38000,196,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:13:41
80,1609154081,23.58,121.78,38000,196,445,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:14:41
170,1609154141,23.46,121.74,38000,196,445,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:15:41
73,1609154201,23.34,121.7,38000,196,443,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:16:41
122,1609154257,23.23,121.66,38000,196,443,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:17:37
175,1609154316,23.11,121.63,38000,196,443,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:18:36
162,1609154376,23.0,121.58,38000,205,435,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:19:36
83,1609154434,22.9,121.52,38000,215,430,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:20:34
11,1609154494,22.8,121.44,38000,215,439,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:21:34
165,1609154550,22.7,121.37,38000,218,440,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:22:30
23,1609154606,22.62,121.29,38000,219,439,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:23:26
197,1609154661,22.53,121.21,38000,219,439,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:24:21
124,1609154718,22.44,121.14,38000,219,437,71C027,ICN,SGN,KAL683,64,A333,KE683,2020-12-28,18:25:18
29,1609154777,22.35,121.05,38900,219,432,71C027,ICN,SGN,KAL683,832,A333,KE683,2020-12-28,18:26:17
89,1609154842,22.25,120.97,39000,219,423,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:27:22
172,1609154902,22.16,120.89,39000,219,423,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:28:22
31,1609154961,22.07,120.81,39000,219,426,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:29:21
159,1609155030,21.96,120.71,39000,219,429,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:30:30
126,1609155094,21.86,120.63,39000,219,430,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:31:34
105,1609155149,21.78,120.55,39000,219,431,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:32:29
136,1609155204,21.69,120.48,39000,219,432,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:33:24
134,1609155262,21.6,120.4,39000,219,432,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:34:22
65,1609155318,21.51,120.32,39000,219,439,71C027,ICN,SGN,KAL683,64,A333,KE683,2020-12-28,18:35:18
57,1609155378,21.42,120.24,39000,219,442,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:36:18
112,1609155438,21.32,120.16,39000,218,445,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:37:18
34,1609155493,21.23,120.08,39000,218,446,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:38:13
191,1609155553,21.14,120.0,39000,218,447,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:39:13
146,1609155614,21.04,119.91,39000,219,448,71C027,ICN,SGN,KAL683,0,A333,KE683,2020-12-28,18:40:14
