,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
34,1609127725,21.21,105.81,0,180,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,10:55:25
2,1609127789,21.21,105.81,0,107,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,10:56:29
41,1609127853,21.22,105.81,0,286,13,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,10:57:33
57,1609127916,21.22,105.8,0,286,10,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,10:58:36
73,1609127970,21.22,105.8,0,286,14,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,10:59:30
13,1609128029,21.22,105.8,0,286,13,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:00:29
46,1609128088,21.22,105.79,0,286,10,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:01:28
30,1609128143,21.22,105.79,0,354,11,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:02:23
92,1609128206,21.22,105.79,0,286,14,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:03:26
39,1609128263,21.22,105.79,0,39,7,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:04:23
6,1609128320,21.22,105.79,0,89,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:05:20
1,1609128329,21.22,105.79,0,89,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:05:29
76,1609128439,21.22,105.79,0,271,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:07:19
69,1609128505,21.22,105.79,0,111,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:08:25
65,1609128565,21.22,105.79,0,106,1,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:09:25
97,1609128628,21.22,105.79,0,75,1,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:10:28
94,1609128689,21.22,105.79,0,271,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:11:29
63,1609128739,21.22,105.79,0,245,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:12:19
66,1609128809,21.22,105.79,0,180,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:13:29
25,1609128860,21.22,105.79,0,180,0,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:14:20
62,1609128933,21.22,105.79,0,53,9,42478C,HAN,SGN,VPCTV,0,F2TH,VPCTV,2020-12-28,11:15:33
