,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
52,1609363421,28.44,123.99,34000,220,430,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:23:41
48,1609363481,28.35,123.9,34000,220,430,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:24:41
133,1609363537,28.12,123.91,34000,202,442,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:25:37
105,1609363601,28.02,123.86,34000,202,442,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:26:41
112,1609363662,27.89,123.8,34000,202,441,71BC17,ICN,SGN,AAR395,-64,B744,OZ395,2020-12-31,04:27:42
20,1609363721,27.79,123.75,34000,202,442,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:28:41
21,1609363781,27.69,123.71,34000,202,442,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:29:41
36,1609363841,27.56,123.63,34000,207,436,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:30:41
50,1609363896,27.47,123.55,34000,216,426,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:31:36
138,1609363957,27.38,123.47,34000,215,427,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:32:37
23,1609364017,27.29,123.41,34000,215,427,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:33:37
32,1609364075,27.18,123.31,34000,215,431,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:34:35
163,1609364129,27.09,123.24,34000,215,432,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:35:29
108,1609364186,27.0,123.17,34000,215,432,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:36:26
68,1609364256,26.89,123.08,34000,215,432,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:37:36
186,1609364304,26.81,123.02,34000,215,431,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:38:24
182,1609364364,26.71,122.94,34000,215,433,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:39:24
84,1609364424,26.6,122.87,34000,203,452,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:40:24
116,1609364474,26.5,122.83,34000,198,456,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:41:14
31,1609364547,26.36,122.78,34000,198,453,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:42:27
65,1609364604,26.24,122.73,34000,199,449,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:43:24
165,1609364668,26.12,122.69,34000,198,448,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:44:28
46,1609364722,26.01,122.65,34000,198,449,71BC17,ICN,SGN,AAR395,-64,B744,OZ395,2020-12-31,04:45:22
22,1609364784,25.89,122.6,34000,198,452,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:46:24
4,1609364843,25.77,122.56,34000,198,454,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:47:23
85,1609364899,25.66,122.51,34000,198,458,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:48:19
146,1609364953,25.55,122.47,34000,198,459,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:49:13
16,1609365020,25.42,122.42,34000,198,460,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:50:20
107,1609365080,25.29,122.38,34000,198,461,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:51:20
126,1609365140,25.17,122.33,34000,198,461,71BC17,ICN,SGN,AAR395,-64,B744,OZ395,2020-12-31,04:52:20
37,1609365198,25.05,122.29,34000,198,462,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:53:18
64,1609365266,24.92,122.24,34000,198,463,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:54:26
151,1609365327,24.79,122.19,34700,198,466,71BC17,ICN,SGN,AAR395,1344,B744,OZ395,2020-12-31,04:55:27
185,1609365383,24.68,122.15,35950,198,463,71BC17,ICN,SGN,AAR395,960,B744,OZ395,2020-12-31,04:56:23
135,1609365447,24.55,122.1,35975,198,461,71BC17,ICN,SGN,AAR395,64,B744,OZ395,2020-12-31,04:57:27
6,1609365507,24.43,122.06,36000,198,461,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,04:58:27
150,1609365563,24.31,122.01,36000,196,465,71BC17,ICN,SGN,AAR395,-64,B744,OZ395,2020-12-31,04:59:23
102,1609365620,24.19,121.98,36000,196,467,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:00:20
160,1609365679,24.07,121.94,36000,196,470,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:01:19
124,1609365740,23.94,121.9,36000,196,468,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:02:20
152,1609365795,23.83,121.86,36000,196,472,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:03:15
78,1609365860,23.69,121.81,36000,196,473,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:04:20
172,1609365920,23.56,121.77,36000,196,472,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:05:20
59,1609365988,23.42,121.73,36000,196,470,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:06:28
80,1609366044,23.31,121.69,36000,196,468,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:07:24
44,1609366099,23.19,121.65,36000,196,468,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:08:19
39,1609366160,23.06,121.61,36000,196,469,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:09:20
173,1609366224,22.94,121.55,36000,213,457,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:10:24
154,1609366279,22.84,121.48,36000,215,455,71BC17,ICN,SGN,AAR395,0,B744,OZ395,2020-12-31,05:11:19
