,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
100,1611558554,18.29,91.05,39000,111,481,4BB146,AMM,SGN,THY6086,64,B77W,TK6086,2021-01-25,14:09:14
29,1611558609,18.24,91.2,39000,111,482,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:10:09
45,1611558666,18.19,91.32,39000,111,479,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:11:06
142,1611558720,18.15,91.43,39000,111,480,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:12:00
40,1611558784,18.09,91.58,39000,111,479,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:13:04
109,1611558847,18.04,91.71,39000,111,478,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:14:07
161,1611558898,18.0,91.82,39000,111,477,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:14:58
158,1611558967,17.94,91.97,39000,111,477,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:16:07
106,1611559026,17.89,92.1,39000,112,475,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:17:06
53,1611559078,17.85,92.19,39000,112,475,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:17:58
54,1611559150,17.79,92.36,39000,112,475,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:19:10
104,1611559212,17.73,92.49,39000,112,474,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:20:12
139,1611559270,17.69,92.61,39000,112,471,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:21:10
131,1611559326,17.64,92.73,39000,112,471,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:22:06
42,1611559382,17.59,92.85,39000,112,471,4BB146,AMM,SGN,THY6086,-64,B77W,TK6086,2021-01-25,14:23:02
56,1611559445,17.54,92.98,39000,112,471,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:24:05
112,1611559501,17.49,93.1,39000,112,471,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:25:01
37,1611559568,17.43,93.24,39000,112,473,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:26:08
23,1611559630,17.38,93.38,39000,112,473,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:27:10
22,1611559691,17.33,93.5,39000,112,472,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:28:11
28,1611559753,17.27,93.63,39000,112,471,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:29:13
127,1611559811,17.23,93.75,39000,112,470,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:30:11
1,1611559872,17.17,93.88,39000,112,469,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:31:12
136,1611559929,17.13,94.0,39000,112,468,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:32:09
145,1611559986,17.08,94.12,39000,113,468,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:33:06
12,1611560047,17.03,94.24,39000,113,466,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:34:07
107,1611560104,16.98,94.37,39000,113,466,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:35:04
14,1611560171,16.92,94.5,39000,113,466,4BB146,AMM,SGN,THY6086,0,B77W,TK6086,2021-01-25,14:36:11
