,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
69,1611836510,15.81,91.02,37000,104,491,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:21:50
58,1611836570,15.76,91.25,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:22:50
103,1611836618,15.74,91.34,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:23:38
140,1611836678,15.71,91.46,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:24:38
93,1611836738,15.68,91.58,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:25:38
125,1611836798,15.66,91.69,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:26:38
131,1611836858,15.63,91.82,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:27:38
90,1611836914,15.58,92.03,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:28:34
53,1611836974,15.55,92.15,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:29:34
134,1611837046,15.51,92.29,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:30:46
77,1611837106,15.49,92.41,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:31:46
18,1611837166,15.46,92.52,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:32:46
138,1611837226,15.43,92.66,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:33:46
47,1611837286,15.39,92.8,37000,104,494,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:34:46
92,1611837341,15.34,93.04,37000,103,495,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:35:41
128,1611837396,15.31,93.15,37000,103,495,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:36:36
133,1611837458,15.28,93.27,37000,103,495,896114,DXB,SGN,EK392,0,B77W,EK392,2021-01-28,19:37:38
147,1611837519,15.24,93.45,37000,103,494,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:38:39
12,1611837582,15.21,93.58,37000,103,493,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:39:42
108,1611837642,15.18,93.72,37000,103,493,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:40:42
119,1611837701,15.15,93.87,37000,103,491,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:41:41
50,1611837758,15.12,93.99,37000,103,491,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:42:38
35,1611837822,15.09,94.12,37000,103,491,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:43:42
39,1611837882,15.06,94.23,37000,103,491,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:44:42
62,1611837945,15.02,94.43,37000,103,485,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:45:45
24,1611838006,14.99,94.54,37000,103,485,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:46:46
8,1611838069,14.95,94.7,37000,103,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:47:49
4,1611838130,14.93,94.82,37000,103,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:48:50
64,1611838190,14.9,94.94,37000,103,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:49:50
22,1611838250,14.87,95.05,37000,103,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:50:50
37,1611838308,14.83,95.24,37000,103,485,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:51:48
82,1611838362,14.8,95.37,37000,103,486,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:52:42
109,1611838418,14.77,95.49,37000,103,487,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:53:38
110,1611838483,14.73,95.64,37675,103,489,896114,DXB,SGN,UAE392,1600,B77W,EK392,2021-01-28,19:54:43
20,1611838545,14.7,95.78,38825,103,491,896114,DXB,SGN,UAE392,448,B77W,EK392,2021-01-28,19:55:45
107,1611838604,14.66,95.91,39000,103,484,896114,DXB,SGN,UAE392,-64,B77W,EK392,2021-01-28,19:56:44
95,1611838669,14.63,96.06,39000,103,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:57:49
19,1611838728,14.6,96.19,39000,103,478,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:58:48
43,1611838786,14.57,96.32,39000,103,477,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,19:59:46
25,1611838839,14.54,96.43,39000,104,478,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:00:39
11,1611838909,14.5,96.59,39000,104,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:01:49
65,1611838957,14.48,96.7,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:02:37
146,1611839034,14.43,96.87,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:03:54
150,1611839105,14.4,97.02,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:05:05
94,1611839160,14.36,97.15,39000,104,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:06:00
55,1611839225,14.33,97.29,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:07:05
51,1611839283,14.3,97.42,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:08:03
40,1611839339,14.27,97.54,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:08:59
80,1611839403,14.23,97.68,39000,104,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:10:03
143,1611839461,14.2,97.81,39000,104,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:11:01
13,1611839523,14.17,97.95,39000,104,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:12:03
1,1611839583,14.13,98.08,39000,104,482,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:13:03
0,1611839641,14.1,98.21,39000,99,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:14:01
130,1611839693,14.09,98.33,39000,93,485,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:14:53
26,1611839758,14.08,98.48,39000,93,483,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:15:58
3,1611839825,14.07,98.63,39000,93,481,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:17:05
23,1611839886,14.06,98.77,39000,93,479,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:18:06
118,1611839944,14.06,98.9,39000,93,480,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:19:04
126,1611840004,14.05,99.04,39000,95,478,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:20:04
67,1611840065,14.03,99.18,39000,101,477,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:21:05
7,1611840120,13.99,99.3,39000,108,475,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:22:00
114,1611840170,13.96,99.41,39000,108,476,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:22:50
66,1611840230,13.92,99.53,39000,107,474,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:23:50
38,1611840297,13.87,99.68,39000,107,471,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:24:57
31,1611840357,13.83,99.8,39000,108,472,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:25:57
87,1611840417,13.79,99.93,39000,108,472,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:26:57
52,1611840473,13.75,100.05,39000,108,471,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:27:53
99,1611840528,13.72,100.17,39000,108,472,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:28:48
89,1611840584,13.68,100.29,39000,108,471,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:29:44
102,1611840647,13.64,100.42,39000,108,469,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:30:47
124,1611840711,13.59,100.56,39000,108,468,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:31:51
79,1611840769,13.55,100.68,39000,108,467,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:32:49
56,1611840833,13.51,100.81,39000,108,466,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:33:53
101,1611840887,13.47,100.93,39000,108,465,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:34:47
111,1611840948,13.43,101.05,39000,108,465,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:35:48
78,1611841000,13.4,101.16,39000,108,465,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:36:40
61,1611841068,13.35,101.31,39000,108,468,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:37:48
115,1611841129,13.31,101.43,39000,108,469,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:38:49
137,1611841190,13.27,101.56,39000,108,469,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:39:50
151,1611841248,13.23,101.69,39000,108,470,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:40:48
49,1611841305,13.19,101.81,39000,108,470,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:41:45
72,1611841369,13.14,101.94,39000,108,472,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:42:49
32,1611841432,13.1,102.08,39000,108,473,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:43:52
76,1611841491,13.06,102.2,39000,108,474,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:44:51
21,1611841547,13.02,102.32,39000,108,473,896114,DXB,SGN,UAE392,64,B77W,EK392,2021-01-28,20:45:47
73,1611841612,12.97,102.46,39000,114,473,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:46:52
96,1611841672,12.91,102.58,39000,117,475,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:47:52
41,1611841729,12.85,102.69,39000,117,475,896114,DXB,SGN,UAE392,0,B77W,EK392,2021-01-28,20:48:49
