,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
126,1613967983,21.21,105.81,0,284,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:26:23
95,1613968053,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:27:33
151,1613968112,21.21,105.81,0,49,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:28:32
22,1613968177,21.21,105.81,0,89,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:29:37
35,1613968232,21.21,105.81,0,145,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:30:32
150,1613968297,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:31:37
111,1613968362,21.21,105.81,0,284,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:32:42
19,1613968417,21.21,105.81,0,344,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:33:37
94,1613968478,21.21,105.81,0,76,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:34:38
52,1613968536,21.21,105.81,0,149,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:35:36
90,1613968590,21.21,105.81,0,349,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:36:30
16,1613968665,21.21,105.81,0,149,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:37:45
132,1613968720,21.21,105.81,0,271,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:38:40
31,1613968769,21.21,105.81,0,39,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:39:29
109,1613968841,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:40:41
91,1613968900,21.21,105.81,0,284,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:41:40
99,1613968960,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:42:40
15,1613969020,21.21,105.81,0,103,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:43:40
127,1613969080,21.21,105.81,0,215,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:44:40
136,1613969135,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:45:35
77,1613969191,21.21,105.81,0,257,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:46:31
96,1613969251,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:47:31
82,1613969315,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:48:35
42,1613969375,21.21,105.81,0,326,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:49:35
43,1613969441,21.21,105.81,0,264,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:50:41
71,1613969501,21.21,105.81,0,311,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:51:41
138,1613969551,21.21,105.81,0,257,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:52:31
40,1613969626,21.21,105.81,0,257,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:53:46
101,1613969675,21.21,105.81,0,271,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:54:35
141,1613969745,21.21,105.81,0,103,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:55:45
65,1613969805,21.21,105.81,0,103,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:56:45
63,1613969865,21.21,105.81,0,130,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:57:45
78,1613969930,21.22,105.81,0,357,10,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:58:50
0,1613969986,21.22,105.81,0,2,10,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,11:59:46
6,1613970039,21.22,105.8,0,286,16,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:00:39
56,1613970098,21.22,105.8,0,286,17,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:01:38
70,1613970155,21.22,105.79,0,286,18,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:02:35
115,1613970212,21.22,105.79,0,16,1,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:03:32
64,1613970271,21.22,105.79,0,19,5,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:04:31
133,1613970335,21.22,105.79,0,106,9,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:05:35
106,1613970388,21.22,105.8,0,257,0,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:06:28
2,1613970451,21.22,105.8,0,106,66,8881BA,HAN,SGN,VAG751,0,A321,VU751,2021-02-22,12:07:31
55,1613970515,21.21,105.85,1850,106,198,8881BA,HAN,SGN,VAG751,960,A321,VU751,2021-02-22,12:08:35
102,1613970570,21.19,105.91,3450,105,259,8881BA,HAN,SGN,VAG751,2880,A321,VU751,2021-02-22,12:09:30
27,1613970638,21.16,105.99,6250,142,283,8881BA,HAN,SGN,VAG751,2496,A321,VU751,2021-02-22,12:10:38
54,1613970696,21.08,106.01,8700,171,293,8881BA,HAN,SGN,VAG751,2112,A321,VU751,2021-02-22,12:11:36
11,1613970753,21.0,106.02,10700,171,317,8881BA,HAN,SGN,VAG751,1152,A321,VU751,2021-02-22,12:12:33
9,1613970810,20.91,106.03,11775,171,371,8881BA,HAN,SGN,VAG751,2240,A321,VU751,2021-02-22,12:13:30
114,1613970866,20.82,106.05,14550,171,363,8881BA,HAN,SGN,VAG751,2752,A321,VU751,2021-02-22,12:14:26
142,1613970923,20.72,106.06,16175,171,382,8881BA,HAN,SGN,VAG751,1664,A321,VU751,2021-02-22,12:15:23
17,1613970986,20.61,106.08,18075,171,396,8881BA,HAN,SGN,VAG751,1728,A321,VU751,2021-02-22,12:16:26
