,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
62,1614554209,1.41,104.0,2350,23,208,76AA75,SIN,SGN,JSA555,2432,A320,3K555,2021-03-01,06:16:49
60,1614554288,1.48,104.01,5225,345,230,76AA75,SIN,SGN,JSA555,2944,A320,3K555,2021-03-01,06:18:08
25,1614554342,1.56,103.98,8350,340,331,76AA75,SIN,SGN,JSA555,3584,A320,3K555,2021-03-01,06:19:02
66,1614554397,1.64,103.95,11500,340,344,76AA75,SIN,SGN,JSA555,3008,A320,3K555,2021-03-01,06:19:57
53,1614554473,1.76,103.91,14900,347,367,76AA75,SIN,SGN,JSA555,2880,A320,3K555,2021-03-01,06:21:13
16,1614554533,1.86,103.9,17175,356,387,76AA75,SIN,SGN,JSA555,2432,A320,3K555,2021-03-01,06:22:13
23,1614554597,1.98,103.9,20050,356,391,76AA75,SIN,SGN,JSA555,3136,A320,3K555,2021-03-01,06:23:17
84,1614554650,2.08,103.89,22175,356,394,76AA75,SIN,SGN,JSA555,2432,A320,3K555,2021-03-01,06:24:10
61,1614554717,2.2,103.88,24050,356,410,76AA75,SIN,SGN,JSA555,1408,A320,3K555,2021-03-01,06:25:17
10,1614554771,2.31,103.88,25375,356,424,76AA75,SIN,SGN,JSA555,1024,A320,3K555,2021-03-01,06:26:11
68,1614554829,2.42,103.88,26850,8,427,76AA75,SIN,SGN,JSA555,1728,A320,3K555,2021-03-01,06:27:09
58,1614554887,2.54,103.89,28125,8,439,76AA75,SIN,SGN,JSA555,1472,A320,3K555,2021-03-01,06:28:07
4,1614554949,2.67,103.91,29400,8,452,76AA75,SIN,SGN,JSA555,960,A320,3K555,2021-03-01,06:29:09
11,1614555002,2.78,103.93,30550,8,460,76AA75,SIN,SGN,JSA555,1856,A320,3K555,2021-03-01,06:30:02
12,1614555057,2.89,103.95,31550,8,469,76AA75,SIN,SGN,JSA555,896,A320,3K555,2021-03-01,06:30:57
0,1614555119,3.03,103.97,33175,8,463,76AA75,SIN,SGN,JSA555,1600,A320,3K555,2021-03-01,06:31:59
19,1614555181,3.16,103.99,34575,8,464,76AA75,SIN,SGN,JSA555,1536,A320,3K555,2021-03-01,06:33:01
17,1614555241,3.29,104.01,35925,8,463,76AA75,SIN,SGN,JSA555,1600,A320,3K555,2021-03-01,06:34:01
32,1614555299,3.41,104.03,37200,8,461,76AA75,SIN,SGN,JSA555,1472,A320,3K555,2021-03-01,06:34:59
47,1614555358,3.54,104.04,38000,8,457,76AA75,SIN,SGN,JSA555,128,A320,3K555,2021-03-01,06:35:58
38,1614555420,3.66,104.06,38000,8,458,76AA75,SIN,SGN,JSA555,64,A320,3K555,2021-03-01,06:37:00
13,1614555475,3.78,104.08,38000,8,456,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:37:55
59,1614555525,3.88,104.1,38000,8,456,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:38:45
50,1614555597,4.03,104.12,37975,8,457,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:39:57
2,1614555648,4.14,104.14,38025,8,457,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:40:48
37,1614555719,4.29,104.16,38025,8,456,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:41:59
43,1614555775,4.41,104.18,38000,8,455,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:42:55
15,1614555819,4.5,104.19,38000,8,454,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:43:39
49,1614555888,4.64,104.21,38000,8,455,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:44:48
55,1614555957,4.79,104.23,38000,8,454,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:45:57
22,1614556016,4.9,104.25,38000,5,456,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:46:56
40,1614556057,5.0,104.24,38000,356,461,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:47:37
89,1614556138,5.17,104.23,38000,356,461,76AA75,SIN,SGN,JSA555,-64,A320,3K555,2021-03-01,06:48:58
27,1614556196,5.3,104.22,37975,356,462,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:49:56
46,1614556267,5.45,104.21,38000,356,463,76AA75,SIN,SGN,JSA555,64,A320,3K555,2021-03-01,06:51:07
83,1614556326,5.58,104.21,38000,356,463,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:52:06
48,1614556383,5.7,104.2,38000,357,462,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:53:03
42,1614556441,5.83,104.19,38000,356,462,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:54:01
36,1614556501,5.95,104.19,38000,357,461,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:55:01
73,1614556561,6.08,104.18,38000,356,460,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:56:01
35,1614556612,6.19,104.18,38000,356,459,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:56:52
64,1614556689,6.35,104.17,38000,357,458,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:58:09
21,1614556751,6.48,104.16,38000,357,457,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,06:59:11
67,1614556800,6.59,104.15,37975,356,458,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,07:00:00
86,1614557475,7.86,104.55,37075,35,434,76AA75,SIN,SGN,JSA555,-448,A320,3K555,2021-03-01,07:11:15
28,1614557531,7.95,104.61,37000,35,429,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,07:12:11
20,1614557587,8.04,104.67,37000,35,429,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,07:13:07
63,1614557642,8.13,104.74,37000,35,429,76AA75,SIN,SGN,JSA555,0,A320,3K555,2021-03-01,07:14:02
