,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
50,1614780353,2.76,101.68,1700,326,175,750109,KUL,SGN,AXM524,1472,A320,AK524,2021-03-03,21:05:53
37,1614780427,2.82,101.64,4200,355,223,750109,KUL,SGN,AXM524,3264,A320,AK524,2021-03-03,21:07:07
63,1614780492,2.88,101.68,6500,38,269,750109,KUL,SGN,AXM524,1728,A320,AK524,2021-03-03,21:08:12
101,1614780553,2.94,101.73,8525,38,315,750109,KUL,SGN,AXM524,1216,A320,AK524,2021-03-03,21:09:13
8,1614780612,3.01,101.79,10600,38,346,750109,KUL,SGN,AXM524,2240,A320,AK524,2021-03-03,21:10:12
51,1614780668,3.09,101.84,12625,38,367,750109,KUL,SGN,AXM524,2112,A320,AK524,2021-03-03,21:11:08
6,1614780733,3.17,101.91,15200,38,373,750109,KUL,SGN,AXM524,1728,A320,AK524,2021-03-03,21:12:13
46,1614780793,3.26,101.98,17350,38,379,750109,KUL,SGN,AXM524,3008,A320,AK524,2021-03-03,21:13:13
45,1614780854,3.34,102.05,19125,33,390,750109,KUL,SGN,AXM524,1472,A320,AK524,2021-03-03,21:14:14
67,1614780920,3.46,102.1,20775,23,407,750109,KUL,SGN,AXM524,1664,A320,AK524,2021-03-03,21:15:20
41,1614780980,3.56,102.14,22475,23,410,750109,KUL,SGN,AXM524,1280,A320,AK524,2021-03-03,21:16:20
61,1614781041,3.67,102.19,23700,23,425,750109,KUL,SGN,AXM524,1600,A320,AK524,2021-03-03,21:17:21
15,1614781105,3.79,102.24,25100,23,433,750109,KUL,SGN,AXM524,1088,A320,AK524,2021-03-03,21:18:25
79,1614781168,3.9,102.29,26375,23,442,750109,KUL,SGN,AXM524,1088,A320,AK524,2021-03-03,21:19:28
96,1614781225,4.02,102.33,27475,23,447,750109,KUL,SGN,AXM524,1664,A320,AK524,2021-03-03,21:20:25
10,1614781282,4.13,102.38,28475,23,453,750109,KUL,SGN,AXM524,1024,A320,AK524,2021-03-03,21:21:22
20,1614781348,4.25,102.43,29400,23,463,750109,KUL,SGN,AXM524,768,A320,AK524,2021-03-03,21:22:28
56,1614781407,4.37,102.49,30225,23,470,750109,KUL,SGN,AXM524,1088,A320,AK524,2021-03-03,21:23:27
12,1614781460,4.48,102.53,31125,23,470,750109,KUL,SGN,AXM524,1024,A320,AK524,2021-03-03,21:24:20
88,1614781514,4.59,102.58,32075,23,470,750109,KUL,SGN,AXM524,832,A320,AK524,2021-03-03,21:25:14
33,1614781582,4.72,102.64,33250,23,468,750109,KUL,SGN,AXM524,1280,A320,AK524,2021-03-03,21:26:22
83,1614781640,4.84,102.68,34475,23,462,750109,KUL,SGN,AXM524,896,A320,AK524,2021-03-03,21:27:20
77,1614781708,4.97,102.74,35500,23,462,750109,KUL,SGN,AXM524,1216,A320,AK524,2021-03-03,21:28:28
13,1614781764,5.08,102.79,36300,23,462,750109,KUL,SGN,AXM524,1024,A320,AK524,2021-03-03,21:29:24
34,1614781820,5.19,102.84,36950,23,465,750109,KUL,SGN,AXM524,704,A320,AK524,2021-03-03,21:30:20
