,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
204,1614774093,28.44,124.07,36000,206,369,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:21:33
120,1614774156,28.34,124.01,36000,206,368,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:22:36
237,1614774210,28.27,123.97,36000,205,368,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:23:30
122,1614774273,28.15,123.92,36000,203,375,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:24:33
179,1614774334,28.06,123.88,36000,202,375,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:25:34
160,1614774392,27.96,123.83,36000,202,375,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:26:32
133,1614774461,27.85,123.78,36000,202,376,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:27:41
181,1614774514,27.77,123.74,36000,202,377,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:28:34
105,1614774585,27.65,123.68,36000,202,377,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:29:45
157,1614774643,27.57,123.63,36025,216,363,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:30:43
135,1614774695,27.5,123.57,36000,215,362,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:31:35
173,1614774753,27.42,123.51,36000,215,359,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:32:33
58,1614774834,27.32,123.42,36000,227,358,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:33:54
216,1614774880,27.25,123.37,36000,215,354,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:34:40
114,1614774938,27.17,123.31,36000,204,363,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:35:38
224,1614775009,27.06,123.26,36000,202,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:36:49
107,1614775065,26.97,123.22,36000,202,372,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:37:45
45,1614775125,26.87,123.17,36000,202,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:38:45
40,1614775187,26.77,123.13,36000,202,374,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:39:47
170,1614775243,26.68,123.08,36000,202,379,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:40:43
42,1614775302,26.59,123.04,36025,202,392,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:41:42
106,1614775365,26.47,122.99,36025,202,416,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:42:45
59,1614775432,26.36,122.93,36025,202,417,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:43:52
142,1614775491,26.25,122.88,36025,202,417,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:44:51
78,1614775549,26.15,122.84,36025,202,418,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:45:49
153,1614775608,26.04,122.79,36025,202,418,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:46:48
212,1614775660,25.95,122.75,36000,202,388,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-03-03,19:47:40
85,1614775727,25.84,122.7,36000,202,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:48:47
174,1614775784,25.75,122.65,36000,202,381,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:49:44
190,1614775845,25.65,122.61,36000,202,381,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:50:45
178,1614775904,25.55,122.57,36000,202,379,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:51:44
171,1614775969,25.44,122.52,36000,202,380,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:52:49
117,1614776027,25.35,122.47,36000,202,383,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-03-03,19:53:47
175,1614776088,25.25,122.43,36000,202,386,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:54:48
152,1614776142,25.16,122.39,36025,202,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:55:42
217,1614776206,25.05,122.34,36025,202,392,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:56:46
124,1614776265,24.95,122.3,36000,202,391,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:57:45
31,1614776321,24.86,122.25,36000,202,389,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:58:41
51,1614776376,24.77,122.21,36000,202,385,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,19:59:36
241,1614776435,24.67,122.17,36025,202,383,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:00:35
223,1614776492,24.58,122.13,36000,202,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:01:32
101,1614776557,24.47,122.08,36025,202,387,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:02:37
66,1614776614,24.37,122.04,36025,202,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:03:34
232,1614776681,24.26,122.0,36000,196,394,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:04:41
112,1614776741,24.15,121.96,36000,196,394,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:05:41
193,1614776801,24.05,121.93,36000,196,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:06:41
205,1614776864,23.94,121.89,36000,196,389,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:07:44
137,1614776921,23.84,121.86,36000,196,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:08:41
240,1614776981,23.74,121.83,36000,196,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:09:41
242,1614777039,23.63,121.79,36025,196,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:10:39
191,1614777101,23.52,121.76,36000,196,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:11:41
148,1614777157,23.43,121.73,36025,196,399,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:12:37
126,1614777213,23.33,121.7,36025,196,401,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:13:33
141,1614777273,23.22,121.66,36000,196,402,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:14:33
61,1614777337,23.11,121.62,36000,196,402,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:15:37
95,1614777397,23.0,121.59,36000,204,397,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:16:37
225,1614777457,22.91,121.52,36000,215,392,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:17:37
72,1614777515,22.82,121.46,36025,215,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:18:35
37,1614777579,22.72,121.39,36000,215,394,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:19:39
202,1614777637,22.64,121.31,36000,219,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:20:37
104,1614777692,22.56,121.24,36000,219,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:21:32
98,1614777749,22.48,121.17,36000,219,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:22:29
159,1614777805,22.41,121.1,36000,219,394,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:23:25
33,1614777869,22.31,121.02,36000,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:24:29
229,1614777929,22.23,120.95,36000,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:25:29
65,1614777988,22.15,120.88,36000,219,396,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:26:28
55,1614778047,22.06,120.8,36000,219,396,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:27:27
147,1614778113,21.97,120.72,36025,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:28:33
130,1614778169,21.89,120.65,36025,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:29:29
30,1614778229,21.8,120.58,36000,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:30:29
80,1614778284,21.72,120.51,36000,219,394,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:31:24
155,1614778339,21.65,120.44,36000,219,393,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:32:19
46,1614778405,21.55,120.36,36000,219,395,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:33:25
76,1614778461,21.47,120.29,36025,219,396,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:34:21
201,1614778520,21.39,120.22,36025,219,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:35:20
167,1614778588,21.29,120.13,36025,218,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:36:28
162,1614778641,21.22,120.07,36000,218,397,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:37:21
128,1614778709,21.12,119.98,36000,218,397,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:38:29
144,1614778765,21.04,119.91,36000,218,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:39:25
200,1614778821,20.96,119.84,36000,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:40:21
92,1614778881,20.88,119.75,36000,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:41:21
208,1614778931,20.82,119.68,36000,225,399,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:42:11
74,1614778998,20.73,119.59,36000,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:43:18
221,1614779060,20.65,119.5,36000,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:44:20
108,1614779116,20.58,119.43,36025,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:45:16
143,1614779170,20.51,119.35,36000,225,397,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:46:10
89,1614779236,20.42,119.26,36000,225,398,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:47:16
196,1614779296,20.34,119.18,36000,225,400,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:48:16
213,1614779357,20.26,119.09,36000,225,400,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:49:17
192,1614779409,20.2,119.02,36025,225,402,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:50:09
134,1614779472,20.11,118.93,36000,225,403,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:51:12
203,1614779515,20.06,118.87,36000,225,403,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:51:55
70,1614779596,19.95,118.76,36025,225,405,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:53:16
198,1614779653,19.87,118.68,36000,225,407,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:54:13
149,1614779708,19.8,118.6,36000,225,407,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:55:08
73,1614779764,19.72,118.52,36000,224,405,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:56:04
154,1614779828,19.64,118.43,36025,224,405,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:57:08
90,1614779880,19.57,118.36,36000,224,405,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:58:00
48,1614779944,19.48,118.27,36025,224,406,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,20:59:04
50,1614780008,19.4,118.18,36025,224,407,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,21:00:08
227,1614780066,19.34,118.1,36000,235,408,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,21:01:06
209,1614780127,19.24,118.01,36000,224,410,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,21:02:07
131,1614780176,19.17,117.94,36000,224,412,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-03-03,21:02:56
