,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
35,1615003750,19.69,105.54,8275,172,290,888096,THD,SGN,VJC253,2880,A320,VJ253,2021-03-06,11:09:10
47,1615003817,19.6,105.55,10950,173,324,888096,THD,SGN,VJC253,1088,A320,VJ253,2021-03-06,11:10:17
102,1615003872,19.51,105.57,12275,172,371,888096,THD,SGN,VJC253,2496,A320,VJ253,2021-03-06,11:11:12
56,1615003928,19.41,105.58,14700,167,383,888096,THD,SGN,VJC253,2496,A320,VJ253,2021-03-06,11:12:08
88,1615003987,19.32,105.64,16875,147,404,888096,THD,SGN,VJC253,2112,A320,VJ253,2021-03-06,11:13:07
77,1615004045,19.22,105.7,18750,147,417,888096,THD,SGN,VJC253,1024,A320,VJ253,2021-03-06,11:14:05
5,1615004098,19.13,105.76,20375,147,426,888096,THD,SGN,VJC253,2304,A320,VJ253,2021-03-06,11:14:58
68,1615004159,19.03,105.83,21825,147,441,888096,THD,SGN,VJC253,1728,A320,VJ253,2021-03-06,11:15:59
24,1615004218,18.93,105.9,23225,147,449,888096,THD,SGN,VJC253,1472,A320,VJ253,2021-03-06,11:16:58
100,1615004290,18.8,105.98,24525,147,464,888096,THD,SGN,VJC253,1280,A320,VJ253,2021-03-06,11:18:10
44,1615004344,18.7,106.05,25725,147,466,888096,THD,SGN,VJC253,1600,A320,VJ253,2021-03-06,11:19:04
46,1615004409,18.58,106.13,26650,147,477,888096,THD,SGN,VJC253,1088,A320,VJ253,2021-03-06,11:20:09
22,1615004464,18.48,106.2,27550,147,483,888096,THD,SGN,VJC253,1024,A320,VJ253,2021-03-06,11:21:04
28,1615004525,18.36,106.28,28425,147,489,888096,THD,SGN,VJC253,1664,A320,VJ253,2021-03-06,11:22:05
12,1615004584,18.25,106.36,29250,147,494,888096,THD,SGN,VJC253,1088,A320,VJ253,2021-03-06,11:23:04
