timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1615246171,17.51,107.5,38000,155,443,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615245831,18.16,107.15,38025,184,445,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248407,13.12,108.13,38000,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615243945,21.22,105.79,0,106,8,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244720,20.26,106.18,26400,154,450,8881B9,HAN,SGN,VAG751,1536,A321,VU751
1615245537,18.7,106.94,38000,156,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615246980,16.0,108.19,38025,173,430,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1615248518,12.89,108.13,38000,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248756,12.41,108.09,31975,206,438,8881B9,HAN,SGN,VAG751,-1920,A321,VU751
1615246372,17.13,107.68,37975,155,438,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615249249,11.47,107.59,21000,215,451,8881B9,HAN,SGN,VAG751,-2880,A321,VU751
1615248223,13.49,108.14,38025,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615246499,16.91,107.79,37975,154,439,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244961,19.78,106.42,32225,154,476,8881B9,HAN,SGN,VAG751,2432,A321,VU751
1615243584,21.22,105.8,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244421,20.82,106.05,17075,171,364,8881B9,HAN,SGN,VAG751,2304,A321,VU751
1615247402,15.16,108.18,38025,181,436,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244175,21.17,105.97,6100,109,277,8881B9,HAN,SGN,VAG751,3072,A321,VU751
1615246007,17.83,107.35,37975,155,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615249115,11.72,107.74,25975,206,462,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1615243762,21.22,105.8,0,286,15,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615245755,18.28,107.13,38025,156,445,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615249183,11.59,107.67,24100,209,460,8881B9,HAN,SGN,VAG751,-2112,A321,VU751
1615246611,16.69,107.89,38025,154,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615246247,17.39,107.56,38000,155,443,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615247823,14.31,108.16,38025,181,437,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244842,20.02,106.3,29200,154,470,8881B9,HAN,SGN,VAG751,896,A321,VU751
1615244900,19.91,106.36,30475,154,478,8881B9,HAN,SGN,VAG751,1600,A321,VU751
1615247089,15.79,108.19,37950,181,429,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244366,20.91,106.03,14625,171,351,8881B9,HAN,SGN,VAG751,3712,A321,VU751
1615246067,17.73,107.39,37975,155,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615247035,15.89,108.19,37975,181,428,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1615248638,12.64,108.12,37025,181,441,8881B9,HAN,SGN,VAG751,-2176,A321,VU751
1615243821,21.22,105.79,0,286,12,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244784,20.13,106.24,27900,154,462,8881B9,HAN,SGN,VAG751,1280,A321,VU751
1615246300,17.27,107.61,38000,155,438,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244606,20.48,106.1,22625,170,440,8881B9,HAN,SGN,VAG751,1216,A321,VU751
1615245246,19.24,106.69,38000,154,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615243644,21.22,105.8,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615246863,16.22,108.12,38000,155,437,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244486,20.71,106.06,19025,171,403,8881B9,HAN,SGN,VAG751,2624,A321,VU751
1615247268,15.43,108.18,38000,181,432,8881B9,HAN,SGN,VAG751,64,A321,VU751
1615245593,18.59,106.99,38000,156,443,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615249372,11.27,107.45,15275,215,418,8881B9,HAN,SGN,VAG751,-2688,A321,VU751
1615246686,16.55,107.96,38000,154,437,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615244118,21.19,105.89,3275,105,237,8881B9,HAN,SGN,VAG751,1984,A321,VU751
1615244303,21.02,106.01,10800,171,305,8881B9,HAN,SGN,VAG751,1280,A321,VU751
1615245954,17.91,107.31,37975,155,441,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615245889,18.03,107.25,37975,155,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248223,13.49,108.14,38025,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615249550,11.1,107.18,9975,239,325,8881B9,HAN,SGN,VAG751,-1600,A321,VU751
1615245651,18.48,107.04,38000,156,445,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248577,12.77,108.13,38000,181,444,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615243519,21.22,105.8,0,180,0,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248349,13.24,108.14,38000,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248880,12.17,107.97,29900,206,462,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1615247336,15.29,108.18,38000,181,435,8881B9,HAN,SGN,VAG751,64,A321,VU751
1615246741,16.45,108.01,38000,155,436,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1615244001,21.22,105.8,0,106,84,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615247645,14.67,108.17,38000,181,436,8881B9,HAN,SGN,VAG751,-64,A321,VU751
1615246920,16.12,108.16,38025,158,435,8881B9,HAN,SGN,VAG751,64,A321,VU751
1615247590,14.78,108.17,38000,181,436,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248825,12.28,108.02,30725,206,463,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1615248934,12.07,107.91,29000,206,466,8881B9,HAN,SGN,VAG751,-1024,A321,VU751
1615246796,16.35,108.06,37975,155,436,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615247938,14.07,108.16,38000,181,436,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615247466,15.03,108.18,38025,181,437,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615245309,19.12,106.74,38000,156,440,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615248995,11.95,107.86,28000,206,459,8881B9,HAN,SGN,VAG751,-960,A321,VU751
1615249057,11.83,107.8,26950,206,464,8881B9,HAN,SGN,VAG751,-1024,A321,VU751
1615248467,12.99,108.13,37975,181,442,8881B9,HAN,SGN,VAG751,0,A321,VU751
1615246543,16.82,107.83,38025,155,441,8881B9,HAN,SGN,VAG751,64,A321,VU751
