,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
66,1616159902,2.72,101.72,0,146,21,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:18:22
82,1616159936,2.72,101.72,0,146,15,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:18:56
28,1616159995,2.71,101.72,0,241,6,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:19:55
21,1616160151,2.75,101.69,2100,326,165,780A43,KUL,SGN,HKC328,1024,A332,RH328,2021-03-19,20:22:31
24,1616160204,2.79,101.66,3800,333,209,780A43,KUL,SGN,HKC328,2112,A332,RH328,2021-03-19,20:23:24
46,1616160268,2.85,101.69,6375,36,242,780A43,KUL,SGN,HKC328,1344,A332,RH328,2021-03-19,20:24:28
19,1616160315,2.9,101.72,8425,36,276,780A43,KUL,SGN,HKC328,3520,A332,RH328,2021-03-19,20:25:15
49,1616160393,2.98,101.78,11500,36,322,780A43,KUL,SGN,HKC328,1344,A332,RH328,2021-03-19,20:26:33
30,1616160448,3.05,101.84,13850,36,345,780A43,KUL,SGN,HKC328,3392,A332,RH328,2021-03-19,20:27:28
43,1616160510,3.13,101.9,16575,36,357,780A43,KUL,SGN,HKC328,2560,A332,RH328,2021-03-19,20:28:30
23,1616160574,3.22,101.96,19000,36,377,780A43,KUL,SGN,HKC328,2240,A332,RH328,2021-03-19,20:29:34
32,1616160628,3.3,102.02,21025,35,387,780A43,KUL,SGN,HKC328,2688,A332,RH328,2021-03-19,20:30:28
60,1616160689,3.39,102.08,23000,30,402,780A43,KUL,SGN,HKC328,2112,A332,RH328,2021-03-19,20:31:29
29,1616160755,3.5,102.14,24875,26,417,780A43,KUL,SGN,HKC328,1792,A332,RH328,2021-03-19,20:32:35
98,1616160815,3.61,102.19,26375,27,428,780A43,KUL,SGN,HKC328,1344,A332,RH328,2021-03-19,20:33:35
100,1616160871,3.71,102.24,27600,27,443,780A43,KUL,SGN,HKC328,1472,A332,RH328,2021-03-19,20:34:31
54,1616160926,3.81,102.29,28775,27,454,780A43,KUL,SGN,HKC328,576,A332,RH328,2021-03-19,20:35:26
20,1616160994,3.94,102.36,30500,27,461,780A43,KUL,SGN,HKC328,1600,A332,RH328,2021-03-19,20:36:34
4,1616161049,4.05,102.41,31950,27,466,780A43,KUL,SGN,HKC328,1920,A332,RH328,2021-03-19,20:37:29
78,1616161107,4.16,102.47,33525,27,471,780A43,KUL,SGN,HKC328,1856,A332,RH328,2021-03-19,20:38:27
59,1616161167,4.27,102.53,35525,27,467,780A43,KUL,SGN,HKC328,2432,A332,RH328,2021-03-19,20:39:27
93,1616161227,4.39,102.59,37825,27,453,780A43,KUL,SGN,HKC328,2176,A332,RH328,2021-03-19,20:40:27
73,1616161284,4.49,102.64,39150,27,454,780A43,KUL,SGN,HKC328,1152,A332,RH328,2021-03-19,20:41:24
51,1616161348,4.62,102.7,40375,27,459,780A43,KUL,SGN,HKC328,1152,A332,RH328,2021-03-19,20:42:28
58,1616161408,4.73,102.76,41000,27,470,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:43:28
14,1616161466,4.85,102.82,41000,27,478,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:44:26
94,1616161519,4.95,102.87,41000,26,475,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:45:19
86,1616161582,5.07,102.94,41000,26,473,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:46:22
1,1616161649,5.2,103.0,41000,26,474,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:47:29
27,1616161715,5.33,103.07,41000,26,475,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:48:35
35,1616161774,5.46,103.12,41000,19,476,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:49:34
55,1616161838,5.59,103.16,41000,19,477,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:50:38
57,1616161887,5.69,103.2,41000,19,478,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:51:27
37,1616161955,5.83,103.25,41000,17,477,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:52:35
2,1616162004,5.94,103.28,41000,17,475,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:53:24
74,1616162066,6.07,103.32,41000,17,474,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:54:26
0,1616162118,6.18,103.35,41000,17,473,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:55:18
63,1616162195,6.34,103.4,41000,16,474,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:56:35
44,1616162256,6.47,103.44,41000,16,475,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:57:36
56,1616162309,6.58,103.48,41000,17,477,780A43,KUL,SGN,HKC328,-64,A332,RH328,2021-03-19,20:58:29
7,1616162374,6.72,103.52,41000,17,477,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,20:59:34
90,1616162430,6.84,103.56,41000,19,472,780A43,KUL,SGN,HKC328,-128,A332,RH328,2021-03-19,21:00:30
99,1616162497,6.96,103.64,41000,45,466,780A43,KUL,SGN,HKC328,-128,A332,RH328,2021-03-19,21:01:37
91,1616162558,7.03,103.74,41000,58,463,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:02:38
11,1616162614,7.09,103.85,41000,59,461,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:03:34
15,1616162673,7.16,103.95,41000,58,462,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:04:33
22,1616162737,7.23,104.07,41000,52,464,780A43,KUL,SGN,HKC328,64,A332,RH328,2021-03-19,21:05:37
6,1616162798,7.32,104.16,41000,39,468,780A43,KUL,SGN,HKC328,64,A332,RH328,2021-03-19,21:06:38
42,1616162863,7.44,104.25,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:07:43
81,1616162915,7.53,104.31,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:08:35
31,1616162977,7.64,104.39,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:09:37
83,1616163042,7.76,104.47,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:10:42
8,1616163101,7.86,104.55,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:11:41
79,1616163164,7.98,104.63,41000,35,470,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:12:44
50,1616163223,8.08,104.7,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:13:43
10,1616163282,8.18,104.78,41000,35,469,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:14:42
68,1616163334,8.28,104.84,41000,35,470,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:15:34
25,1616163401,8.4,104.93,41000,35,468,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:16:41
62,1616163461,8.5,105.0,41000,35,465,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:17:41
67,1616163526,8.62,105.08,41000,35,466,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:18:46
95,1616163579,8.71,105.15,41000,35,465,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:19:39
72,1616163644,8.83,105.23,41000,34,465,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:20:44
97,1616163690,8.91,105.29,41000,34,463,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:21:30
92,1616163767,9.04,105.38,40925,35,464,780A43,KUL,SGN,HKC328,-704,A332,RH328,2021-03-19,21:22:47
69,1616163827,9.15,105.46,39975,35,468,780A43,KUL,SGN,HKC328,-960,A332,RH328,2021-03-19,21:23:47
65,1616163887,9.26,105.53,39000,35,477,780A43,KUL,SGN,HKC328,-960,A332,RH328,2021-03-19,21:24:47
34,1616163951,9.37,105.62,37950,35,479,780A43,KUL,SGN,HKC328,-1024,A332,RH328,2021-03-19,21:25:51
80,1616164003,9.47,105.68,37100,35,476,780A43,KUL,SGN,HKC328,-1024,A332,RH328,2021-03-19,21:26:43
53,1616164071,9.59,105.77,34325,35,479,780A43,KUL,SGN,HKC328,-2880,A332,RH328,2021-03-19,21:27:51
70,1616164126,9.69,105.84,32275,35,469,780A43,KUL,SGN,HKC328,-2176,A332,RH328,2021-03-19,21:28:46
9,1616164183,9.79,105.91,30325,35,451,780A43,KUL,SGN,HKC328,-2240,A332,RH328,2021-03-19,21:29:43
84,1616164236,9.88,105.98,28425,35,440,780A43,KUL,SGN,HKC328,-2240,A332,RH328,2021-03-19,21:30:36
85,1616164301,9.99,106.05,26225,35,424,780A43,KUL,SGN,HKC328,-2176,A332,RH328,2021-03-19,21:31:41
16,1616164351,10.07,106.11,24575,35,412,780A43,KUL,SGN,HKC328,-2112,A332,RH328,2021-03-19,21:32:31
40,1616164421,10.18,106.18,22300,35,402,780A43,KUL,SGN,HKC328,-2048,A332,RH328,2021-03-19,21:33:41
45,1616164478,10.26,106.25,20500,38,394,780A43,KUL,SGN,HKC328,-1728,A332,RH328,2021-03-19,21:34:38
3,1616164537,10.34,106.32,18650,46,381,780A43,KUL,SGN,HKC328,-2048,A332,RH328,2021-03-19,21:35:37
13,1616164592,10.4,106.39,17125,46,365,780A43,KUL,SGN,HKC328,-1792,A332,RH328,2021-03-19,21:36:32
17,1616164655,10.47,106.47,14325,46,348,780A43,KUL,SGN,HKC328,-3136,A332,RH328,2021-03-19,21:37:35
61,1616164715,10.54,106.54,11550,46,332,780A43,KUL,SGN,HKC328,-3008,A332,RH328,2021-03-19,21:38:35
76,1616164774,10.57,106.61,10300,105,304,780A43,KUL,SGN,HKC328,-384,A332,RH328,2021-03-19,21:39:34
87,1616164828,10.54,106.68,9425,112,288,780A43,KUL,SGN,HKC328,-1408,A332,RH328,2021-03-19,21:40:28
64,1616164891,10.51,106.76,8200,111,278,780A43,KUL,SGN,HKC328,-1088,A332,RH328,2021-03-19,21:41:31
89,1616164946,10.53,106.83,6750,33,270,780A43,KUL,SGN,HKC328,-1792,A332,RH328,2021-03-19,21:42:26
36,1616165009,10.6,106.84,6275,12,242,780A43,KUL,SGN,HKC328,-320,A332,RH328,2021-03-19,21:43:29
48,1616165075,10.66,106.86,5950,12,208,780A43,KUL,SGN,HKC328,-448,A332,RH328,2021-03-19,21:44:35
96,1616165134,10.72,106.87,5200,12,205,780A43,KUL,SGN,HKC328,-832,A332,RH328,2021-03-19,21:45:34
52,1616165195,10.77,106.88,4500,5,191,780A43,KUL,SGN,HKC328,-576,A332,RH328,2021-03-19,21:46:35
77,1616165259,10.83,106.86,3500,328,196,780A43,KUL,SGN,HKC328,-512,A332,RH328,2021-03-19,21:47:39
26,1616165314,10.87,106.83,3050,327,171,780A43,KUL,SGN,HKC328,-1024,A332,RH328,2021-03-19,21:48:34
5,1616165371,10.87,106.79,2425,248,164,780A43,KUL,SGN,HKC328,-512,A332,RH328,2021-03-19,21:49:31
12,1616165430,10.86,106.75,1875,249,138,780A43,KUL,SGN,HKC328,-768,A332,RH328,2021-03-19,21:50:30
33,1616165493,10.84,106.71,1150,249,137,780A43,KUL,SGN,HKC328,-704,A332,RH328,2021-03-19,21:51:33
39,1616165557,10.83,106.68,425,249,135,780A43,KUL,SGN,HKC328,-832,A332,RH328,2021-03-19,21:52:37
71,1616165616,10.82,106.65,225,248,132,780A43,KUL,SGN,HKC328,-768,A332,RH328,2021-03-19,21:53:36
38,1616165679,10.81,106.64,0,160,16,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:54:39
41,1616165691,10.81,106.64,0,160,16,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:54:51
47,1616165865,10.81,106.65,0,70,13,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:57:45
18,1616165893,10.82,106.65,0,70,15,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:58:13
88,1616165977,10.82,106.66,0,180,3,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,21:59:37
75,1616166008,10.82,106.66,0,95,5,780A43,KUL,SGN,HKC328,0,A332,RH328,2021-03-19,22:00:08
