,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
105,1616711725,22.61,113.83,1625,154,160,780BF1,SZX,SGN,CSZ8011,3520,B738,ZH8011,2021-03-26,05:35:25
20,1616711786,22.57,113.85,3575,153,198,780BF1,SZX,SGN,CSZ8011,832,B738,ZH8011,2021-03-26,05:36:26
51,1616711850,22.51,113.86,5900,210,242,780BF1,SZX,SGN,CSZ8011,3136,B738,ZH8011,2021-03-26,05:37:30
36,1616711900,22.48,113.81,7825,246,261,780BF1,SZX,SGN,CSZ8011,1152,B738,ZH8011,2021-03-26,05:38:20
19,1616711962,22.44,113.74,10275,230,285,780BF1,SZX,SGN,CSZ8011,2752,B738,ZH8011,2021-03-26,05:39:22
78,1616712026,22.37,113.66,11525,229,347,780BF1,SZX,SGN,CSZ8011,1984,B738,ZH8011,2021-03-26,05:40:26
14,1616712087,22.31,113.58,12000,229,346,780BF1,SZX,SGN,CSZ8011,-64,B738,ZH8011,2021-03-26,05:41:27
96,1616712149,22.23,113.53,12000,177,360,780BF1,SZX,SGN,CSZ8011,128,B738,ZH8011,2021-03-26,05:42:29
84,1616712213,22.12,113.55,13200,167,373,780BF1,SZX,SGN,CSZ8011,1600,B738,ZH8011,2021-03-26,05:43:33
60,1616712268,22.02,113.57,14300,167,386,780BF1,SZX,SGN,CSZ8011,1408,B738,ZH8011,2021-03-26,05:44:28
64,1616712325,21.92,113.59,15925,167,408,780BF1,SZX,SGN,CSZ8011,2048,B738,ZH8011,2021-03-26,05:45:25
81,1616712390,21.8,113.62,18125,167,424,780BF1,SZX,SGN,CSZ8011,2112,B738,ZH8011,2021-03-26,05:46:30
97,1616712445,21.69,113.65,19850,167,437,780BF1,SZX,SGN,CSZ8011,1856,B738,ZH8011,2021-03-26,05:47:25
11,1616712506,21.57,113.67,21600,167,447,780BF1,SZX,SGN,CSZ8011,1600,B738,ZH8011,2021-03-26,05:48:26
21,1616712568,21.44,113.7,23125,167,459,780BF1,SZX,SGN,CSZ8011,1664,B738,ZH8011,2021-03-26,05:49:28
22,1616712622,21.33,113.73,24500,167,464,780BF1,SZX,SGN,CSZ8011,1664,B738,ZH8011,2021-03-26,05:50:22
69,1616712695,21.19,113.76,25350,167,467,780BF1,SZX,SGN,CSZ8011,1600,B738,ZH8011,2021-03-26,05:51:35
47,1616712751,21.05,113.78,27625,184,467,780BF1,SZX,SGN,CSZ8011,1728,B738,ZH8011,2021-03-26,05:52:31
103,1616712807,20.93,113.75,28825,193,465,780BF1,SZX,SGN,CSZ8011,1600,B738,ZH8011,2021-03-26,05:53:27
57,1616712854,20.83,113.73,30000,194,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,05:54:14
92,1616712933,20.67,113.68,31650,193,465,780BF1,SZX,SGN,CSZ8011,1088,B738,ZH8011,2021-03-26,05:55:33
26,1616712992,20.55,113.65,32000,193,468,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,05:56:32
30,1616713044,20.44,113.62,32001,194,468,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,05:57:24
9,1616713105,20.31,113.59,32001,194,468,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,05:58:25
88,1616713167,20.18,113.55,32001,194,467,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,05:59:27
17,1616713235,20.05,113.52,32001,193,466,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:00:35
39,1616713269,19.96,113.5,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:01:09
85,1616713343,19.83,113.47,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:02:23
27,1616713403,19.73,113.44,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:03:23
67,1616713463,19.62,113.41,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:04:23
32,1616713511,19.53,113.39,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:05:11
41,1616713583,19.4,113.36,32000,193,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:06:23
55,1616713643,19.94,113.49,32000,195,469,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:07:23
75,1616713695,19.09,113.27,32000,195,469,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:08:15
77,1616713755,18.99,113.24,32000,195,469,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:09:15
106,1616713815,18.86,113.21,32000,194,471,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:10:15
46,1616713875,18.86,113.21,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:11:15
2,1616713935,18.83,113.2,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:12:15
6,1616713995,18.72,113.17,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:13:15
87,1616714055,18.75,113.18,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:14:15
107,1616714115,18.65,113.15,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:15:15
4,1616714175,18.54,113.13,32000,194,471,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011,2021-03-26,06:16:15
94,1616714231,17.99,112.99,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:17:11
8,1616714299,17.82,112.94,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:18:19
3,1616714347,17.74,112.92,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:19:07
10,1616714407,17.63,112.89,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:20:07
15,1616714467,17.52,112.87,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:21:07
90,1616714527,17.4,112.83,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:22:07
83,1616714587,17.27,112.8,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:23:07
79,1616714659,17.12,112.76,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:24:19
52,1616714707,17.02,112.73,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:25:07
1,1616714779,16.87,112.7,32000,194,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:26:19
16,1616715943,14.93,110.73,32000,216,465,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:45:43
40,1616716000,14.83,110.65,32000,216,466,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:46:40
66,1616716062,14.73,110.57,32000,216,466,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:47:42
100,1616716114,14.63,110.5,32000,216,467,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:48:34
58,1616716175,14.54,110.43,32000,216,467,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:49:35
82,1616716241,14.41,110.33,32000,216,465,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:50:41
0,1616716303,14.3,110.25,32000,216,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:51:43
50,1616716362,14.2,110.18,32000,216,458,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:52:42
12,1616716429,14.09,110.09,32000,216,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:53:49
5,1616716489,13.99,110.01,32000,216,458,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:54:49
37,1616716547,13.88,109.95,32000,212,458,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:55:47
98,1616716609,13.77,109.87,32000,212,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:56:49
29,1616716666,13.67,109.81,32000,212,461,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:57:46
25,1616716728,13.56,109.74,32000,212,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:58:48
70,1616716790,13.44,109.66,32000,212,465,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,06:59:50
72,1616717459,12.21,108.88,32000,211,466,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011,2021-03-26,07:10:59
