,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
21,1617895268,28.47,124.12,36000,215,382,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:21:08
1,1617895328,28.38,124.05,36000,215,381,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:22:08
12,1617895392,28.27,123.98,36000,203,392,71C019,ICN,SGN,JJA9801,-64,B738,7C9801,2021-04-08,22:23:12
8,1617895447,28.18,123.93,36500,202,395,71C019,ICN,SGN,JJA9801,896,B738,7C9801,2021-04-08,22:24:07
19,1617895506,28.08,123.89,37375,202,393,71C019,ICN,SGN,JJA9801,960,B738,7C9801,2021-04-08,22:25:06
14,1617895568,27.98,123.84,37875,202,390,71C019,ICN,SGN,JJA9801,832,B738,7C9801,2021-04-08,22:26:08
17,1617895625,27.88,123.79,38000,202,393,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:27:05
16,1617895659,27.82,123.76,38000,202,392,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:27:39
6,1617895750,27.67,123.69,38000,202,389,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:29:10
11,1617895819,27.57,123.63,38000,215,374,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:30:19
22,1617895878,27.48,123.56,38000,215,375,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:31:18
20,1617895943,27.39,123.48,38000,215,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:32:23
15,1617896002,27.31,123.42,38000,215,381,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:33:22
13,1617896050,27.24,123.36,38000,215,381,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:34:10
10,1617896117,27.13,123.3,38000,202,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:35:17
9,1617896173,27.03,123.26,38000,203,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:36:13
32,1617896235,26.93,123.21,38000,202,403,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:37:15
23,1617896291,26.83,123.16,38000,202,406,71C019,ICN,SGN,JJA9801,-64,B738,7C9801,2021-04-08,22:38:11
5,1617896340,26.74,123.12,38000,202,409,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:39:00
7,1617896405,26.63,123.07,38000,202,409,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:40:05
3,1617896466,26.52,123.02,38000,202,403,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:41:06
2,1617896525,26.42,122.97,38000,202,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:42:05
24,1617896587,26.32,122.92,38000,202,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:43:07
29,1617896655,26.2,122.87,38000,202,398,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:44:15
25,1617896711,26.11,122.82,38000,202,399,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:45:11
28,1617896767,26.01,122.78,38000,202,398,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:46:07
30,1617896823,25.92,122.74,38000,202,399,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:47:03
18,1617896888,25.81,122.69,38000,202,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:48:08
31,1617896951,25.7,122.64,38000,202,391,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:49:11
4,1617897007,25.61,122.6,38000,202,389,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:50:07
26,1617897066,25.51,122.55,38000,202,391,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:51:06
27,1617897123,25.41,122.51,38000,202,391,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:52:03
0,1617897187,25.3,122.46,38000,202,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:53:07
54,1617897246,25.2,122.41,38000,202,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:54:06
77,1617897302,25.11,122.37,38000,202,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:55:02
194,1617897367,25.0,122.32,38000,202,393,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:56:07
36,1617897421,24.91,122.28,38000,202,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:57:01
136,1617897479,24.81,122.23,38000,202,401,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:57:59
125,1617897543,24.7,122.18,38000,202,404,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:59:03
97,1617897599,24.6,122.14,38000,202,406,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,22:59:59
111,1617897639,24.53,122.11,38000,202,407,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:00:39
195,1617897715,24.4,122.05,38000,202,409,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:01:55
57,1617897771,24.3,122.01,38000,196,412,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:02:51
38,1617897830,24.19,121.97,38000,196,411,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:03:50
193,1617897891,24.08,121.94,38000,196,412,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:04:51
167,1617897955,23.96,121.9,38000,196,414,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:05:55
65,1617898017,23.85,121.86,38000,196,415,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:06:57
162,1617898075,23.74,121.83,38000,196,415,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:07:55
33,1617898130,23.64,121.8,38000,196,415,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:08:50
119,1617898187,23.53,121.76,38000,196,416,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:09:47
183,1617898250,23.42,121.72,38000,196,418,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:10:50
186,1617898311,23.3,121.69,38000,196,420,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:11:51
130,1617898371,23.19,121.65,38000,196,422,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:12:51
174,1617898431,23.08,121.61,38000,196,422,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:13:51
185,1617898494,22.96,121.57,38000,213,403,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:14:54
64,1617898559,22.87,121.49,38000,214,400,71C019,ICN,SGN,JJA9801,64,B738,7C9801,2021-04-08,23:15:59
88,1617898609,22.79,121.43,38000,215,401,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:16:49
93,1617898663,22.71,121.37,38000,218,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:17:43
113,1617898731,22.61,121.28,38000,219,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:18:51
96,1617898791,22.53,121.21,38000,219,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:19:51
90,1617898847,22.45,121.14,38000,219,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:20:47
147,1617898915,22.35,121.05,38000,219,395,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:21:55
188,1617898979,22.26,120.97,38000,219,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:22:59
145,1617899039,22.17,120.9,38000,219,399,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:23:59
154,1617899095,22.09,120.83,38000,219,400,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:24:55
189,1617899156,22.01,120.75,38000,219,401,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:25:56
163,1617899220,21.91,120.67,38000,219,402,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:27:00
112,1617899247,21.87,120.64,38000,219,402,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:27:27
168,1617899323,21.76,120.54,38650,219,396,71C019,ICN,SGN,JJA9801,1024,B738,7C9801,2021-04-08,23:28:43
55,1617899384,21.68,120.47,39000,219,397,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:29:44
137,1617899468,21.56,120.36,39000,219,400,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:31:08
123,1617899528,21.47,120.29,39000,219,401,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:32:08
34,1617899591,21.38,120.21,39000,219,403,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:33:11
47,1617899655,21.29,120.13,39000,219,401,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:34:15
106,1617899716,21.2,120.05,39000,218,399,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:35:16
165,1617899776,21.11,119.98,39000,218,397,71C019,ICN,SGN,JJA9801,64,B738,7C9801,2021-04-08,23:36:16
164,1617899835,21.03,119.9,39000,218,398,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:37:15
39,1617899892,20.95,119.83,39000,225,396,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:38:12
73,1617899947,20.88,119.75,39000,225,398,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:39:07
46,1617900008,20.8,119.66,39000,225,400,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:40:08
161,1617900063,20.73,119.59,39000,225,402,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:41:03
214,1617900120,20.65,119.51,39000,225,405,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:42:00
41,1617900174,20.58,119.43,39000,225,406,71C019,ICN,SGN,JJA9801,64,B738,7C9801,2021-04-08,23:42:54
207,1617900232,20.51,119.35,39000,225,407,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:43:52
140,1617900296,20.42,119.26,39000,225,407,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:44:56
49,1617900358,20.34,119.17,39000,225,406,71C019,ICN,SGN,JJA9801,64,B738,7C9801,2021-04-08,23:45:58
192,1617900420,20.25,119.08,39000,225,406,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:47:00
153,1617900482,20.17,118.99,39000,225,408,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:48:02
98,1617900544,20.09,118.9,39000,225,409,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:49:04
197,1617900608,20.0,118.81,39000,225,410,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:50:08
48,1617900670,19.92,118.73,39000,225,409,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:51:10
201,1617900730,19.84,118.64,39000,225,411,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:52:10
159,1617900792,19.76,118.55,39000,224,413,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:53:12
210,1617900847,19.68,118.47,39000,224,415,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:54:07
172,1617900908,19.6,118.39,39000,224,416,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:55:08
131,1617900964,19.52,118.3,39000,224,416,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:56:04
129,1617901031,19.43,118.21,39000,224,417,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:57:11
213,1617901094,19.34,118.12,39000,224,418,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:58:14
209,1617901159,19.25,118.02,39000,224,419,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-08,23:59:19
122,1617901223,19.16,117.93,39000,224,420,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:00:23
56,1617901286,19.08,117.84,39000,224,420,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:01:26
141,1617901344,19.0,117.76,39000,224,420,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:02:24
59,1617901406,18.91,117.67,39000,224,418,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:03:26
43,1617901464,18.83,117.58,39000,224,418,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:04:24
126,1617901518,18.76,117.51,39000,224,417,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:05:18
71,1617901581,18.67,117.42,39000,224,417,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:06:21
117,1617901622,18.61,117.36,39000,224,419,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:07:02
120,1617901685,18.54,117.28,39000,224,419,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:08:05
87,1617901750,18.43,117.17,39000,224,424,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:09:10
60,1617901805,18.36,117.1,39000,224,424,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:10:05
177,1617901872,18.26,117.0,39000,224,427,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:11:12
75,1617901911,18.21,116.94,39000,224,428,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:11:51
50,1617901983,18.1,116.84,39000,224,427,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:13:03
100,1617902044,18.02,116.75,39000,224,425,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:14:04
205,1617902109,17.93,116.65,39000,224,423,71C019,ICN,SGN,JJA9801,0,B738,7C9801,2021-04-09,00:15:09
