,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
90,1619392150,25.08,121.24,0,320,3,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:09:10
180,1619392165,25.08,121.24,0,320,3,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:09:25
167,1619392440,25.08,121.24,0,227,8,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:14:00
106,1619392515,25.07,121.23,0,227,18,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:15:15
98,1619392570,25.07,121.23,0,160,9,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:16:10
11,1619392625,25.07,121.23,0,227,14,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:17:05
96,1619392698,25.07,121.23,0,281,11,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:18:18
48,1619392996,25.07,121.22,0,47,6,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:23:16
68,1619393008,25.07,121.22,0,47,13,899037,TPE,SGN,EVA395,0,B77W,BR395,2021-04-26,06:23:28
15,1619393120,25.12,121.28,2825,49,202,899037,TPE,SGN,EVA395,3456,B77W,BR395,2021-04-26,06:25:20
64,1619393175,25.18,121.28,5550,312,259,899037,TPE,SGN,EVA395,3584,B77W,BR395,2021-04-26,06:26:15
119,1619393238,25.16,121.2,9300,234,292,899037,TPE,SGN,EVA395,2240,B77W,BR395,2021-04-26,06:27:18
140,1619393296,25.1,121.12,11375,236,370,899037,TPE,SGN,EVA395,3328,B77W,BR395,2021-04-26,06:28:16
149,1619393360,25.04,121.02,15100,236,388,899037,TPE,SGN,EVA395,3520,B77W,BR395,2021-04-26,06:29:20
179,1619393420,24.98,120.92,17675,236,419,899037,TPE,SGN,EVA395,3264,B77W,BR395,2021-04-26,06:30:20
99,1619393481,24.9,120.82,20900,213,440,899037,TPE,SGN,EVA395,2944,B77W,BR395,2021-04-26,06:31:21
164,1619393540,24.78,120.76,23000,201,473,899037,TPE,SGN,EVA395,1856,B77W,BR395,2021-04-26,06:32:20
153,1619393600,24.66,120.71,25300,196,494,899037,TPE,SGN,EVA395,2496,B77W,BR395,2021-04-26,06:33:20
173,1619393656,24.53,120.68,27550,193,501,899037,TPE,SGN,EVA395,1408,B77W,BR395,2021-04-26,06:34:16
70,1619393712,24.4,120.64,29300,193,516,899037,TPE,SGN,EVA395,1856,B77W,BR395,2021-04-26,06:35:12
175,1619393772,24.26,120.61,32200,193,503,899037,TPE,SGN,EVA395,2944,B77W,BR395,2021-04-26,06:36:12
44,1619393837,24.12,120.57,34300,193,504,899037,TPE,SGN,EVA395,2496,B77W,BR395,2021-04-26,06:37:17
135,1619393892,23.99,120.54,36000,193,495,899037,TPE,SGN,EVA395,384,B77W,BR395,2021-04-26,06:38:12
29,1619393946,23.87,120.5,36000,193,498,899037,TPE,SGN,EVA395,64,B77W,BR395,2021-04-26,06:39:06
