timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1590207754,25.06,121.23,0,50,76,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590207808,25.09,121.26,1575,49,163,8990DB,TPE,SGN,EVA395,2240,B77W,BR395
1590207877,25.13,121.31,4250,30,213,8990DB,TPE,SGN,EVA395,2496,B77W,BR395
1590207939,25.17,121.27,6200,264,277,8990DB,TPE,SGN,EVA395,2688,B77W,BR395
1590207994,25.13,121.2,9300,234,278,8990DB,TPE,SGN,EVA395,2944,B77W,BR395
1590208055,25.09,121.12,11425,237,327,8990DB,TPE,SGN,EVA395,1536,B77W,BR395
1590208119,25.03,121.03,14875,237,355,8990DB,TPE,SGN,EVA395,2112,B77W,BR395
1590208175,24.98,120.94,17175,237,390,8990DB,TPE,SGN,EVA395,3136,B77W,BR395
1590208240,24.92,120.83,20025,237,408,8990DB,TPE,SGN,EVA395,1984,B77W,BR395
1590208296,24.86,120.73,21875,237,431,8990DB,TPE,SGN,EVA395,2240,B77W,BR395
1590208351,24.8,120.62,23875,237,444,8990DB,TPE,SGN,EVA395,2112,B77W,BR395
1590208414,24.72,120.5,26075,224,462,8990DB,TPE,SGN,EVA395,2048,B77W,BR395
1590208475,24.61,120.42,28325,214,472,8990DB,TPE,SGN,EVA395,2112,B77W,BR395
1590208536,24.5,120.33,30225,214,485,8990DB,TPE,SGN,EVA395,1792,B77W,BR395
1590208592,24.4,120.25,32300,215,485,8990DB,TPE,SGN,EVA395,2752,B77W,BR395
1590208651,24.29,120.17,35150,215,460,8990DB,TPE,SGN,EVA395,3008,B77W,BR395
1590208710,24.19,120.09,37050,215,452,8990DB,TPE,SGN,EVA395,1856,B77W,BR395
1590208776,24.08,120.01,38000,215,446,8990DB,TPE,SGN,EVA395,-64,B77W,BR395
1590208837,23.97,119.93,38000,215,452,8990DB,TPE,SGN,EVA395,64,B77W,BR395
1590208895,23.87,119.85,38000,215,456,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590208952,23.78,119.77,38000,219,455,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209018,23.68,119.67,38000,225,455,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209083,23.58,119.56,38000,225,457,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209140,23.5,119.47,38000,225,457,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209196,23.41,119.38,38000,225,458,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209256,23.32,119.28,38000,225,459,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209317,23.23,119.18,38000,225,460,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209378,23.14,119.08,38000,225,458,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209435,23.05,118.98,38000,225,461,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209501,22.95,118.88,38000,225,463,8990DB,TPE,SGN,EVA395,64,B77W,BR395
1590209558,22.87,118.78,38000,234,467,8990DB,TPE,SGN,EVA395,64,B77W,BR395
1590209612,22.82,118.67,38000,246,465,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209667,22.77,118.55,38000,246,467,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209730,22.72,118.41,38000,246,468,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209788,22.67,118.29,38000,246,464,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209848,22.62,118.16,38000,246,466,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209906,22.57,118.04,38000,245,462,8990DB,TPE,SGN,EVA395,0,B77W,BR395
1590209967,22.51,117.91,38000,245,457,8990DB,TPE,SGN,EVA395,-64,B77W,BR395
1590210028,22.46,117.78,38000,245,459,8990DB,TPE,SGN,EVA395,0,B77W,BR395
