timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1590294932,21.22,105.8,0,230,11,888148,HAN,SGN,PIC769,0,A320,BL769
1590294984,21.22,105.8,0,286,12,888148,HAN,SGN,PIC769,0,A320,BL769
1590295042,21.22,105.8,0,215,0,888148,HAN,SGN,PIC769,0,A320,BL769
1590295100,21.22,105.8,0,215,0,888148,HAN,SGN,PIC769,0,A320,BL769
1590295160,21.22,105.8,0,286,25,888148,HAN,SGN,PIC769,0,A320,BL769
1590295220,21.22,105.79,0,286,19,888148,HAN,SGN,PIC769,0,A320,BL769
1590295276,21.22,105.79,0,323,24,888148,HAN,SGN,PIC769,0,A320,BL769
1590295339,21.22,105.79,0,286,17,888148,HAN,SGN,PIC769,0,A320,BL769
1590295392,21.22,105.79,0,271,0,888148,HAN,SGN,PIC769,0,A320,BL769
1590295448,21.22,105.79,0,89,0,888148,HAN,SGN,PIC769,0,A320,BL769
1590295519,21.22,105.79,0,22,21,888148,HAN,SGN,PIC769,0,A320,BL769
1590295579,21.22,105.8,250,107,151,888148,HAN,SGN,PIC769,0,A320,BL769
1590295645,21.2,105.86,1925,108,204,888148,HAN,SGN,PIC769,1024,A320,BL769
1590295698,21.19,105.92,3725,104,257,888148,HAN,SGN,PIC769,1920,A320,BL769
1590295766,21.14,106.0,6275,161,290,888148,HAN,SGN,PIC769,2688,A320,BL769
1590295821,21.07,106.01,8900,171,292,888148,HAN,SGN,PIC769,3008,A320,BL769
1590295887,20.98,106.02,10875,171,330,888148,HAN,SGN,PIC769,896,A320,BL769
1590295950,20.88,106.04,12800,171,358,888148,HAN,SGN,PIC769,1856,A320,BL769
1590296014,20.78,106.08,15800,156,347,888148,HAN,SGN,PIC769,1408,A320,BL769
1590296072,20.69,106.12,17675,157,358,888148,HAN,SGN,PIC769,2176,A320,BL769
1590296127,20.6,106.16,19275,156,368,888148,HAN,SGN,PIC769,1728,A320,BL769
1590296194,20.49,106.2,21250,157,375,888148,HAN,SGN,PIC769,1664,A320,BL769
1590296249,20.41,106.24,22425,156,389,888148,HAN,SGN,PIC769,1088,A320,BL769
1590296312,20.3,106.29,23825,157,398,888148,HAN,SGN,PIC769,960,A320,BL769
1590296370,20.2,106.34,25075,157,404,888148,HAN,SGN,PIC769,960,A320,BL769
1590296434,20.09,106.39,26075,157,419,888148,HAN,SGN,PIC769,960,A320,BL769
1590296492,19.98,106.43,27175,157,425,888148,HAN,SGN,PIC769,1344,A320,BL769
1590296554,19.87,106.48,28375,157,428,888148,HAN,SGN,PIC769,512,A320,BL769
1590296614,19.76,106.53,29275,157,437,888148,HAN,SGN,PIC769,1152,A320,BL769
1590296672,19.65,106.58,30275,157,439,888148,HAN,SGN,PIC769,1088,A320,BL769
1590296732,19.54,106.63,31450,157,435,888148,HAN,SGN,PIC769,1088,A320,BL769
1590296774,19.46,106.67,31725,157,446,888148,HAN,SGN,PIC769,128,A320,BL769
