timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1592694181,20.84,90.64,33000,107,471,424476,SVO,SGN,AFL292,64,B77W,SU292
1592694237,20.8,90.76,33000,107,463,424476,SVO,SGN,AFL292,0,B77W,SU292
1592694295,20.76,90.89,33000,108,470,424476,SVO,SGN,AFL292,0,B77W,SU292
1592694955,20.11,92.18,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695015,20.04,92.28,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695075,19.97,92.38,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695135,19.91,92.47,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695195,19.84,92.57,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695243,19.78,92.66,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695315,19.69,92.8,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695375,19.61,92.91,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695435,19.53,93.03,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695495,19.45,93.14,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592695507,19.44,93.16,33000,126,481,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696375,18.32,94.97,35000,123,475,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696439,18.25,95.08,35000,123,475,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696503,18.16,95.21,35000,123,472,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696567,18.08,95.34,35000,123,470,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696627,18.01,95.45,35000,123,471,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696687,17.94,95.57,35000,123,472,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696749,17.86,95.68,35000,123,472,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696808,17.79,95.8,35000,123,474,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696867,17.71,95.91,35000,123,474,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696925,17.64,96.02,35000,124,475,424476,SVO,SGN,AFL292,0,B77W,SU292
1592696985,17.57,96.13,35000,124,475,424476,SVO,SGN,AFL292,0,B77W,SU292
1592697041,17.5,96.24,35000,124,474,424476,SVO,SGN,AFL292,0,B77W,SU292
