timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1593291725,22.3,113.92,0,354,9,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593291769,22.3,113.92,0,163,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593291806,22.3,113.92,0,163,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593291861,22.3,113.92,0,271,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593291930,22.3,113.92,0,271,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292030,22.3,113.92,0,337,15,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292160,22.3,113.92,0,340,22,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292215,22.3,113.92,0,70,30,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292281,22.3,113.93,0,70,29,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292344,22.3,113.93,0,226,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292398,22.3,113.93,0,45,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292463,22.3,113.93,0,226,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292507,22.3,113.93,0,54,0,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292595,22.3,113.93,0,281,22,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292655,22.31,113.93,0,250,19,4CAB31,HKG,SGN,AHK561,0,A332,LD561
1593292710,22.3,113.9,675,253,158,4CAB31,HKG,SGN,AHK561,2880,A332,LD561
1593292767,22.28,113.86,2675,249,187,4CAB31,HKG,SGN,AHK561,1152,A332,LD561
1593292820,22.26,113.8,4575,250,244,4CAB31,HKG,SGN,AHK561,3264,A332,LD561
1593292879,22.21,113.77,7425,164,272,4CAB31,HKG,SGN,AHK561,3136,A332,LD561
1593292943,22.13,113.79,10650,167,289,4CAB31,HKG,SGN,AHK561,1856,A332,LD561
