timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1599665016,14.46,96.78,37000,103,463,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665064,14.44,96.86,37000,103,463,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665125,14.4,97.02,36975,104,468,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599665180,14.37,97.14,37000,104,468,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665250,14.33,97.29,36975,104,468,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665312,14.3,97.42,37000,104,466,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599665378,14.26,97.57,37000,104,468,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665434,14.23,97.69,37000,104,469,8964F9,AUH,SGN,ETD975,64,B789,EY975
1599665494,14.2,97.82,37000,104,471,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665558,14.16,97.96,36975,104,475,8964F9,AUH,SGN,ETD975,64,B789,EY975
1599665610,14.13,98.07,36975,104,472,8964F9,AUH,SGN,ETD975,64,B789,EY975
1599665678,14.1,98.22,36975,98,468,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665736,14.09,98.35,37000,93,468,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599665798,14.08,98.48,37000,93,470,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599665855,14.08,98.61,37000,93,472,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599665918,14.07,98.75,37000,93,474,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599665979,14.06,98.89,37000,93,474,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599666039,14.04,99.02,37000,106,477,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599666094,14.0,99.14,37000,107,479,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599666159,13.96,99.29,36975,107,479,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599666219,13.92,99.42,37000,107,477,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599666283,13.88,99.55,37000,107,476,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599666347,13.83,99.69,37000,107,475,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599666403,13.8,99.81,37000,107,478,8964F9,AUH,SGN,ETD975,-128,B789,EY975
1599666454,13.76,99.92,37000,107,474,8964F9,AUH,SGN,ETD975,0,B789,EY975
1599666518,13.72,100.06,36975,107,475,8964F9,AUH,SGN,ETD975,64,B789,EY975
1599666579,13.68,100.19,36975,107,476,8964F9,AUH,SGN,ETD975,-64,B789,EY975
1599666643,13.64,100.33,37000,107,474,8964F9,AUH,SGN,ETD975,64,B789,EY975
1599666699,13.6,100.45,37000,107,476,8964F9,AUH,SGN,ETD975,0,B789,EY975
