timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1599779316,15.81,91.04,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779376,15.77,91.17,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779436,15.74,91.29,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779496,15.7,91.42,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779544,15.67,91.52,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779604,15.64,91.65,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779664,15.6,91.77,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779724,15.57,91.9,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779784,15.53,92.03,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779832,15.5,92.13,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779892,15.47,92.26,39000,106,457,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599779960,15.47,92.43,39000,106,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780020,15.44,92.54,39000,106,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780080,15.42,92.65,39000,106,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780140,15.39,92.75,39000,106,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780200,15.36,92.86,39000,106,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780260,15.32,92.99,39000,107,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780308,15.29,93.09,39000,107,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
1599780368,15.25,93.21,39000,107,454,4D0115,BAH,SGN,CLX7324,0,B744,CV7324
