timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1606485561,21.22,105.81,0,54,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485627,21.22,105.81,0,235,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485692,21.22,105.81,0,235,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485736,21.22,105.81,0,54,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485816,21.22,105.81,0,235,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485876,21.21,105.81,0,122,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606485931,21.21,105.81,0,255,2,888152,HAN,SGN,HVN221,0,A359,VN221
1606485995,21.21,105.81,0,208,2,888152,HAN,SGN,HVN221,0,A359,VN221
1606486060,21.22,105.81,0,196,2,888152,HAN,SGN,HVN221,0,A359,VN221
1606486119,21.22,105.81,0,272,2,888152,HAN,SGN,HVN221,0,A359,VN221
1606486176,21.22,105.81,0,286,1,888152,HAN,SGN,HVN221,0,A359,VN221
1606486230,21.22,105.81,0,103,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606486300,21.22,105.81,0,290,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606486360,21.22,105.8,0,286,15,888152,HAN,SGN,HVN221,0,A359,VN221
1606486420,21.22,105.8,0,286,13,888152,HAN,SGN,HVN221,0,A359,VN221
1606486476,21.22,105.8,0,286,20,888152,HAN,SGN,HVN221,0,A359,VN221
1606486536,21.22,105.79,0,286,9,888152,HAN,SGN,HVN221,0,A359,VN221
1606486596,21.22,105.79,0,286,14,888152,HAN,SGN,HVN221,0,A359,VN221
1606486651,21.22,105.79,0,300,9,888152,HAN,SGN,HVN221,0,A359,VN221
1606486720,21.22,105.79,0,106,1,888152,HAN,SGN,HVN221,0,A359,VN221
1606486777,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606486838,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606486897,21.22,105.79,0,89,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606486960,21.22,105.79,0,106,8,888152,HAN,SGN,HVN221,0,A359,VN221
1606487014,21.22,105.79,0,106,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487073,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487133,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487183,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487228,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487312,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487376,21.22,105.79,0,106,6,888152,HAN,SGN,HVN221,0,A359,VN221
1606487432,21.22,105.79,0,78,1,888152,HAN,SGN,HVN221,0,A359,VN221
1606487479,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487548,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487602,21.22,105.79,0,180,0,888152,HAN,SGN,HVN221,0,A359,VN221
1606487676,21.22,105.79,0,78,5,888152,HAN,SGN,HVN221,0,A359,VN221
1606487729,21.22,105.79,0,56,8,888152,HAN,SGN,HVN221,0,A359,VN221
1606487787,21.22,105.8,0,106,90,888152,HAN,SGN,HVN221,0,A359,VN221
1606487858,21.21,105.85,1575,106,196,888152,HAN,SGN,HVN221,1408,A359,VN221
1606487912,21.19,105.9,4200,132,221,888152,HAN,SGN,HVN221,3136,A359,VN221
1606487971,21.12,105.93,6575,165,276,888152,HAN,SGN,HVN221,2944,A359,VN221
1606488028,21.05,105.95,9950,164,276,888152,HAN,SGN,HVN221,1728,A359,VN221
1606488084,20.97,105.97,10925,164,344,888152,HAN,SGN,HVN221,960,A359,VN221
1606488140,20.88,105.99,12700,164,368,888152,HAN,SGN,HVN221,2304,A359,VN221
1606488197,20.79,106.02,14675,164,382,888152,HAN,SGN,HVN221,1216,A359,VN221
1606488259,20.68,106.05,16450,164,399,888152,HAN,SGN,HVN221,2048,A359,VN221
1606488299,20.61,106.07,17600,164,411,888152,HAN,SGN,HVN221,1664,A359,VN221
1606488383,20.45,106.11,20300,169,422,888152,HAN,SGN,HVN221,1664,A359,VN221
1606488439,20.34,106.14,22000,153,428,888152,HAN,SGN,HVN221,1536,A359,VN221
1606488492,20.25,106.19,23600,155,432,888152,HAN,SGN,HVN221,1856,A359,VN221
1606488563,20.12,106.25,25550,154,440,888152,HAN,SGN,HVN221,1984,A359,VN221
1606488615,20.02,106.3,26600,154,453,888152,HAN,SGN,HVN221,1216,A359,VN221
1606488668,19.92,106.35,27950,154,453,888152,HAN,SGN,HVN221,1408,A359,VN221
1606488737,19.79,106.42,28850,154,471,888152,HAN,SGN,HVN221,832,A359,VN221
1606488799,19.66,106.48,29700,154,486,888152,HAN,SGN,HVN221,1024,A359,VN221
1606488864,19.53,106.55,30825,154,493,888152,HAN,SGN,HVN221,1088,A359,VN221
