timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1607508567,2.77,101.68,2125,325,158,750109,KUL,SGN,AXM524,2304,A320,AK524
1607508624,2.8,101.66,3800,351,190,750109,KUL,SGN,AXM524,1152,A320,AK524
1607508683,2.86,101.69,5150,36,276,750109,KUL,SGN,AXM524,2368,A320,AK524
1607508742,2.92,101.74,8250,36,289,750109,KUL,SGN,AXM524,3904,A320,AK524
1607508800,2.99,101.78,11325,35,300,750109,KUL,SGN,AXM524,3712,A320,AK524
1607508859,3.07,101.82,13300,21,330,750109,KUL,SGN,AXM524,960,A320,AK524
1607508924,3.16,101.86,15300,29,365,750109,KUL,SGN,AXM524,3712,A320,AK524
1607508978,3.24,101.91,17275,29,375,750109,KUL,SGN,AXM524,2496,A320,AK524
1607509042,3.34,101.97,19700,29,374,750109,KUL,SGN,AXM524,2048,A320,AK524
1607509103,3.43,102.02,21300,29,385,750109,KUL,SGN,AXM524,2048,A320,AK524
1607509164,3.53,102.07,23100,29,391,750109,KUL,SGN,AXM524,1856,A320,AK524
1607509226,3.63,102.13,24650,29,399,750109,KUL,SGN,AXM524,960,A320,AK524
1607509283,3.72,102.18,25900,29,410,750109,KUL,SGN,AXM524,1408,A320,AK524
1607509339,3.82,102.24,27200,29,417,750109,KUL,SGN,AXM524,1344,A320,AK524
1607509400,3.92,102.29,28275,29,430,750109,KUL,SGN,AXM524,1408,A320,AK524
1607509458,4.02,102.35,29450,29,435,750109,KUL,SGN,AXM524,1152,A320,AK524
1607509521,4.14,102.42,30650,29,442,750109,KUL,SGN,AXM524,1536,A320,AK524
1607509587,4.25,102.48,32125,29,440,750109,KUL,SGN,AXM524,1280,A320,AK524
1607509642,4.35,102.54,32700,29,454,750109,KUL,SGN,AXM524,1408,A320,AK524
1607509700,4.46,102.6,33875,29,452,750109,KUL,SGN,AXM524,1344,A320,AK524
1607509763,4.57,102.66,35350,29,442,750109,KUL,SGN,AXM524,1920,A320,AK524
1607509814,4.66,102.72,36475,29,433,750109,KUL,SGN,AXM524,1280,A320,AK524
1607509879,4.78,102.78,37000,29,442,750109,KUL,SGN,AXM524,0,A320,AK524
1607509935,4.88,102.84,37000,27,445,750109,KUL,SGN,AXM524,0,A320,AK524
1607509999,5.0,102.89,37000,20,448,750109,KUL,SGN,AXM524,0,A320,AK524
1607510057,5.1,102.93,37000,19,447,750109,KUL,SGN,AXM524,0,A320,AK524
1607510110,5.22,102.97,36975,19,447,750109,KUL,SGN,AXM524,0,A320,AK524
1607510175,5.34,103.02,37000,19,450,750109,KUL,SGN,AXM524,0,A320,AK524
1607510233,5.45,103.05,37000,19,451,750109,KUL,SGN,AXM524,64,A320,AK524
1607510271,5.54,103.08,37025,19,454,750109,KUL,SGN,AXM524,0,A320,AK524
1607510347,5.68,103.14,37000,19,453,750109,KUL,SGN,AXM524,0,A320,AK524
1607510396,5.78,103.17,37000,19,454,750109,KUL,SGN,AXM524,0,A320,AK524
1607510469,5.92,103.22,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510525,6.04,103.26,37025,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510589,6.16,103.31,37000,19,455,750109,KUL,SGN,AXM524,64,A320,AK524
1607510653,6.27,103.34,37000,19,455,750109,KUL,SGN,AXM524,64,A320,AK524
1607510709,6.39,103.39,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510781,6.52,103.43,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510841,6.62,103.47,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510901,6.72,103.5,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607510949,6.8,103.53,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607511021,6.94,103.58,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607511081,7.06,103.62,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607511141,7.18,103.66,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
1607511201,7.3,103.7,37000,19,455,750109,KUL,SGN,AXM524,0,A320,AK524
