timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1608685289,1.38,103.85,2575,199,163,7C4CAF,XSP,SGN,VHPFL,256,GLF5,VHPFL
1608685358,1.34,103.82,2600,247,157,7C4CAF,XSP,SGN,VHPFL,0,GLF5,VHPFL
1608685398,1.33,103.8,2600,247,157,7C4CAF,XSP,SGN,VHPFL,0,GLF5,VHPFL
1608685478,1.31,103.74,2600,248,156,7C4CAF,XSP,SGN,VHPFL,-64,GLF5,VHPFL
1608685536,1.27,103.73,2150,189,159,7C4CAF,XSP,SGN,VHPFL,-1152,GLF5,VHPFL
1608685574,1.25,103.72,2150,189,159,7C4CAF,XSP,SGN,VHPFL,-1152,GLF5,VHPFL
1608685648,1.23,103.69,1600,4,147,7C4CAF,XSP,SGN,VHPFL,0,GLF5,VHPFL
1608685715,1.27,103.7,1625,5,148,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608685759,1.3,103.7,1550,5,128,7C4CAF,XSP,SGN,VHPFL,-576,GLF5,VHPFL
1608685834,1.34,103.7,1050,4,120,7C4CAF,XSP,SGN,VHPFL,-640,GLF5,VHPFL
1608685904,1.39,103.71,2350,11,155,7C4CAF,XSP,SGN,VHPFL,2368,GLF5,VHPFL
1608685958,1.38,103.73,3100,179,160,7C4CAF,XSP,SGN,VHPFL,256,GLF5,VHPFL
1608686016,1.34,103.73,3075,181,164,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608686078,1.29,103.73,2725,181,161,7C4CAF,XSP,SGN,VHPFL,-1152,GLF5,VHPFL
1608686129,1.25,103.73,1800,181,161,7C4CAF,XSP,SGN,VHPFL,-1216,GLF5,VHPFL
1608686176,1.22,103.73,1625,220,161,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608686247,1.25,103.7,1600,353,147,7C4CAF,XSP,SGN,VHPFL,192,GLF5,VHPFL
1608686320,1.3,103.7,1600,4,125,7C4CAF,XSP,SGN,VHPFL,-64,GLF5,VHPFL
1608686382,1.33,103.7,1450,5,124,7C4CAF,XSP,SGN,VHPFL,-640,GLF5,VHPFL
1608686438,1.36,103.71,900,5,121,7C4CAF,XSP,SGN,VHPFL,0,GLF5,VHPFL
1608686493,1.39,103.72,3125,95,165,7C4CAF,XSP,SGN,VHPFL,192,GLF5,VHPFL
1608686560,1.35,103.73,3150,182,165,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608686612,1.31,103.73,3150,182,165,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608686678,1.27,103.72,3150,207,159,7C4CAF,XSP,SGN,VHPFL,-128,GLF5,VHPFL
1608686743,1.26,103.67,2600,213,158,7C4CAF,XSP,SGN,VHPFL,64,GLF5,VHPFL
1608686791,1.23,103.66,2625,176,162,7C4CAF,XSP,SGN,VHPFL,192,GLF5,VHPFL
1608686859,1.24,103.69,2600,20,157,7C4CAF,XSP,SGN,VHPFL,-64,GLF5,VHPFL
1608686920,1.28,103.7,2600,351,154,7C4CAF,XSP,SGN,VHPFL,128,GLF5,VHPFL
