timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1609466895,1.4,104.0,1175,22,182,76CEEC,SIN,SGN,SIA178,2560,B77W,SQ178
1609466951,1.44,104.02,3375,19,202,76CEEC,SIN,SGN,SIA178,2816,B77W,SQ178
1609467014,1.5,104.04,5475,20,251,76CEEC,SIN,SGN,SIA178,2496,B77W,SQ178
1609467073,1.57,104.06,7950,20,270,76CEEC,SIN,SGN,SIA178,2752,B77W,SQ178
1609467135,1.65,104.09,10650,20,303,76CEEC,SIN,SGN,SIA178,1344,B77W,SQ178
1609467194,1.73,104.09,13450,342,330,76CEEC,SIN,SGN,SIA178,1856,B77W,SQ178
1609467249,1.82,104.06,16375,341,347,76CEEC,SIN,SGN,SIA178,2752,B77W,SQ178
1609467306,1.91,104.03,18000,341,394,76CEEC,SIN,SGN,SIA178,2560,B77W,SQ178
1609467369,2.02,103.99,20325,341,421,76CEEC,SIN,SGN,SIA178,1984,B77W,SQ178
1609467425,2.13,103.96,22350,341,441,76CEEC,SIN,SGN,SIA178,2048,B77W,SQ178
1609467492,2.26,103.91,24575,341,463,76CEEC,SIN,SGN,SIA178,2048,B77W,SQ178
1609467558,2.4,103.88,26600,357,480,76CEEC,SIN,SGN,SIA178,1984,B77W,SQ178
1609467611,2.52,103.89,28325,8,489,76CEEC,SIN,SGN,SIA178,2176,B77W,SQ178
1609467673,2.66,103.91,30100,8,501,76CEEC,SIN,SGN,SIA178,1472,B77W,SQ178
1609467726,2.79,103.93,31475,8,512,76CEEC,SIN,SGN,SIA178,1536,B77W,SQ178
1609467798,2.96,103.96,33575,8,514,76CEEC,SIN,SGN,SIA178,1856,B77W,SQ178
1609467861,3.11,103.98,34000,8,509,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609467918,3.24,104.0,34000,8,509,76CEEC,SIN,SGN,SIA178,64,B77W,SQ178
1609467974,3.37,104.02,34000,8,508,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468030,3.5,104.04,34000,8,505,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468095,3.65,104.06,34000,8,507,76CEEC,SIN,SGN,SIA178,-128,B77W,SQ178
1609468157,3.79,104.08,34000,8,505,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468216,3.93,104.1,34000,8,502,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468275,4.07,104.12,34000,8,501,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468334,4.2,104.14,34000,8,502,76CEEC,SIN,SGN,SIA178,0,B77W,SQ178
1609468403,4.34,104.16,34000,8,502,76CEEC,SIN,SGN,SIA178,64,B77W,SQ178
1609468463,4.46,104.18,34000,8,502,76CEEC,SIN,SGN,SIA178,64,B77W,SQ178
1609468523,4.58,104.2,34000,8,502,76CEEC,SIN,SGN,SIA178,64,B77W,SQ178
