timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1609614509,1.33,104.0,0,205,27,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609614575,1.32,104.0,0,106,7,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609614617,1.32,104.0,0,30,8,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609614687,1.35,104.01,700,23,163,8A07EC,SIN,SGN,MYU8816,3008,B733,2Y8816
1609614754,1.4,104.04,2775,23,221,8A07EC,SIN,SGN,MYU8816,2432,B733,2Y8816
1609614802,1.45,104.05,4825,353,240,8A07EC,SIN,SGN,MYU8816,2560,B733,2Y8816
1609614875,1.53,104.01,6350,329,274,8A07EC,SIN,SGN,MYU8816,2560,B733,2Y8816
1609614926,1.59,103.99,9700,335,284,8A07EC,SIN,SGN,MYU8816,2240,B733,2Y8816
1609615001,1.69,103.94,11400,335,349,8A07EC,SIN,SGN,MYU8816,896,B733,2Y8816
1609615058,1.78,103.9,13325,334,365,8A07EC,SIN,SGN,MYU8816,2240,B733,2Y8816
1609615120,1.88,103.86,15275,335,381,8A07EC,SIN,SGN,MYU8816,2112,B733,2Y8816
1609615171,1.96,103.82,17475,335,368,8A07EC,SIN,SGN,MYU8816,2112,B733,2Y8816
1609615238,2.07,103.77,19200,339,387,8A07EC,SIN,SGN,MYU8816,1984,B733,2Y8816
1609615276,2.13,103.76,20325,356,385,8A07EC,SIN,SGN,MYU8816,1344,B733,2Y8816
1609615349,2.26,103.78,22450,10,382,8A07EC,SIN,SGN,MYU8816,1216,B733,2Y8816
1609615409,2.37,103.79,24075,9,374,8A07EC,SIN,SGN,MYU8816,960,B733,2Y8816
1609615464,2.46,103.81,24675,10,396,8A07EC,SIN,SGN,MYU8816,704,B733,2Y8816
1609615530,2.59,103.83,25250,9,430,8A07EC,SIN,SGN,MYU8816,448,B733,2Y8816
1609615589,2.71,103.85,26425,9,437,8A07EC,SIN,SGN,MYU8816,2432,B733,2Y8816
1609615655,2.84,103.88,27925,10,435,8A07EC,SIN,SGN,MYU8816,640,B733,2Y8816
1609615713,2.96,103.9,28375,8,456,8A07EC,SIN,SGN,MYU8816,576,B733,2Y8816
1609615776,3.09,103.92,29450,10,457,8A07EC,SIN,SGN,MYU8816,1344,B733,2Y8816
1609615836,3.21,103.94,30000,10,455,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1609615896,3.34,103.96,30000,10,457,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1609615962,3.48,103.99,30000,10,457,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1609616020,3.6,104.01,30000,10,457,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616075,3.71,104.03,30000,10,457,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1609616132,3.83,104.06,30000,10,455,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616194,3.96,104.08,30000,10,454,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616248,4.07,104.1,30000,10,453,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616311,4.2,104.12,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616373,4.33,104.15,30000,10,453,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816
1609616417,4.42,104.16,30025,10,452,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816
1609616487,4.56,104.19,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616559,4.68,104.21,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616607,4.77,104.22,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616667,4.87,104.24,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616739,5.0,104.27,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616799,5.12,104.29,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616859,5.24,104.31,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616919,5.36,104.33,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
1609616979,5.49,104.35,30000,10,452,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816
