timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1609760362,13.7,100.74,1175,14,147,A01B80,BKK,SGN,FDX6065,3072,B763,FX6065
1609760416,13.74,100.75,4100,12,173,A01B80,BKK,SGN,FDX6065,2688,B763,FX6065
1609760476,13.8,100.78,6100,52,275,A01B80,BKK,SGN,FDX6065,192,B763,FX6065
1609760542,13.79,100.86,10100,98,270,A01B80,BKK,SGN,FDX6065,128,B763,FX6065
1609760597,13.79,100.94,12150,96,351,A01B80,BKK,SGN,FDX6065,2944,B763,FX6065
1609760652,13.74,101.03,14700,124,379,A01B80,BKK,SGN,FDX6065,3712,B763,FX6065
1609760713,13.68,101.12,16700,125,382,A01B80,BKK,SGN,FDX6065,3328,B763,FX6065
1609760761,13.63,101.19,19250,125,404,A01B80,BKK,SGN,FDX6065,3264,B763,FX6065
1609760834,13.55,101.31,22925,124,434,A01B80,BKK,SGN,FDX6065,2432,B763,FX6065
1609760892,13.49,101.41,25650,117,448,A01B80,BKK,SGN,FDX6065,2816,B763,FX6065
1609760954,13.43,101.54,28350,116,462,A01B80,BKK,SGN,FDX6065,2560,B763,FX6065
1609761014,13.37,101.65,30625,116,473,A01B80,BKK,SGN,FDX6065,3072,B763,FX6065
1609761078,13.31,101.78,32975,116,468,A01B80,BKK,SGN,FDX6065,640,B763,FX6065
1609761138,13.25,101.9,33000,116,468,A01B80,BKK,SGN,FDX6065,64,B763,FX6065
1609761192,13.2,102.01,33000,116,466,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761254,13.14,102.13,33000,116,465,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761316,13.08,102.25,33000,116,465,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761376,13.02,102.37,33025,116,465,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761436,12.96,102.49,33000,118,466,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761501,12.89,102.62,33000,119,466,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761557,12.83,102.72,33025,117,465,A01B80,BKK,SGN,FDX6065,128,B763,FX6065
1609761622,12.77,102.85,33025,117,465,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761686,12.71,102.97,33000,117,464,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761744,12.65,103.09,33025,117,466,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761799,12.59,103.19,33025,117,466,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761858,12.53,103.31,33025,117,467,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761925,12.46,103.44,33025,117,467,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609761986,12.4,103.56,33025,117,467,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609762046,12.34,103.68,33025,117,466,A01B80,BKK,SGN,FDX6065,-64,B763,FX6065
1609762102,12.28,103.79,33025,117,465,A01B80,BKK,SGN,FDX6065,0,B763,FX6065
1609762161,12.22,103.9,33025,117,465,A01B80,BKK,SGN,FDX6065,64,B763,FX6065
1609762220,12.16,104.02,33000,117,467,A01B80,BKK,SGN,FDX6065,64,B763,FX6065
