timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1610779447,3.13,101.56,0,271,1,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779513,3.13,101.56,0,241,19,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779566,3.12,101.56,0,239,13,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779630,3.13,101.55,0,329,26,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779749,3.14,101.55,0,329,26,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779768,3.14,101.55,0,329,27,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610779920,3.13,101.55,450,149,154,7503F3,SZB,SGN,RMY4163,1728,B762,TH4163
1610779981,3.09,101.58,2875,102,201,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163
1610780043,3.12,101.64,6375,56,242,7503F3,SZB,SGN,RMY4163,3904,B762,TH4163
1610780099,3.16,101.7,9275,56,285,7503F3,SZB,SGN,RMY4163,2368,B762,TH4163
1610780158,3.22,101.76,11700,38,345,7503F3,SZB,SGN,RMY4163,2944,B762,TH4163
1610780218,3.3,101.82,15050,32,362,7503F3,SZB,SGN,RMY4163,3264,B762,TH4163
1610780271,3.38,101.86,17800,32,375,7503F3,SZB,SGN,RMY4163,3136,B762,TH4163
1610780328,3.46,101.92,20675,32,381,7503F3,SZB,SGN,RMY4163,2944,B762,TH4163
1610780391,3.56,101.98,23400,33,391,7503F3,SZB,SGN,RMY4163,2560,B762,TH4163
1610780452,3.65,102.04,25650,33,407,7503F3,SZB,SGN,RMY4163,2176,B762,TH4163
1610780509,3.74,102.1,27525,33,421,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163
1610780571,3.84,102.17,29600,33,432,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163
1610780637,3.96,102.24,31700,33,443,7503F3,SZB,SGN,RMY4163,1792,B762,TH4163
1610780700,4.07,102.31,33975,33,442,7503F3,SZB,SGN,RMY4163,2496,B762,TH4163
1610780755,4.16,102.37,36050,33,435,7503F3,SZB,SGN,RMY4163,2240,B762,TH4163
1610780814,4.26,102.44,37000,33,440,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610780869,4.36,102.5,37000,33,432,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610780919,4.44,102.55,37000,33,427,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781000,4.57,102.64,37000,33,424,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781062,4.67,102.71,37000,33,423,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781116,4.76,102.77,37675,33,431,7503F3,SZB,SGN,RMY4163,1344,B762,TH4163
1610781178,4.87,102.83,39025,30,431,7503F3,SZB,SGN,RMY4163,192,B762,TH4163
1610781238,4.97,102.89,39000,26,429,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781306,5.1,102.95,39000,26,431,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781356,5.18,102.99,39000,26,432,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781426,5.31,103.06,39000,26,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781488,5.43,103.11,39000,20,436,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781550,5.53,103.14,39000,20,436,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781618,5.67,103.19,39000,19,434,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781678,5.78,103.23,39000,19,434,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781738,5.9,103.27,39000,16,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781803,6.03,103.31,39000,17,434,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
1610781866,6.15,103.34,39000,17,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781927,6.27,103.38,39000,17,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610781978,6.35,103.41,39000,17,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782048,6.5,103.45,39000,16,434,7503F3,SZB,SGN,RMY4163,64,B762,TH4163
1610782115,6.63,103.49,39000,17,437,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782148,6.7,103.51,39000,17,438,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782228,6.85,103.56,39000,17,439,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782290,6.96,103.59,39000,18,439,7503F3,SZB,SGN,RMY4163,-256,B762,TH4163
1610782346,7.02,103.71,39000,59,423,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782410,7.07,103.81,39000,59,423,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782470,7.13,103.9,39000,59,423,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782530,7.18,103.99,39000,59,423,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782586,7.25,104.11,39000,59,419,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782629,7.33,104.17,39000,35,427,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
1610782714,7.44,104.25,39000,35,427,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
1610782763,7.54,104.32,39000,35,428,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782827,7.65,104.4,39000,35,432,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782883,7.74,104.46,39025,35,436,7503F3,SZB,SGN,RMY4163,64,B762,TH4163
1610782941,7.84,104.53,39000,35,435,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610782999,7.93,104.6,39000,35,434,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783060,8.03,104.67,39000,35,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783120,8.13,104.74,39000,35,433,7503F3,SZB,SGN,RMY4163,64,B762,TH4163
1610783176,8.22,104.8,39000,35,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783232,8.32,104.87,39000,35,434,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783288,8.41,104.93,39000,35,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783345,8.5,105.0,39000,35,432,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783404,8.6,105.07,39000,34,430,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783464,8.69,105.14,39000,34,428,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783526,8.8,105.21,39000,35,428,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783589,8.9,105.28,39000,34,431,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783641,8.98,105.34,39000,35,433,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783704,9.09,105.41,39000,35,436,7503F3,SZB,SGN,RMY4163,64,B762,TH4163
1610783760,9.18,105.48,39000,35,439,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
1610783817,9.28,105.55,39000,35,440,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783870,9.37,105.61,39000,35,442,7503F3,SZB,SGN,RMY4163,0,B762,TH4163
1610783928,9.46,105.68,38650,35,437,7503F3,SZB,SGN,RMY4163,-1216,B762,TH4163
1610783993,9.57,105.76,37050,35,444,7503F3,SZB,SGN,RMY4163,-1408,B762,TH4163
1610784049,9.67,105.82,35925,35,444,7503F3,SZB,SGN,RMY4163,-1472,B762,TH4163
1610784108,9.77,105.89,34425,35,452,7503F3,SZB,SGN,RMY4163,-1408,B762,TH4163
1610784168,9.87,105.97,32950,35,455,7503F3,SZB,SGN,RMY4163,-1664,B762,TH4163
1610784232,9.98,106.05,30925,35,446,7503F3,SZB,SGN,RMY4163,-2944,B762,TH4163
1610784288,10.07,106.11,28325,35,432,7503F3,SZB,SGN,RMY4163,-3008,B762,TH4163
1610784352,10.18,106.18,25450,34,414,7503F3,SZB,SGN,RMY4163,-2688,B762,TH4163
1610784413,10.27,106.25,21925,41,396,7503F3,SZB,SGN,RMY4163,-3392,B762,TH4163
1610784474,10.35,106.33,19000,46,366,7503F3,SZB,SGN,RMY4163,-3008,B762,TH4163
1610784535,10.42,106.41,16275,46,362,7503F3,SZB,SGN,RMY4163,-3136,B762,TH4163
1610784591,10.48,106.48,13400,46,335,7503F3,SZB,SGN,RMY4163,-2304,B762,TH4163
1610784654,10.54,106.54,12175,46,302,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
1610784708,10.57,106.6,12175,97,271,7503F3,SZB,SGN,RMY4163,-768,B762,TH4163
1610784762,10.55,106.67,11325,112,270,7503F3,SZB,SGN,RMY4163,-1728,B762,TH4163
1610784842,10.51,106.76,9225,111,276,7503F3,SZB,SGN,RMY4163,-768,B762,TH4163
1610784905,10.48,106.84,9175,107,262,7503F3,SZB,SGN,RMY4163,448,B762,TH4163
1610784966,10.49,106.91,9025,75,259,7503F3,SZB,SGN,RMY4163,-768,B762,TH4163
1610785024,10.51,106.98,7900,72,251,7503F3,SZB,SGN,RMY4163,-1280,B762,TH4163
1610785075,10.53,107.03,6850,68,245,7503F3,SZB,SGN,RMY4163,-1152,B762,TH4163
1610785139,10.57,107.09,5650,23,222,7503F3,SZB,SGN,RMY4163,-1344,B762,TH4163
1610785203,10.63,107.07,4750,326,225,7503F3,SZB,SGN,RMY4163,-768,B762,TH4163
1610785261,10.68,107.03,4175,325,226,7503F3,SZB,SGN,RMY4163,-704,B762,TH4163
1610785319,10.73,107.0,3625,326,231,7503F3,SZB,SGN,RMY4163,-832,B762,TH4163
1610785388,10.79,106.96,3025,326,231,7503F3,SZB,SGN,RMY4163,-384,B762,TH4163
1610785444,10.84,106.92,2550,326,225,7503F3,SZB,SGN,RMY4163,-320,B762,TH4163
1610785507,10.88,106.87,2525,280,219,7503F3,SZB,SGN,RMY4163,-64,B762,TH4163
