timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1611909674,22.31,113.93,0,180,0,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611909739,22.31,113.93,0,295,3,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611909803,22.31,113.93,0,213,4,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910286,22.31,113.93,0,205,8,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910347,22.31,113.92,0,250,17,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910529,22.3,113.91,0,250,23,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910567,22.3,113.9,0,250,22,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910643,22.3,113.9,0,149,13,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910687,22.3,113.9,0,70,94,780ABB,HKG,SGN,CPA799,0,A359,CX799
1611910766,22.32,113.96,2025,71,181,780ABB,HKG,SGN,CPA799,1792,A359,CX799
1611910831,22.34,114.03,4825,70,225,780ABB,HKG,SGN,CPA799,2752,A359,CX799
1611910886,22.33,114.09,5925,115,258,780ABB,HKG,SGN,CPA799,896,A359,CX799
1611910936,22.23,114.08,7525,179,363,780ABB,HKG,SGN,CPA799,2560,A359,CX799
1611911010,22.11,114.08,11200,184,366,780ABB,HKG,SGN,CPA799,2112,A359,CX799
1611911072,22.0,114.07,13675,183,378,780ABB,HKG,SGN,CPA799,2624,A359,CX799
1611911126,21.91,114.07,14400,183,389,780ABB,HKG,SGN,CPA799,1920,A359,CX799
1611911188,21.79,114.06,17200,184,408,780ABB,HKG,SGN,CPA799,2112,A359,CX799
1611911245,21.68,114.05,18775,183,419,780ABB,HKG,SGN,CPA799,1728,A359,CX799
1611911300,21.57,114.04,20225,183,424,780ABB,HKG,SGN,CPA799,1472,A359,CX799
1611911345,21.48,114.04,21250,183,431,780ABB,HKG,SGN,CPA799,1536,A359,CX799
1611911421,21.33,114.03,23500,183,425,780ABB,HKG,SGN,CPA799,1792,A359,CX799
1611911479,21.21,114.02,24425,183,441,780ABB,HKG,SGN,CPA799,896,A359,CX799
1611911530,21.11,114.01,25225,183,455,780ABB,HKG,SGN,CPA799,896,A359,CX799
