timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1612576451,28.49,124.1,34000,206,411,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576511,28.4,124.05,34000,206,411,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576571,28.29,123.98,33975,206,410,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576632,28.17,123.93,34000,203,418,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576690,28.06,123.88,34000,203,416,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576750,27.96,123.83,33975,204,417,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576796,27.88,123.78,34000,204,417,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576879,27.74,123.71,33975,204,415,71BF02,ICN,SGN,KAL681,64,A333,KE681
1612576930,27.64,123.66,33975,204,409,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612576998,27.53,123.6,34000,204,412,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577054,27.43,123.55,34000,204,409,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577113,27.33,123.5,34000,204,408,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577175,27.22,123.45,34000,204,411,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577227,27.14,123.41,34000,204,411,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577287,27.02,123.35,33975,204,415,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577352,26.91,123.29,34000,204,416,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577401,26.82,123.25,33975,204,417,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577467,26.71,123.19,34000,204,418,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577518,26.62,123.14,34000,204,418,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577582,26.5,123.09,34000,204,421,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577637,26.41,123.04,34000,204,422,71BF02,ICN,SGN,KAL681,0,A333,KE681
1612577687,26.32,122.99,34000,204,422,71BF02,ICN,SGN,KAL681,0,A333,KE681
