timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614040295,23.4,113.31,0,104,5,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614040501,23.4,113.31,0,104,10,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614040665,23.41,113.31,0,14,3,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614040747,23.41,113.31,0,104,10,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614040804,23.41,113.31,0,315,0,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614040861,23.39,113.31,125,194,167,780BD9,CAN,SGN,CSN8035,576,A333,CZ8035
1614040921,23.34,113.31,2450,171,179,780BD9,CAN,SGN,CSN8035,2304,A333,CZ8035
1614040975,23.29,113.31,3950,177,234,780BD9,CAN,SGN,CSN8035,1536,A333,CZ8035
1614041042,23.21,113.29,6300,206,271,780BD9,CAN,SGN,CSN8035,960,A333,CZ8035
1614041105,23.14,113.25,6850,206,277,780BD9,CAN,SGN,CSN8035,256,A333,CZ8035
1614041160,23.08,113.22,9300,205,283,780BD9,CAN,SGN,CSN8035,3264,A333,CZ8035
1614041229,22.98,113.2,10800,161,367,780BD9,CAN,SGN,CSN8035,-128,A333,CZ8035
1614041275,22.91,113.23,10800,161,367,780BD9,CAN,SGN,CSN8035,64,A333,CZ8035
1614041343,22.79,113.27,13600,162,366,780BD9,CAN,SGN,CSN8035,1344,A333,CZ8035
1614041393,22.71,113.3,14800,162,374,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614041446,22.62,113.33,16525,162,401,780BD9,CAN,SGN,CSN8035,2048,A333,CZ8035
1614041518,22.53,113.43,18975,116,424,780BD9,CAN,SGN,CSN8035,2176,A333,CZ8035
1614041564,22.49,113.52,20427,115,423,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614041642,22.37,113.61,22675,173,419,780BD9,CAN,SGN,CSN8035,1856,A333,CZ8035
1614041704,22.25,113.6,24500,188,414,780BD9,CAN,SGN,CSN8035,1472,A333,CZ8035
1614041756,22.15,113.58,25000,184,424,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614041808,22.04,113.59,25000,174,428,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614041889,21.88,113.63,26150,159,465,780BD9,CAN,SGN,CSN8035,1152,A333,CZ8035
1614041943,21.77,113.68,27175,149,484,780BD9,CAN,SGN,CSN8035,896,A333,CZ8035
1614041997,21.66,113.74,27925,158,486,780BD9,CAN,SGN,CSN8035,1216,A333,CZ8035
1614042058,21.53,113.76,29150,190,453,780BD9,CAN,SGN,CSN8035,1408,A333,CZ8035
1614042117,21.41,113.73,30525,191,449,780BD9,CAN,SGN,CSN8035,1408,A333,CZ8035
1614042178,21.28,113.7,31575,191,456,780BD9,CAN,SGN,CSN8035,768,A333,CZ8035
1614042225,21.18,113.68,32175,191,466,780BD9,CAN,SGN,CSN8035,1216,A333,CZ8035
1614042292,21.04,113.65,33450,191,466,780BD9,CAN,SGN,CSN8035,1152,A333,CZ8035
1614042337,20.95,113.63,34475,192,465,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042408,20.8,113.59,35000,192,465,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042464,20.68,113.57,35000,191,464,780BD9,CAN,SGN,CSN8035,64,A333,CZ8035
1614042536,20.53,113.53,35000,191,466,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042590,20.41,113.51,35000,191,467,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042645,20.29,113.48,35000,192,469,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042703,20.17,113.46,35000,191,466,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042756,20.06,113.43,35000,192,466,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042831,19.93,113.4,35000,192,466,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042897,19.77,113.37,35000,191,454,780BD9,CAN,SGN,CSN8035,-64,A333,CZ8035
1614042943,19.68,113.35,35000,191,454,780BD9,CAN,SGN,CSN8035,0,A333,CZ8035
1614042999,19.56,113.32,35000,191,453,780BD9,CAN,SGN,CSN8035,-64,A333,CZ8035
